session,region,state,freq_hz,psd
dec4,dHPC,baseline,14.0625,14399.951
dec4,dHPC,baseline,14.125,15177.653
dec4,dHPC,baseline,14.1875,15157.063
dec4,dHPC,baseline,14.25,14224.532
dec4,dHPC,baseline,14.3125,12394.813
dec4,dHPC,baseline,14.375,12675.555
dec4,dHPC,baseline,14.4375,11302.518
dec4,dHPC,baseline,14.5,13597.913
dec4,dHPC,baseline,14.5625,13840.359
dec4,dHPC,baseline,14.625,14212.286
dec4,dHPC,baseline,14.6875,14905.167
dec4,dHPC,baseline,14.75,15468.997
dec4,dHPC,baseline,14.8125,14136.917
dec4,dHPC,baseline,14.875,12302.727
dec4,dHPC,baseline,14.9375,11656.937
dec4,dHPC,baseline,15.0,12190.907
dec4,dHPC,baseline,15.0625,11330.369
dec4,dHPC,baseline,15.125,12580.605
dec4,dHPC,baseline,15.1875,12014.873
dec4,dHPC,baseline,15.25,11432.617
dec4,dHPC,baseline,15.3125,13204.98
dec4,dHPC,baseline,15.375,12896.333
dec4,dHPC,baseline,15.4375,12541.909
dec4,dHPC,baseline,15.5,12333.14
dec4,dHPC,baseline,15.5625,12569.3545
dec4,dHPC,baseline,15.625,12245.672
dec4,dHPC,baseline,15.6875,12315.465
dec4,dHPC,baseline,15.75,10417.7705
dec4,dHPC,baseline,15.8125,11453.117
dec4,dHPC,baseline,15.875,10956.489
dec4,dHPC,baseline,15.9375,10497.55
dec4,dHPC,baseline,16.0,10892.334
dec4,dHPC,baseline,16.0625,9363.61
dec4,dHPC,baseline,16.125,10435.161
dec4,dHPC,baseline,16.1875,12932.732
dec4,dHPC,baseline,16.25,10791.359
dec4,dHPC,baseline,16.3125,9674.46
dec4,dHPC,baseline,16.375,10963.12
dec4,dHPC,baseline,16.4375,11482.166
dec4,dHPC,baseline,16.5,9821.33
dec4,dHPC,baseline,16.5625,9991.331
dec4,dHPC,baseline,16.625,10417.306
dec4,dHPC,baseline,16.6875,10873.162
dec4,dHPC,baseline,16.75,11541.14
dec4,dHPC,baseline,16.8125,11248.314
dec4,dHPC,baseline,16.875,9487.244
dec4,dHPC,baseline,16.9375,9370.478
dec4,dHPC,baseline,17.0,10141.29
dec4,dHPC,baseline,17.0625,9855.877
dec4,dHPC,baseline,17.125,10516.288
dec4,dHPC,baseline,17.1875,10790.301
dec4,dHPC,baseline,17.25,10960.025
dec4,dHPC,baseline,17.3125,10896.574
dec4,dHPC,baseline,17.375,9710.792
dec4,dHPC,baseline,17.4375,8053.9043
dec4,dHPC,baseline,17.5,8735.41
dec4,dHPC,baseline,17.5625,8922.768
dec4,dHPC,baseline,17.625,8536.375
dec4,dHPC,baseline,17.6875,7398.968
dec4,dHPC,baseline,17.75,7023.2666
dec4,dHPC,baseline,17.8125,7789.6694
dec4,dHPC,baseline,17.875,9222.91
dec4,dHPC,baseline,17.9375,8639.93
dec4,dHPC,baseline,18.0,8517.79
dec4,dHPC,baseline,18.0625,8468.706
dec4,dHPC,baseline,18.125,8055.7036
dec4,dHPC,baseline,18.1875,8888.02
dec4,dHPC,baseline,18.25,9250.445
dec4,dHPC,baseline,18.3125,8393.077
dec4,dHPC,baseline,18.375,7898.591
dec4,dHPC,baseline,18.4375,8403.46
dec4,dHPC,baseline,18.5,8393.224
dec4,dHPC,baseline,18.5625,8309.063
dec4,dHPC,baseline,18.625,8630.598
dec4,dHPC,baseline,18.6875,7730.2715
dec4,dHPC,baseline,18.75,7095.441
dec4,dHPC,baseline,18.8125,7152.8833
dec4,dHPC,baseline,18.875,8236.525
dec4,dHPC,baseline,18.9375,7890.5454
dec4,dHPC,baseline,19.0,7260.4907
dec4,dHPC,baseline,19.0625,7291.301
dec4,dHPC,baseline,19.125,7248.701
dec4,dHPC,baseline,19.1875,7678.0254
dec4,dHPC,baseline,19.25,6845.907
dec4,dHPC,baseline,19.3125,6298.0283
dec4,dHPC,baseline,19.375,6959.455
dec4,dHPC,baseline,19.4375,6565.9453
dec4,dHPC,baseline,19.5,6309.1772
dec4,dHPC,baseline,19.5625,6556.974
dec4,dHPC,baseline,19.625,6736.325
dec4,dHPC,baseline,19.6875,7246.493
dec4,dHPC,baseline,19.75,6720.6074
dec4,dHPC,baseline,19.8125,6573.498
dec4,dHPC,baseline,19.875,6902.213
dec4,dHPC,baseline,19.9375,7973.8438
dec4,dHPC,baseline,20.0,7363.5728
dec4,dHPC,baseline,20.0625,6609.339
dec4,dHPC,baseline,20.125,5743.511
dec4,dHPC,baseline,20.1875,6264.465
dec4,dHPC,baseline,20.25,5834.2524
dec4,dHPC,baseline,20.3125,5430.631
dec4,dHPC,baseline,20.375,6609.5576
dec4,dHPC,baseline,20.4375,7041.3647
dec4,dHPC,baseline,20.5,7408.005
dec4,dHPC,baseline,20.5625,7160.7007
dec4,dHPC,baseline,20.625,6414.0083
dec4,dHPC,baseline,20.6875,5970.918
dec4,dHPC,baseline,20.75,6435.0693
dec4,dHPC,baseline,20.8125,5923.654
dec4,dHPC,baseline,20.875,6515.5303
dec4,dHPC,baseline,20.9375,5761.558
dec4,dHPC,baseline,21.0,5067.5083
dec4,dHPC,baseline,21.0625,5612.944
dec4,dHPC,baseline,21.125,6120.3906
dec4,dHPC,baseline,21.1875,5365.688
dec4,dHPC,baseline,21.25,6178.3706
dec4,dHPC,baseline,21.3125,6878.617
dec4,dHPC,baseline,21.375,5812.754
dec4,dHPC,baseline,21.4375,5440.345
dec4,dHPC,baseline,21.5,5895.6997
dec4,dHPC,baseline,21.5625,5531.506
dec4,dHPC,baseline,21.625,4910.509
dec4,dHPC,baseline,21.6875,5445.4497
dec4,dHPC,baseline,21.75,5884.745
dec4,dHPC,baseline,21.8125,6143.436
dec4,dHPC,baseline,21.875,5394.213
dec4,dHPC,baseline,21.9375,4987.229
dec4,dHPC,baseline,22.0,5136.231
dec4,dHPC,baseline,22.0625,5775.8486
dec4,dHPC,baseline,22.125,5723.759
dec4,dHPC,baseline,22.1875,4643.6504
dec4,dHPC,baseline,22.25,4424.7646
dec4,dHPC,baseline,22.3125,6618.2026
dec4,dHPC,baseline,22.375,6930.905
dec4,dHPC,baseline,22.4375,6424.083
dec4,dHPC,baseline,22.5,5519.9277
dec4,dHPC,baseline,22.5625,5712.0254
dec4,dHPC,baseline,22.625,5351.606
dec4,dHPC,baseline,22.6875,5047.135
dec4,dHPC,baseline,22.75,4970.194
dec4,dHPC,baseline,22.8125,4967.8896
dec4,dHPC,baseline,22.875,4761.8745
dec4,dHPC,baseline,22.9375,4807.7163
dec4,dHPC,baseline,23.0,4248.3994
dec4,dHPC,baseline,23.0625,5228.157
dec4,dHPC,baseline,23.125,5644.2266
dec4,dHPC,baseline,23.1875,5462.6675
dec4,dHPC,baseline,23.25,5701.996
dec4,dHPC,baseline,23.3125,4715.51
dec4,dHPC,baseline,23.375,5039.3354
dec4,dHPC,baseline,23.4375,4883.5093
dec4,dHPC,baseline,23.5,5246.814
dec4,dHPC,baseline,23.5625,4222.699
dec4,dHPC,baseline,23.625,4899.411
dec4,dHPC,baseline,23.6875,4963.3403
dec4,dHPC,baseline,23.75,4857.932
dec4,dHPC,baseline,23.8125,5277.987
dec4,dHPC,baseline,23.875,5434.787
dec4,dHPC,baseline,23.9375,5090.7817
dec4,dHPC,baseline,24.0,4705.4287
dec4,dHPC,baseline,24.0625,4871.473
dec4,dHPC,baseline,24.125,5173.776
dec4,dHPC,baseline,24.1875,4431.901
dec4,dHPC,baseline,24.25,5136.747
dec4,dHPC,baseline,24.3125,5522.963
dec4,dHPC,baseline,24.375,4756.4766
dec4,dHPC,baseline,24.4375,4091.071
dec4,dHPC,baseline,24.5,3893.4553
dec4,dHPC,baseline,24.5625,5098.5947
dec4,dHPC,baseline,24.625,5533.3057
dec4,dHPC,baseline,24.6875,4994.6504
dec4,dHPC,baseline,24.75,5060.071
dec4,dHPC,baseline,24.8125,4675.4463
dec4,dHPC,baseline,24.875,4950.823
dec4,dHPC,baseline,24.9375,4776.7847
dec4,dHPC,baseline,25.0,5028.905
dec4,dHPC,baseline,25.0625,5619.5435
dec4,dHPC,baseline,25.125,5591.2397
dec4,dHPC,baseline,25.1875,4888.096
dec4,dHPC,baseline,25.25,5279.6772
dec4,dHPC,baseline,25.3125,4733.0483
dec4,dHPC,baseline,25.375,3929.312
dec4,dHPC,baseline,25.4375,3981.1711
dec4,dHPC,baseline,25.5,4554.599
dec4,dHPC,baseline,25.5625,4425.345
dec4,dHPC,baseline,25.625,4074.3894
dec4,dHPC,baseline,25.6875,5170.086
dec4,dHPC,baseline,25.75,5093.385
dec4,dHPC,baseline,25.8125,5126.178
dec4,dHPC,baseline,25.875,5123.715
dec4,dHPC,baseline,25.9375,5122.02
dec4,dHPC,baseline,26.0,4973.4277
dec4,dHPC,baseline,26.0625,4850.6787
dec4,dHPC,baseline,26.125,5473.969
dec4,dHPC,baseline,26.1875,5159.4463
dec4,dHPC,baseline,26.25,3807.8286
dec4,dHPC,baseline,26.3125,3755.7988
dec4,dHPC,baseline,26.375,3800.9583
dec4,dHPC,baseline,26.4375,5149.9473
dec4,dHPC,baseline,26.5,5214.025
dec4,dHPC,baseline,26.5625,5202.8057
dec4,dHPC,baseline,26.625,4793.226
dec4,dHPC,baseline,26.6875,5178.28
dec4,dHPC,baseline,26.75,4744.014
dec4,dHPC,baseline,26.8125,3678.6978
dec4,dHPC,baseline,26.875,4512.0713
dec4,dHPC,baseline,26.9375,4233.039
dec4,dHPC,baseline,27.0,4152.428
dec4,dHPC,baseline,27.0625,3957.4194
dec4,dHPC,baseline,27.125,4458.497
dec4,dHPC,baseline,27.1875,4235.9546
dec4,dHPC,baseline,27.25,3827.317
dec4,dHPC,baseline,27.3125,4133.911
dec4,dHPC,baseline,27.375,3907.3171
dec4,dHPC,baseline,27.4375,4029.2014
dec4,dHPC,baseline,27.5,4108.549
dec4,dHPC,baseline,27.5625,4825.1963
dec4,dHPC,baseline,27.625,4808.526
dec4,dHPC,baseline,27.6875,3930.3208
dec4,dHPC,baseline,27.75,4001.6416
dec4,dHPC,baseline,27.8125,4028.6233
dec4,dHPC,baseline,27.875,4023.791
dec4,dHPC,baseline,27.9375,3822.7917
dec4,dHPC,baseline,28.0,3645.44
dec4,dHPC,baseline,28.0625,3164.121
dec4,dHPC,baseline,28.125,3476.96
dec4,dHPC,baseline,28.1875,4353.639
dec4,dHPC,baseline,28.25,4251.795
dec4,dHPC,baseline,28.3125,3921.68
dec4,dHPC,baseline,28.375,3037.4873
dec4,dHPC,baseline,28.4375,3115.545
dec4,dHPC,baseline,28.5,3396.071
dec4,dHPC,baseline,28.5625,3207.665
dec4,dHPC,baseline,28.625,3499.2158
dec4,dHPC,baseline,28.6875,3868.1016
dec4,dHPC,baseline,28.75,3824.1333
dec4,dHPC,baseline,28.8125,3813.9736
dec4,dHPC,baseline,28.875,3342.4167
dec4,dHPC,baseline,28.9375,2981.9521
dec4,dHPC,baseline,29.0,3338.83
dec4,dHPC,baseline,29.0625,3428.6553
dec4,dHPC,baseline,29.125,3125.3064
dec4,dHPC,baseline,29.1875,2972.1638
dec4,dHPC,baseline,29.25,3224.9656
dec4,dHPC,baseline,29.3125,3613.8276
dec4,dHPC,baseline,29.375,3589.2485
dec4,dHPC,baseline,29.4375,3197.6018
dec4,dHPC,baseline,29.5,3131.1772
dec4,dHPC,baseline,29.5625,3202.481
dec4,dHPC,baseline,29.625,3203.8662
dec4,dHPC,baseline,29.6875,3314.8345
dec4,dHPC,baseline,29.75,3100.6338
dec4,dHPC,baseline,29.8125,3122.6382
dec4,dHPC,baseline,29.875,2811.4846
dec4,dHPC,baseline,29.9375,3013.9065
dec4,dHPC,baseline,30.0,3298.0095
dec4,dHPC,baseline,30.0625,3318.4924
dec4,dHPC,baseline,30.125,3353.2178
dec4,dHPC,baseline,30.1875,3489.2705
dec4,dHPC,baseline,30.25,3290.2002
dec4,dHPC,baseline,30.3125,2929.0789
dec4,dHPC,baseline,30.375,2852.2183
dec4,dHPC,baseline,30.4375,3120.5483
dec4,dHPC,baseline,30.5,2848.5212
dec4,dHPC,baseline,30.5625,2761.7734
dec4,dHPC,baseline,30.625,2588.7532
dec4,dHPC,baseline,30.6875,2611.3438
dec4,dHPC,baseline,30.75,2567.8967
dec4,dHPC,baseline,30.8125,2872.1545
dec4,dHPC,baseline,30.875,2951.4883
dec4,dHPC,baseline,30.9375,2705.6987
dec4,dHPC,baseline,31.0,2878.0107
dec4,dHPC,baseline,31.0625,2774.0808
dec4,dHPC,baseline,31.125,2814.0554
dec4,dHPC,baseline,31.1875,2628.7754
dec4,dHPC,baseline,31.25,2704.2366
dec4,dHPC,baseline,31.3125,2674.4446
dec4,dHPC,baseline,31.375,2648.4849
dec4,dHPC,baseline,31.4375,2779.47
dec4,dHPC,baseline,31.5,2972.0906
dec4,dHPC,baseline,31.5625,3299.2786
dec4,dHPC,baseline,31.625,3334.5972
dec4,dHPC,baseline,31.6875,3119.273
dec4,dHPC,baseline,31.75,2713.8616
dec4,dHPC,baseline,31.8125,2440.6208
dec4,dHPC,baseline,31.875,2658.3513
dec4,dHPC,baseline,31.9375,2466.677
dec4,dHPC,baseline,32.0,2688.0771
dec4,dHPC,baseline,32.0625,2652.3481
dec4,dHPC,baseline,32.125,2659.4397
dec4,dHPC,baseline,32.1875,2312.2515
dec4,dHPC,baseline,32.25,2350.6992
dec4,dHPC,baseline,32.3125,2687.456
dec4,dHPC,baseline,32.375,2931.5972
dec4,dHPC,baseline,32.4375,3066.7407
dec4,dHPC,baseline,32.5,2684.6504
dec4,dHPC,baseline,32.5625,2703.2166
dec4,dHPC,baseline,32.625,2871.1125
dec4,dHPC,baseline,32.6875,2276.5999
dec4,dHPC,baseline,32.75,2061.1123
dec4,dHPC,baseline,32.8125,2226.4458
dec4,dHPC,baseline,32.875,2308.3093
dec4,dHPC,baseline,32.9375,2179.3513
dec4,dHPC,baseline,33.0,2271.4712
dec4,dHPC,baseline,33.0625,2584.061
dec4,dHPC,baseline,33.125,2698.6868
dec4,dHPC,baseline,33.1875,2581.7659
dec4,dHPC,baseline,33.25,2662.0327
dec4,dHPC,baseline,33.3125,2502.8018
dec4,dHPC,baseline,33.375,2223.1775
dec4,dHPC,baseline,33.4375,2406.9727
dec4,dHPC,baseline,33.5,2496.6255
dec4,dHPC,baseline,33.5625,2639.126
dec4,dHPC,baseline,33.625,2328.2368
dec4,dHPC,baseline,33.6875,2472.8828
dec4,dHPC,baseline,33.75,2409.8127
dec4,dHPC,baseline,33.8125,2247.7737
dec4,dHPC,baseline,33.875,2380.425
dec4,dHPC,baseline,33.9375,2480.897
dec4,dHPC,baseline,34.0,2564.9734
dec4,dHPC,baseline,34.0625,2580.6091
dec4,dHPC,baseline,34.125,2261.8687
dec4,dHPC,baseline,34.1875,2191.5415
dec4,dHPC,baseline,34.25,2445.9927
dec4,dHPC,baseline,34.3125,2203.584
dec4,dHPC,baseline,34.375,2062.6016
dec4,dHPC,baseline,34.4375,1963.3082
dec4,dHPC,baseline,34.5,1964.1228
dec4,dHPC,baseline,34.5625,2295.9368
dec4,dHPC,baseline,34.625,2464.2612
dec4,dHPC,baseline,34.6875,2101.7314
dec4,dHPC,baseline,34.75,2263.44
dec4,dHPC,baseline,34.8125,2362.3867
dec4,dHPC,baseline,34.875,2107.24
dec4,dHPC,baseline,34.9375,2313.274
dec4,dHPC,baseline,35.0,2507.2905
dec4,dHPC,baseline,35.0625,2219.8772
dec4,dHPC,baseline,35.125,2100.3252
dec4,dHPC,baseline,35.1875,2018.2638
dec4,dHPC,baseline,35.25,2074.947
dec4,dHPC,baseline,35.3125,1770.4099
dec4,dHPC,baseline,35.375,2000.3279
dec4,dHPC,baseline,35.4375,2254.7212
dec4,dHPC,baseline,35.5,1937.5752
dec4,dHPC,baseline,35.5625,1916.42
dec4,dHPC,baseline,35.625,2005.2603
dec4,dHPC,baseline,35.6875,2149.5684
dec4,dHPC,baseline,35.75,2122.7585
dec4,dHPC,baseline,35.8125,2112.5828
dec4,dHPC,baseline,35.875,2360.5513
dec4,dHPC,baseline,35.9375,2166.5881
dec4,dHPC,baseline,36.0,1916.3406
dec4,dHPC,baseline,36.0625,2274.0078
dec4,dHPC,baseline,36.125,2385.7004
dec4,dHPC,baseline,36.1875,2316.4275
dec4,dHPC,baseline,36.25,2157.8574
dec4,dHPC,baseline,36.3125,1959.3773
dec4,dHPC,baseline,36.375,1969.2025
dec4,dHPC,baseline,36.4375,1953.4271
dec4,dHPC,baseline,36.5,1817.5967
dec4,dHPC,baseline,36.5625,1721.1854
dec4,dHPC,baseline,36.625,2346.1836
dec4,dHPC,baseline,36.6875,2285.7607
dec4,dHPC,baseline,36.75,1905.853
dec4,dHPC,baseline,36.8125,2083.6726
dec4,dHPC,baseline,36.875,2132.0254
dec4,dHPC,baseline,36.9375,2111.9644
dec4,dHPC,baseline,37.0,1918.3021
dec4,dHPC,baseline,37.0625,1688.2831
dec4,dHPC,baseline,37.125,1719.412
dec4,dHPC,baseline,37.1875,2026.7681
dec4,dHPC,baseline,37.25,2115.1216
dec4,dHPC,baseline,37.3125,1940.6102
dec4,dHPC,baseline,37.375,1638.1001
dec4,dHPC,baseline,37.4375,1557.8589
dec4,dHPC,baseline,37.5,1788.2808
dec4,dHPC,baseline,37.5625,2107.7222
dec4,dHPC,baseline,37.625,1957.5132
dec4,dHPC,baseline,37.6875,1764.0586
dec4,dHPC,baseline,37.75,2088.5188
dec4,dHPC,baseline,37.8125,2083.2375
dec4,dHPC,baseline,37.875,1752.9799
dec4,dHPC,baseline,37.9375,1489.4286
dec4,dHPC,baseline,38.0,1702.9398
dec4,dHPC,baseline,38.0625,1936.4708
