session,region,state,event_type,time_s,amplitude_z
dec4,dHPC,baseline,negative_slow_deflection,91.544,-2.0218000976629935
dec4,dHPC,baseline,negative_slow_deflection,92.344,-1.8108260835126675
dec4,dHPC,baseline,positive_slow_deflection,92.784,2.287251005708587
dec4,dHPC,baseline,negative_slow_deflection,92.936,-1.9068165306195148
dec4,dHPC,baseline,positive_slow_deflection,93.12,2.876744024698002
dec4,dHPC,baseline,negative_slow_deflection,93.336,-3.5169078391460817
dec4,dHPC,baseline,negative_slow_deflection,96.82,-2.5650825374727755
dec4,dHPC,baseline,positive_slow_deflection,97.112,1.5819269339310122
dec4,dHPC,baseline,negative_slow_deflection,99.684,-2.4377804646635974
dec4,dHPC,baseline,positive_slow_deflection,100.176,2.337082014130579
dec4,dHPC,baseline,negative_slow_deflection,100.568,-2.049792571160019
dec4,dHPC,baseline,positive_slow_deflection,100.936,1.9375092621312484
dec4,dHPC,baseline,negative_slow_deflection,101.116,-3.332580212152801
dec4,dHPC,baseline,positive_slow_deflection,101.316,1.8583952252772222
dec4,dHPC,baseline,negative_slow_deflection,101.976,-2.4426524200264916
dec4,dHPC,baseline,positive_slow_deflection,102.464,1.966003891095429
dec4,dHPC,baseline,negative_slow_deflection,102.752,-2.894910655063632
dec4,dHPC,baseline,positive_slow_deflection,103.428,1.5247159589477497
dec4,dHPC,baseline,positive_slow_deflection,103.936,1.6765018511831613
dec4,dHPC,baseline,negative_slow_deflection,104.216,-2.2093357726750225
dec4,dHPC,baseline,positive_slow_deflection,104.496,1.6402353904662246
dec4,dHPC,baseline,negative_slow_deflection,106.056,-2.6611354141216235
dec4,dHPC,baseline,positive_slow_deflection,106.516,1.5452650610845664
dec4,dHPC,baseline,positive_slow_deflection,106.816,2.2776964610552466
dec4,dHPC,baseline,negative_slow_deflection,107.004,-2.6596241518859043
dec4,dHPC,baseline,positive_slow_deflection,107.576,1.8563297758227972
dec4,dHPC,baseline,negative_slow_deflection,107.756,-2.7310189333387958
dec4,dHPC,baseline,positive_slow_deflection,109.004,1.5783680240422366
dec4,dHPC,baseline,positive_slow_deflection,110.1,1.8536191537197522
dec4,dHPC,baseline,negative_slow_deflection,110.256,-1.9238572017194013
dec4,dHPC,baseline,negative_slow_deflection,110.728,-2.4087943528109594
dec4,dHPC,baseline,positive_slow_deflection,110.888,2.4041803111139157
dec4,dHPC,baseline,negative_slow_deflection,111.272,-1.668217767940171
dec4,dHPC,baseline,negative_slow_deflection,112.264,-2.1037397207630457
dec4,dHPC,baseline,positive_slow_deflection,112.472,1.6867022129009694
dec4,dHPC,baseline,positive_slow_deflection,112.752,1.6520420634661672
dec4,dHPC,baseline,negative_slow_deflection,113.356,-2.3010845087967895
dec4,dHPC,baseline,positive_slow_deflection,114.388,1.5085994630909663
dec4,dHPC,baseline,negative_slow_deflection,114.516,-1.7720285605128996
dec4,dHPC,baseline,positive_slow_deflection,115.188,1.607000375751338
dec4,dHPC,baseline,negative_slow_deflection,118.056,-1.546098649244275
dec4,dHPC,baseline,positive_slow_deflection,118.196,1.9234225804041758
dec4,dHPC,baseline,negative_slow_deflection,118.348,-2.0308631195353124
dec4,dHPC,baseline,positive_slow_deflection,118.66,2.4956074767301004
dec4,dHPC,baseline,negative_slow_deflection,118.836,-1.599914498261836
dec4,dHPC,baseline,positive_slow_deflection,120.344,2.0222398861549937
dec4,dHPC,baseline,negative_slow_deflection,120.776,-1.6872924165713303
dec4,dHPC,baseline,positive_slow_deflection,120.972,1.7788926467244643
dec4,dHPC,baseline,negative_slow_deflection,121.128,-3.252244675041848
dec4,dHPC,baseline,positive_slow_deflection,121.656,3.274783796197029
dec4,dHPC,baseline,negative_slow_deflection,122.248,-3.1399808459700886
dec4,dHPC,baseline,positive_slow_deflection,122.564,2.4346379861578593
dec4,dHPC,baseline,negative_slow_deflection,122.956,-2.137069879310365
dec4,dHPC,baseline,positive_slow_deflection,123.208,1.569136264975943
dec4,dHPC,baseline,positive_slow_deflection,123.568,1.9280291402094873
dec4,dHPC,baseline,negative_slow_deflection,124.364,-1.6552009632215636
dec4,dHPC,baseline,negative_slow_deflection,125.924,-1.5077166040605148
dec4,dHPC,baseline,positive_slow_deflection,126.08,2.188674883654161
dec4,dHPC,baseline,negative_slow_deflection,126.252,-2.507178068820653
