condition,channel,n_trials,mean_abs_lfp,pre_abs_lfp,stim_abs_lfp,recovery_abs_lfp,stim_minus_pre_abs_lfp
amp100_freq26,21,50,740.2503051757812,735.240478515625,737.7660522460938,752.7098999023438,2.52557373046875
amp100_freq26,22,50,789.421142578125,781.4086303710938,787.7161254882812,802.5245971679688,6.3074951171875
amp100_freq26,23,50,858.8787841796875,844.4699096679688,858.98828125,872.9448852539062,14.51837158203125
amp100_freq26,24,50,1216.8463134765625,1172.9197998046875,1225.2767333984375,1235.5072021484375,52.35693359375
amp100_freq26,25,50,1215.9874267578125,1172.1822509765625,1224.195556640625,1235.1829833984375,52.0133056640625
amp100_freq26,26,50,1217.125732421875,1172.998291015625,1225.560546875,1235.9566650390625,52.562255859375
amp100_freq26,27,50,1213.21826171875,1168.955810546875,1221.5416259765625,1232.51708984375,52.5858154296875
amp100_freq26,28,50,1218.5556640625,1174.6561279296875,1226.7314453125,1237.9207763671875,52.0753173828125
amp100_freq26,29,50,1556.2166748046875,1498.4447021484375,1568.3004150390625,1577.6763916015625,69.855712890625
amp100_freq26,30,50,1580.3359375,1527.457763671875,1590.7615966796875,1601.919189453125,63.3038330078125
amp100_freq26,31,50,1549.96923828125,1502.975830078125,1558.62939453125,1570.9808349609375,55.653564453125
amp100_freq26,32,50,1825.55029296875,1769.415283203125,1836.035888671875,1850.2303466796875,66.62060546875
amp100_freq26,33,50,1860.84619140625,1804.129150390625,1870.6029052734375,1888.2974853515625,66.4737548828125
amp100_freq26,34,50,1798.7025146484375,1749.0733642578125,1806.5504150390625,1824.722900390625,57.47705078125
amp100_freq26,35,50,1715.7823486328125,1674.167724609375,1721.650390625,1739.7962646484375,47.482666015625
amp100_freq26,36,50,1637.0155029296875,1600.56494140625,1641.87548828125,1658.8681640625,41.310546875
amp100_freq26,37,50,1575.60791015625,1540.89306640625,1580.518798828125,1595.5927734375,39.625732421875
amp100_freq26,38,50,1543.6376953125,1509.3465576171875,1548.6380615234375,1562.9488525390625,39.29150390625
amp100_freq26,39,50,1533.9376220703125,1498.0133056640625,1539.28564453125,1553.8096923828125,41.2723388671875
amp100_freq26,40,50,1546.4619140625,1505.4361572265625,1552.754150390625,1568.55712890625,47.3179931640625
amp100_freq26,41,50,1575.738525390625,1530.9168701171875,1582.1890869140625,1601.213134765625,51.272216796875
amp100_freq26,42,50,1635.6851806640625,1579.622314453125,1645.1268310546875,1663.419189453125,65.5045166015625
amp100_freq26,43,50,1678.3675537109375,1614.4552001953125,1690.2293701171875,1706.656982421875,75.774169921875
amp100_freq26,44,50,1548.9195556640625,1488.3031005859375,1560.2022705078125,1575.684326171875,71.899169921875
amp100_freq26,45,50,1271.5777587890625,1222.27001953125,1281.014404296875,1292.5826416015625,58.744384765625
