channel,mean_stim_minus_pre_abs_lfp,max_stim_minus_pre_abs_lfp,mean_pre_abs_lfp,mean_stim_abs_lfp
85,12.440658569335938,25.416412353515625,504.81781005859375,517.2584686279297
90,12.28851572672526,20.301773071289062,194.98729960123697,207.27581532796225
14,11.626149495442709,40.79266357421875,738.9224344889323,750.548583984375
20,11.50958251953125,40.92132568359375,663.472401936849,674.9819844563802
50,11.304372151692709,24.26806640625,504.0668690999349,515.3712412516276
58,11.2083740234375,37.5311279296875,690.2724100748698,701.4807840983073
19,10.90283203125,38.1944580078125,632.416493733724,643.319325764974
96,10.222788492838541,33.60198974609375,605.7725016276041,615.9952901204427
57,9.696695963541666,34.444091796875,620.3131103515625,630.0098063151041
15,9.215993245442709,35.23602294921875,740.7571512858073,749.97314453125
89,9.124590555826822,14.823486328125,182.93720245361328,192.0617930094401
18,8.880635579427084,32.62518310546875,615.901601155599,624.782236735026
122,8.660934448242188,17.595550537109375,394.85662841796875,403.51756286621094
16,8.653727213541666,26.97564697265625,599.3581746419271,608.0119018554688
17,8.238047281901041,28.3970947265625,599.0563557942709,607.2944030761719
51,8.220616658528646,21.14990234375,480.0320536295573,488.25267028808594
56,7.571736653645833,29.8798828125,558.4419555664062,566.0136922200521
86,7.521596272786458,20.543426513671875,461.0578918457031,468.57948811848956
127,7.2605133056640625,27.09564208984375,499.48365783691406,506.7441711425781
88,6.879096984863281,13.958938598632812,235.6427485148112,242.52184549967447
80,6.7963409423828125,13.745025634765625,304.25848897298175,311.05482991536456
55,6.3999176025390625,25.78997802734375,511.1826934814453,517.5826110839844
52,6.212941487630208,19.263702392578125,468.70591227213544,474.9188537597656
126,6.162384033203125,23.00750732421875,550.3504435221354,556.5128275553385
54,5.7430674235026045,21.96820068359375,481.7692108154297,487.5122782389323
53,5.4862060546875,19.56939697265625,468.39869181315106,473.88489786783856
87,5.3394724527994795,18.695770263671875,448.47508748372394,453.81455993652344
123,4.8227895100911455,13.79644775390625,347.87913513183594,352.70192464192706
124,2.935333251953125,12.756927490234375,335.2942352294922,338.2295684814453
125,2.9337056477864585,14.78271484375,352.4361165364583,355.3698221842448
