condition,amplitude,frequency,analysis_group,n_trials,baseline_driven_log2_power,onset_driven_log2_power,sustained_driven_log2_power,offset_driven_log2_power
amp100_freq50,100,50,A_dHPC_64-95,150,,,,
amp100_freq50,100,50,A_dHPC_96-127,150,,,,
amp100_freq50,100,50,B_LEC_128-191,150,,,,
amp100_freq50,100,50,B_LEC_192-255,150,,,,
amp180_freq10,180,10,A_dHPC_0-31,150,-0.013739471142765152,-0.0021388899036761284,0.26087493632752395,0.3866984448652779
amp180_freq10,180,10,A_dHPC_32-63,150,0.01134277199914325,-0.32175438324047034,0.021709499108929248,0.09480926938067773
amp180_freq10,180,10,A_dHPC_64-95,150,0.016042514078073694,-0.03723226087669228,0.1509151763885484,0.15899847754750493
amp180_freq10,180,10,A_dHPC_96-127,150,-0.003130526215676825,-0.0334824464902376,0.1208290628585411,0.32791589546798466
amp180_freq10,180,10,B_LEC_128-191,150,-0.062362723255815725,-0.22678467287040005,0.09157418689149598,0.11695899966947308
amp180_freq10,180,10,B_LEC_192-255,150,0.0008780665753135089,0.23480627758255984,0.35186899472570976,0.4224176548675586
amp180_freq26,180,26,A_dHPC_0-31,150,-0.02826185587847178,0.2021684286658455,-0.1472935856335863,0.1897201122333111
amp180_freq26,180,26,A_dHPC_32-63,150,-0.02216543538251927,0.15314649037019928,-0.08982726784270807,0.04453166115544754
amp180_freq26,180,26,A_dHPC_64-95,150,-0.023186634022590236,0.3322961487794925,-0.051108359836104136,0.08845547126337622
amp180_freq26,180,26,A_dHPC_96-127,150,0.05986435815790549,0.07328749688566696,-0.011100143050460963,0.1357966335563874
amp180_freq26,180,26,B_LEC_128-191,150,0.008599807735533769,-0.04308322944275993,-0.04967642218567974,0.15651746321794055
amp180_freq26,180,26,B_LEC_192-255,150,0.06646951272897207,0.03221652651672072,0.06191878828081093,0.05594790292338645
amp180_freq5,180,5,A_dHPC_0-31,150,-0.01589343401625045,-0.08837080010494705,-0.06832410621113914,-0.046217601741478494
amp180_freq5,180,5,A_dHPC_32-63,150,-0.007032962310302238,-0.21798108126230223,-0.030807845337709343,-0.03559585767271415
amp180_freq5,180,5,A_dHPC_64-95,150,-0.009789529862284822,0.06604039898717932,0.15516571942453905,0.15591184973255343
amp180_freq5,180,5,A_dHPC_96-127,150,-0.059359762072589056,-0.2794765154365296,-0.05338633768209519,-0.08715529788815903
amp180_freq5,180,5,B_LEC_128-191,150,-0.028160498617171504,0.10268636314007693,0.0650735305915269,0.0009576956578704408
amp180_freq5,180,5,B_LEC_192-255,150,0.036142221212025004,0.12109766235887837,0.05645669863469791,-0.13853654851451497
amp180_freq50,180,50,A_dHPC_0-31,150,,,,
amp180_freq50,180,50,A_dHPC_32-63,150,,,,
amp180_freq50,180,50,A_dHPC_64-95,150,,,,
amp180_freq50,180,50,A_dHPC_96-127,150,,,,
amp180_freq50,180,50,B_LEC_128-191,150,,,,
amp180_freq50,180,50,B_LEC_192-255,150,,,,
amp250_freq10,250,10,A_dHPC_0-31,150,-0.030472328080794902,-0.100043812939098,-0.06693505194975224,0.020011269675940548
amp250_freq10,250,10,A_dHPC_32-63,150,0.039376768741443725,-0.13509745599189393,-0.05064747574629392,0.020359122855610715
amp250_freq10,250,10,A_dHPC_64-95,150,0.010470928813209844,-0.034561579765876885,-0.10909461739532685,-0.07802858436853856
amp250_freq10,250,10,A_dHPC_96-127,150,0.006623303578113367,-0.07117667018937866,-0.10013774037350821,-0.15706407543217385
amp250_freq10,250,10,B_LEC_128-191,150,-0.036844529889025604,-0.2535762911593454,0.0049549273505970414,0.21286190027809246
amp250_freq10,250,10,B_LEC_192-255,150,0.0074638988568451956,0.230275640598061,0.12555222966832133,-0.10309018954900365
amp250_freq26,250,26,A_dHPC_0-31,150,-0.02010320012840931,0.04503466064149415,-0.3101031356447469,0.01994998375103922
amp250_freq26,250,26,A_dHPC_32-63,150,-0.030578610137735596,-0.03277441773196957,-0.32734382651956984,-0.02575985903724064
amp250_freq26,250,26,A_dHPC_64-95,150,-0.007940620700401455,0.18766771796830028,-0.2604067582986356,0.0577090780274147
amp250_freq26,250,26,A_dHPC_96-127,150,-0.03148331407478538,0.040055980146679854,-0.24227244289047614,-0.04070687780451408
amp250_freq26,250,26,B_LEC_128-191,150,-0.01000884760953035,0.05879261343343305,0.006701148450701721,-0.034863055758290615
amp250_freq26,250,26,B_LEC_192-255,150,-0.01953219998113316,0.2684263561389917,0.20547540395047342,0.09634951287945666
amp250_freq5,250,5,A_dHPC_0-31,150,-0.0641272731299732,-0.0030366152882257275,-0.014321513690253767,0.16319581700525682
amp250_freq5,250,5,A_dHPC_32-63,150,0.0017919870494910069,-0.030689531291432155,-0.04216246494036065,0.09177809546463185
amp250_freq5,250,5,A_dHPC_64-95,150,0.013977101518091646,-0.06879462825862401,-0.14674933918676067,0.015029882273912524
amp250_freq5,250,5,A_dHPC_96-127,150,-0.053474446445622874,-0.07015133461914394,0.00671036272643082,0.309829822878642
amp250_freq5,250,5,B_LEC_128-191,150,-0.03961550777230392,0.04238093226046947,0.00858629667317291,0.008471397648820812
amp250_freq5,250,5,B_LEC_192-255,150,0.008298618835660063,0.24004254229476735,-0.12501105399237364,-0.13469455251380416
amp250_freq50,250,50,A_dHPC_0-31,150,,,,
amp250_freq50,250,50,A_dHPC_32-63,150,,,,
amp250_freq50,250,50,A_dHPC_64-95,150,,,,
amp250_freq50,250,50,A_dHPC_96-127,150,,,,
amp250_freq50,250,50,B_LEC_128-191,150,,,,
amp250_freq50,250,50,B_LEC_192-255,150,,,,
