condition,amplitude,frequency,analysis_group,n_channels,driven_log2_power_change,five_hz_log2_power_change,twenty_six_hz_log2_power_change
amp180_freq5,180,5,A_dHPC_0-31,32,0.010972722171024919,0.010972722171024919,0.0748861821347584
amp180_freq5,180,5,A_dHPC_32-63,32,0.03458672327453705,0.03458672327453705,0.09692455852342634
amp180_freq5,180,5,A_dHPC_64-95,32,0.02316805363820868,0.02316805363820868,0.08831964565002938
amp180_freq5,180,5,A_dHPC_96-127,32,0.03712384228098104,0.03712384228098104,0.08223872489393085
amp180_freq5,180,5,B_LEC_128-191,64,-0.06551459539708947,-0.06551459539708947,0.0006106877661278751
amp180_freq5,180,5,B_LEC_192-255,64,-0.05088253251178683,-0.05088253251178683,-0.03262920873439726
amp180_freq50,180,50,A_dHPC_0-31,32,-0.18854908486386845,-0.6696789942592185,-0.18854908486386845
amp180_freq50,180,50,A_dHPC_32-63,32,-0.11552920710985015,-0.7026073573948545,-0.11552920710985015
amp180_freq50,180,50,A_dHPC_64-95,32,-0.07337930510148162,-0.6694017738819406,-0.07337930510148162
amp180_freq50,180,50,A_dHPC_96-127,32,-0.09171550490823199,-0.6099418208748671,-0.09171550490823199
amp180_freq50,180,50,B_LEC_128-191,64,0.011501166428161133,-0.09964932165769087,0.011501166428161133
amp180_freq50,180,50,B_LEC_192-255,64,0.038554096822427754,-0.18558951325982023,0.038554096822427754
amp250_freq10,250,10,A_dHPC_0-31,32,-0.09586529892999687,0.08395356743450451,-0.09586529892999687
amp250_freq10,250,10,A_dHPC_32-63,32,-0.07131237572753857,0.06844302692338224,-0.07131237572753857
amp250_freq10,250,10,A_dHPC_64-95,32,-0.08974197873370254,0.06370961704911234,-0.08974197873370254
amp250_freq10,250,10,A_dHPC_96-127,32,-0.07231174936784694,0.09252072474405688,-0.07231174936784694
amp250_freq10,250,10,B_LEC_128-191,64,-0.016890808187741836,0.023272162110716293,-0.016890808187741836
amp250_freq10,250,10,B_LEC_192-255,64,0.02354470434244298,-0.001534089483004838,0.02354470434244298
amp250_freq26,250,26,A_dHPC_0-31,32,-0.20473876906117655,-0.38554889778447804,-0.20473876906117655
amp250_freq26,250,26,A_dHPC_32-63,32,-0.21513523044302355,-0.41206161596881524,-0.21513523044302355
amp250_freq26,250,26,A_dHPC_64-95,32,-0.1673878646265255,-0.3910209096440694,-0.1673878646265255
amp250_freq26,250,26,A_dHPC_96-127,32,-0.1259475801762685,-0.3869966264092593,-0.1259475801762685
amp250_freq26,250,26,B_LEC_128-191,64,0.07780548763313387,-0.12687002944256331,0.07780548763313387
amp250_freq26,250,26,B_LEC_192-255,64,0.07692649819825711,-0.11171952633068317,0.07692649819825711
amp250_freq5,250,5,A_dHPC_0-31,32,-0.08708327933752426,-0.08708327933752426,-0.14500111767925106
amp250_freq5,250,5,A_dHPC_32-63,32,-0.12036621124693318,-0.12036621124693318,-0.13377211671874073
amp250_freq5,250,5,A_dHPC_64-95,32,-0.11009291086803294,-0.11009291086803294,-0.1098878273202968
amp250_freq5,250,5,A_dHPC_96-127,32,-0.1143566612770406,-0.1143566612770406,-0.12207571852529489
amp250_freq5,250,5,B_LEC_128-191,64,0.027361234158831384,0.027361234158831384,0.037538012031524216
amp250_freq5,250,5,B_LEC_192-255,64,0.044369811080751116,0.044369811080751116,-0.04315110662013408
amp250_freq50,250,50,A_dHPC_0-31,32,0.07394683198815874,-0.7198024132148506,0.07394683198815874
amp250_freq50,250,50,A_dHPC_32-63,32,0.07008467565389329,-0.7455658895185715,0.07008467565389329
amp250_freq50,250,50,A_dHPC_64-95,32,0.07136162049978848,-0.7195047335298563,0.07136162049978848
amp250_freq50,250,50,A_dHPC_96-127,32,0.04078748716031747,-0.6599972242660621,0.04078748716031747
amp250_freq50,250,50,B_LEC_128-191,64,0.05049415787099521,-0.2532284584311697,0.05049415787099521
amp250_freq50,250,50,B_LEC_192-255,64,0.03680502545720375,-0.18538273953311554,0.03680502545720375
