trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,pre_abs,on_abs,off_abs,on_delta,off_delta,on_minus_off
999,amp180_freq5,180,5,A_dHPC_32-63,32,111.57886505126953,140.11996459960938,180.1532440185547,28.541099548339844,68.57437896728516,-40.03327941894531
999,amp180_freq5,180,5,A_dHPC_64-95,32,120.62872314453125,136.73873901367188,176.03842163085938,16.110015869140625,55.409698486328125,-39.2996826171875
999,amp180_freq5,180,5,A_dHPC_96-127,31,89.9656753540039,92.8394546508789,117.43408203125,2.873779296875,27.468406677246094,-24.594627380371094
999,amp180_freq5,180,5,B_LEC_128-191,51,75.15104675292969,71.72074127197266,77.55835723876953,-3.4303054809570312,2.4073104858398438,-5.837615966796875
999,amp180_freq5,180,5,B_LEC_192-255,32,65.31391143798828,47.67232894897461,54.82621383666992,-17.641582489013672,-10.48769760131836,-7.1538848876953125
1000,amp100_freq10,100,10,A_dHPC_0-31,32,182.7196502685547,172.99835205078125,183.75733947753906,-9.721298217773438,1.037689208984375,-10.758987426757812
1000,amp100_freq10,100,10,A_dHPC_32-63,32,171.96707153320312,134.74131774902344,183.49571228027344,-37.22575378417969,11.528640747070312,-48.75439453125
1000,amp100_freq10,100,10,A_dHPC_64-95,32,157.41455078125,124.86572265625,167.93350219726562,-32.548828125,10.518951416015625,-43.067779541015625
1000,amp100_freq10,100,10,A_dHPC_96-127,31,108.54789733886719,90.09967041015625,114.48039245605469,-18.448226928710938,5.9324951171875,-24.380722045898438
1000,amp100_freq10,100,10,B_LEC_128-191,51,81.96121215820312,77.04173278808594,72.18445587158203,-4.9194793701171875,-9.776756286621094,4.857276916503906
1000,amp100_freq10,100,10,B_LEC_192-255,32,39.88807678222656,58.49058532714844,47.68751907348633,18.602508544921875,7.799442291259766,10.80306625366211
1001,amp250_freq10,250,10,A_dHPC_0-31,32,186.2969207763672,182.8536376953125,178.54583740234375,-3.4432830810546875,-7.7510833740234375,4.30780029296875
1001,amp250_freq10,250,10,A_dHPC_32-63,32,187.20623779296875,154.4146728515625,143.19288635253906,-32.79156494140625,-44.01335144042969,11.221786499023438
1001,amp250_freq10,250,10,A_dHPC_64-95,32,149.4051055908203,150.393310546875,128.12646484375,0.9882049560546875,-21.278640747070312,22.266845703125
1001,amp250_freq10,250,10,A_dHPC_96-127,31,111.15390014648438,101.35834503173828,98.0837173461914,-9.795555114746094,-13.070182800292969,3.274627685546875
1001,amp250_freq10,250,10,B_LEC_128-191,51,80.11708068847656,83.78035736083984,76.23474884033203,3.6632766723632812,-3.8823318481445312,7.5456085205078125
1001,amp250_freq10,250,10,B_LEC_192-255,32,39.45574951171875,58.980812072753906,74.6820297241211,19.525062561035156,35.226280212402344,-15.701217651367188
1002,amp100_freq5,100,5,A_dHPC_0-31,32,189.20135498046875,196.9690704345703,211.23666381835938,7.7677154541015625,22.035308837890625,-14.267593383789062
1002,amp100_freq5,100,5,A_dHPC_32-63,32,148.78648376464844,162.6226043701172,205.51121520996094,13.83612060546875,56.7247314453125,-42.88861083984375
1002,amp100_freq5,100,5,A_dHPC_64-95,32,145.30030822753906,145.74497985839844,158.12184143066406,0.444671630859375,12.821533203125,-12.376861572265625
1002,amp100_freq5,100,5,A_dHPC_96-127,31,93.07323455810547,106.05232238769531,112.08441162109375,12.979087829589844,19.01117706298828,-6.0320892333984375
