trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,sustained_broadband_delta,offset_broadband_delta,driven_power_log2_delta
903,amp250_freq26,250,26,Group 96-127,32,21.424583435058594,40.281394958496094,0.505548386540054
903,amp250_freq26,250,26,Group 64-95,30,10.845230102539062,123.01786804199219,0.5680190475954213
903,amp250_freq26,250,26,Group 32-63,28,2.334625244140625,43.91981506347656,-1.0598617419205807
903,amp250_freq26,250,26,Group 0-31,29,-15.73297119140625,191.47268676757812,-0.8367899434705887
904,amp180_freq5,180,5,Group 96-127,32,-4.308860778808594,-29.21697998046875,-0.6167517266744891
904,amp180_freq5,180,5,Group 64-95,30,-10.149551391601562,-16.853591918945312,2.9049567398287364
904,amp180_freq5,180,5,Group 32-63,28,-21.083648681640625,-76.6441650390625,2.0321982961697698
904,amp180_freq5,180,5,Group 0-31,29,-41.21153259277344,-90.285400390625,0.3625244615031424
905,amp100_freq5,100,5,Group 96-127,32,-36.94957733154297,-56.483604431152344,-0.030167157524896942
905,amp100_freq5,100,5,Group 64-95,30,-38.12481689453125,-36.71986389160156,0.5009538941218024
905,amp100_freq5,100,5,Group 32-63,28,-39.21893310546875,-63.42455291748047,-0.03992473463158677
905,amp100_freq5,100,5,Group 0-31,29,-77.384765625,-50.32701110839844,0.4858585763601197
906,amp250_freq26,250,26,Group 96-127,32,-8.693588256835938,3.4535598754882812,-1.514969661935433
906,amp250_freq26,250,26,Group 64-95,30,-14.344398498535156,46.18336486816406,2.252803566976994
906,amp250_freq26,250,26,Group 32-63,28,-3.5325851440429688,-23.226638793945312,-1.1639935622342366
906,amp250_freq26,250,26,Group 0-31,29,-4.6151123046875,-13.810760498046875,-0.740200180731177
907,amp180_freq5,180,5,Group 96-127,32,9.783615112304688,3.9218063354492188,0.5502022436171604
907,amp180_freq5,180,5,Group 64-95,30,41.03528594970703,15.056175231933594,0.4150841100830735
907,amp180_freq5,180,5,Group 32-63,28,50.16143798828125,82.965576171875,0.4445769126507297
907,amp180_freq5,180,5,Group 0-31,29,47.82301330566406,5.93341064453125,-2.183594552167736
908,amp100_freq26,100,26,Group 96-127,32,-51.75421142578125,-63.731353759765625,2.12528239154183
908,amp100_freq26,100,26,Group 64-95,30,-36.40623474121094,-59.749717712402344,0.13839400840403204
908,amp100_freq26,100,26,Group 32-63,28,15.5482177734375,-6.5882568359375,1.2460304063826397
908,amp100_freq26,100,26,Group 0-31,29,-52.63517761230469,-53.90428161621094,0.7079578316850791
909,amp250_freq5,250,5,Group 96-127,32,20.000694274902344,3.3289718627929688,1.2156576849627423
909,amp250_freq5,250,5,Group 64-95,30,22.371482849121094,44.711387634277344,-0.8201770116112901
909,amp250_freq5,250,5,Group 32-63,28,4.47393798828125,-49.64076232910156,-1.1909766266569959
909,amp250_freq5,250,5,Group 0-31,29,34.79060363769531,-48.3255615234375,0.7936641331610207
910,amp250_freq26,250,26,Group 96-127,32,14.899032592773438,17.713653564453125,-0.28554428872418
910,amp250_freq26,250,26,Group 64-95,30,-0.8702239990234375,-24.5810546875,0.7750512927059772
910,amp250_freq26,250,26,Group 32-63,28,1.8313751220703125,19.747055053710938,-0.4451526938349866
910,amp250_freq26,250,26,Group 0-31,29,20.368377685546875,68.91082763671875,2.2491736095176336
911,amp180_freq5,180,5,Group 96-127,32,50.67076110839844,35.816001892089844,2.3869948299231396
911,amp180_freq5,180,5,Group 64-95,30,52.419586181640625,156.2133026123047,1.268711802202023
911,amp180_freq5,180,5,Group 32-63,28,65.82591247558594,69.54513549804688,1.5291647538349598
911,amp180_freq5,180,5,Group 0-31,29,74.30862426757812,70.80744934082031,1.5240053437132766
912,amp100_freq26,100,26,Group 96-127,32,-7.972724914550781,-41.95767593383789,1.8991316552040651
912,amp100_freq26,100,26,Group 64-95,30,11.617843627929688,-12.954559326171875,2.861944500685283
912,amp100_freq26,100,26,Group 32-63,28,10.293426513671875,-48.10118103027344,3.871767876040207
912,amp100_freq26,100,26,Group 0-31,29,14.516616821289062,-77.89454650878906,-1.4337730787572351
913,amp250_freq5,250,5,Group 96-127,32,38.17988586425781,30.577178955078125,0.08705594890878399
913,amp250_freq5,250,5,Group 64-95,30,25.153785705566406,85.68647003173828,0.32244124513612205
913,amp250_freq5,250,5,Group 32-63,28,54.604835510253906,23.02459716796875,0.6924970174946319
913,amp250_freq5,250,5,Group 0-31,29,75.01800537109375,100.17854309082031,1.801915067370726
