trial_number,condition,amplitude,frequency,recording_start_time_s,movement
1751,amp180_freq10,180,10,13286.780025,52.25887210013636
1752,amp100_freq50,100,50,13292.780025,46.337814604579286
1753,amp100_freq5,100,5,13298.780025,46.06872434479186
1754,amp180_freq5,180,5,13304.780025,48.96397349716562
1755,amp180_freq10,180,10,13310.780025,51.544784130395975
1756,amp250_freq50,250,50,13316.780025,100.3962321923328
1757,amp100_freq5,100,5,13322.780025,50.31808381496276
1758,amp250_freq10,250,10,13328.780025,42.866885313312245
1759,amp100_freq26,100,26,13334.780025,53.925585934292805
1760,amp250_freq26,250,26,13340.780025,50.02653540840252
1761,amp250_freq10,250,10,13346.780025,49.80023866636806
1762,amp100_freq5,100,5,13352.780025,46.48353919069237
1763,amp100_freq50,100,50,13358.780025,49.094522947208446
1764,amp250_freq26,250,26,13364.780025,50.39150808318216
1765,amp180_freq10,180,10,13370.780025,48.08946553338863
1766,amp100_freq26,100,26,13376.780025,47.922408050007256
1767,amp180_freq5,180,5,13382.780025,52.49062384168004
1768,amp180_freq50,180,50,13388.780025,59.236940879184615
1769,amp250_freq26,250,26,13394.780025,107.50256372922021
1770,amp180_freq26,180,26,13400.780025,56.22360818436095
1771,amp250_freq26,250,26,13406.780025,54.49330882640913
1772,amp250_freq50,250,50,13412.780025,51.15230855135324
1773,amp100_freq10,100,10,13418.780025,56.167167331216405
1774,amp250_freq5,250,5,13424.780025,53.89896468228682
1775,amp180_freq26,180,26,13430.780025,56.39194354233587
1776,amp180_freq50,180,50,13436.780025,48.652587400513454
1777,amp180_freq26,180,26,13442.780025,51.29735610680489
1778,amp250_freq5,250,5,13448.780025,54.09931244011054
1779,amp100_freq5,100,5,13454.780025,52.88520926357569
1780,amp100_freq5,100,5,13460.780025,50.17617433403952
1781,amp250_freq50,250,50,13466.780025,56.39689894932828
1782,amp250_freq26,250,26,13472.780025,53.55478043389563
1783,amp250_freq26,250,26,13478.780025,50.26133937030579
1784,amp180_freq5,180,5,13484.780025,47.111394620157625
1785,amp250_freq10,250,10,13490.780025,58.85971012778858
1786,amp180_freq50,180,50,13496.780025,52.516969769386534
1787,amp250_freq5,250,5,13502.780025,56.87744517125321
1788,amp250_freq50,250,50,13508.780025,72.81948824235398
1789,amp100_freq10,100,10,13514.780025,65.41052209495449
1790,amp250_freq5,250,5,13520.780025,49.329359089033744
1791,amp250_freq26,250,26,13526.780025,50.01181609245896
1792,amp180_freq26,180,26,13532.780025,52.58286278487633
1793,amp250_freq5,250,5,13538.780025,51.60945605588743
1794,amp250_freq5,250,5,13544.780025,51.19038351111118
1795,amp180_freq26,180,26,13550.780025,51.114025021170995
1796,amp250_freq50,250,50,13556.780025,104.71596616986926
1797,amp180_freq10,180,10,13562.780025,44.27475944288492
1798,amp180_freq5,180,5,13568.780025,68.05610807588741
1799,amp250_freq26,250,26,13574.780025,118.59823279272837
1800,amp250_freq10,250,10,13580.780025,82.3522619716757
1801,amp180_freq5,180,5,13586.780025,108.48257989810463
1802,amp250_freq5,250,5,13592.780025,118.00528833344933
1803,amp100_freq5,100,5,13598.780025,45.016314154057916
1804,amp180_freq5,180,5,13604.780025,105.09653626124522
1805,amp250_freq5,250,5,13610.780025,67.93997449109901
1806,amp250_freq50,250,50,13616.780025,65.8217400345271
1807,amp250_freq50,250,50,13622.780025,62.993257604806914
1808,amp100_freq10,100,10,13628.780025,49.58616427173444
1809,amp250_freq5,250,5,13634.780025,54.81166125374154
1810,amp250_freq26,250,26,13640.780025,51.02358248407797
1811,amp180_freq26,180,26,13646.780025,53.94264405775875
1812,amp100_freq10,100,10,13652.780025,49.11817451901554
1813,amp180_freq50,180,50,13658.780025,58.28938835163138
1814,amp250_freq10,250,10,13664.780025,53.33201666484861
1815,amp250_freq50,250,50,13670.780025,109.37453418431825
1816,amp250_freq50,250,50,13676.780025,66.99398808959685
1817,amp250_freq26,250,26,13682.780025,68.10757240468794
1818,amp100_freq50,100,50,13688.780025,53.75984001580659
1819,amp100_freq26,100,26,13694.780025,50.961317583557864
1820,amp100_freq5,100,5,13700.780025,44.429671933440076
1821,amp180_freq10,180,10,13706.780025,53.27864005495362
1822,amp250_freq10,250,10,13712.780025,50.80887705020382
1823,amp100_freq26,100,26,13718.780025,50.82506149587562
1824,amp100_freq26,100,26,13724.780025,50.25144687731074
1825,amp180_freq26,180,26,13730.780025,51.929738453863635
1826,amp180_freq26,180,26,13736.780025,49.97015309093665
1827,amp250_freq50,250,50,13742.780025,58.20245757134252
1828,amp180_freq10,180,10,13748.780025,52.33951244840109
1829,amp100_freq10,100,10,13754.780025,44.63310568879807
1830,amp250_freq26,250,26,13760.780025,50.83426668492622
1831,amp180_freq5,180,5,13766.780025,47.56150248591371
1832,amp250_freq50,250,50,13772.780025,74.3546591906965
1833,amp180_freq10,180,10,13778.780025,52.7120034199868
1834,amp100_freq10,100,10,13784.780025,49.10248363183304
1835,amp180_freq10,180,10,13790.780025,44.985284750036264
1836,amp250_freq50,250,50,13796.780025,58.80872890629471
1837,amp250_freq5,250,5,13802.780025,50.50615118312946
1838,amp100_freq10,100,10,13808.780025,50.98613032511943
1839,amp250_freq10,250,10,13814.780025,64.67170787107612
