trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,sustained_broadband_delta,offset_broadband_delta,driven_power_log2_delta
480,amp180_freq10,180,10,B_LEC_192-255,32,14.768966674804688,89.78521347045898,-1.430355804122865
481,amp180_freq26,180,26,A_dHPC_0-31,32,13.16876220703125,54.57942199707031,-2.46128934174684
481,amp180_freq26,180,26,A_dHPC_32-63,32,5.5417022705078125,57.357940673828125,-1.618706201757517
481,amp180_freq26,180,26,A_dHPC_64-95,32,15.512588500976562,35.23614501953125,-1.152557802200182
481,amp180_freq26,180,26,A_dHPC_96-127,31,-9.125503540039062,-11.413505554199219,-0.08921559287339594
481,amp180_freq26,180,26,B_LEC_128-191,51,-10.409202575683594,10.808441162109375,-0.001431561987728755
481,amp180_freq26,180,26,B_LEC_192-255,32,8.869483947753906,2.4040756225585938,-2.262235098436441
482,amp100_freq50,100,50,A_dHPC_0-31,32,6.6973419189453125,-29.319488525390625,-0.35333798145358464
482,amp100_freq50,100,50,A_dHPC_32-63,32,1.021728515625,-108.70234680175781,0.8090481365197658
482,amp100_freq50,100,50,A_dHPC_64-95,32,-13.924179077148438,-76.50630187988281,-0.3034227011128365
482,amp100_freq50,100,50,A_dHPC_96-127,31,-0.149658203125,-21.57628631591797,1.5259635281795743
482,amp100_freq50,100,50,B_LEC_128-191,51,12.155410766601562,14.423919677734375,-0.4599802403473596
482,amp100_freq50,100,50,B_LEC_192-255,32,-24.56287384033203,-6.068851470947266,-0.9747159738423646
483,amp180_freq50,180,50,A_dHPC_0-31,32,2.67266845703125,-93.69773864746094,-1.2399490034021203
483,amp180_freq50,180,50,A_dHPC_32-63,32,1.03570556640625,-59.37037658691406,0.482746865927641
483,amp180_freq50,180,50,A_dHPC_64-95,32,-54.79548645019531,-100.33647918701172,-0.17311811109564162
483,amp180_freq50,180,50,A_dHPC_96-127,31,5.108734130859375,-21.713088989257812,3.172642172603667
483,amp180_freq50,180,50,B_LEC_128-191,51,1.8382644653320312,24.607589721679688,-1.554347056771251
483,amp180_freq50,180,50,B_LEC_192-255,32,13.173751831054688,42.293212890625,-0.005898192155835591
484,amp250_freq50,250,50,A_dHPC_0-31,32,0.144378662109375,-31.30487060546875,-0.9415120263468948
484,amp250_freq50,250,50,A_dHPC_32-63,32,-36.02009582519531,-34.88653564453125,0.44881489569612065
484,amp250_freq50,250,50,A_dHPC_64-95,32,38.41394805908203,66.71997833251953,-2.131926787655645
484,amp250_freq50,250,50,A_dHPC_96-127,31,7.068672180175781,-12.848289489746094,-3.124076390908373
484,amp250_freq50,250,50,B_LEC_128-191,51,-7.452751159667969,-21.451107025146484,0.5187883645135991
484,amp250_freq50,250,50,B_LEC_192-255,32,7.560016632080078,10.354621887207031,0.09101098701732617
485,amp180_freq26,180,26,A_dHPC_0-31,32,3.465911865234375,-50.61927795410156,-0.6085155539063791
