condition,amplitude,frequency,channel,shank,n_trials,pre_abs_lfp,onset_abs_lfp,sustained_abs_lfp,offset_abs_lfp,recovery_abs_lfp,onset_minus_pre_abs_lfp,sustained_minus_pre_abs_lfp,offset_minus_pre_abs_lfp,recovery_minus_pre_abs_lfp
amp180_freq26,180,26,107,Section 1 (96-127),100,1185.504150390625,1225.2825927734375,1255.0291748046875,1306.7705078125,1274.7364501953125,39.7784423828125,69.5250244140625,121.266357421875,89.2322998046875
amp180_freq26,180,26,108,Section 1 (96-127),100,1081.6129150390625,1118.86572265625,1147.7412109375,1192.2222900390625,1165.7861328125,37.2528076171875,66.1282958984375,110.609375,84.1732177734375
amp180_freq26,180,26,109,Section 1 (96-127),100,957.9954223632812,994.1438598632812,1018.98193359375,1056.8505859375,1035.5513916015625,36.1484375,60.98651123046875,98.85516357421875,77.55596923828125
amp180_freq26,180,26,110,Section 1 (96-127),100,808.283203125,839.18017578125,862.478515625,892.6436157226562,875.606201171875,30.89697265625,54.1953125,84.36041259765625,67.322998046875
amp180_freq26,180,26,111,Section 1 (96-127),100,695.6180419921875,728.4436645507812,742.529541015625,765.3095703125,753.971435546875,32.82562255859375,46.9114990234375,69.6915283203125,58.3533935546875
amp180_freq26,180,26,112,Section 1 (96-127),100,537.7479248046875,515.0137939453125,569.27587890625,595.1654663085938,585.1664428710938,-22.734130859375,31.5279541015625,57.41754150390625,47.41851806640625
amp180_freq26,180,26,113,Section 1 (96-127),100,543.6682739257812,519.1864624023438,575.2890625,602.094970703125,590.9847412109375,-24.4818115234375,31.62078857421875,58.42669677734375,47.31646728515625
amp180_freq26,180,26,114,Section 1 (96-127),100,391.43475341796875,373.77252197265625,421.8069152832031,448.688232421875,434.62451171875,-17.6622314453125,30.372161865234375,57.25347900390625,43.18975830078125
amp180_freq26,180,26,115,Section 1 (96-127),100,550.9707641601562,527.4934692382812,584.4207763671875,613.3399047851562,599.372802734375,-23.477294921875,33.45001220703125,62.369140625,48.40203857421875
amp180_freq26,180,26,116,Section 1 (96-127),100,543.3743896484375,520.7314453125,577.6438598632812,606.33349609375,591.0993041992188,-22.6429443359375,34.26947021484375,62.9591064453125,47.72491455078125
amp180_freq26,180,26,117,Section 1 (96-127),100,537.3931884765625,515.7310791015625,572.7630004882812,600.1241455078125,584.0667114257812,-21.662109375,35.36981201171875,62.73095703125,46.67352294921875
amp180_freq26,180,26,118,Section 1 (96-127),100,535.4378051757812,516.4725952148438,571.27978515625,599.1402587890625,580.071044921875,-18.9652099609375,35.84197998046875,63.70245361328125,44.63323974609375
amp180_freq26,180,26,119,Section 1 (96-127),100,532.7733154296875,517.5358276367188,567.7667236328125,596.2056274414062,574.2236938476562,-15.23748779296875,34.993408203125,63.43231201171875,41.45037841796875
amp180_freq26,180,26,120,Section 1 (96-127),100,521.765625,507.415771484375,553.8571166992188,581.6299438476562,558.6839599609375,-14.349853515625,32.09149169921875,59.86431884765625,36.9183349609375
amp180_freq26,180,26,121,Section 1 (96-127),100,464.26031494140625,449.98931884765625,489.5650329589844,514.2246704101562,495.358154296875,-14.27099609375,25.304718017578125,49.96435546875,31.09783935546875
amp180_freq26,180,26,122,Section 1 (96-127),100,385.6858825683594,371.5384521484375,403.0966796875,423.2026062011719,410.0270080566406,-14.147430419921875,17.410797119140625,37.5167236328125,24.34112548828125
amp180_freq26,180,26,123,Section 1 (96-127),100,339.5775451660156,328.29986572265625,353.3115539550781,371.24481201171875,359.5325927734375,-11.277679443359375,13.7340087890625,31.667266845703125,19.955047607421875
amp180_freq26,180,26,124,Section 1 (96-127),100,327.49798583984375,317.7421875,340.2568359375,356.9808044433594,347.77301025390625,-9.75579833984375,12.75885009765625,29.482818603515625,20.2750244140625
amp180_freq26,180,26,125,Section 1 (96-127),100,343.3669738769531,335.6225280761719,358.47564697265625,373.8802490234375,368.3981018066406,-7.74444580078125,15.108673095703125,30.513275146484375,25.0311279296875
amp180_freq26,180,26,126,Section 1 (96-127),100,536.0921630859375,539.1119384765625,562.8232421875,576.0823364257812,577.81689453125,3.019775390625,26.7310791015625,39.99017333984375,41.7247314453125
amp180_freq26,180,26,127,Section 1 (96-127),100,484.905029296875,491.3947448730469,512.8916015625,530.7709350585938,527.5103149414062,6.489715576171875,27.986572265625,45.86590576171875,42.60528564453125
