condition,amplitude,frequency,trial_number,on_delta,off_delta,on_minus_off,condition_repeat_index,condition_repeat_fraction,epoch
amp100_freq5,100,5,723,0.428397496541341,-6.2718149820963545,6.700212478637695,62,0.3065326633165829,early
amp100_freq10,100,10,724,7.635148366292317,21.657263437906902,-14.022115071614584,67,0.3316582914572864,early
amp180_freq5,180,5,725,-7.897157033284505,5.019774119059245,-12.91693115234375,62,0.3065326633165829,early
amp100_freq10,100,10,726,-57.12163480122884,-51.09740130106608,-6.024233500162761,68,0.33668341708542715,middle
amp250_freq10,250,10,727,30.037267049153645,21.620110193888348,8.417156855265299,71,0.35175879396984927,middle
amp180_freq26,180,26,728,-38.966356913248696,-35.894890467325844,-3.0714664459228516,60,0.2964824120603015,early
amp250_freq10,250,10,729,-6.758137385050456,-9.149026870727539,2.390889485677084,72,0.35678391959798994,middle
amp180_freq26,180,26,730,13.768667856852213,-4.009885787963867,17.778553644816082,61,0.3015075376884422,early
amp250_freq26,250,26,731,16.920392354329426,26.33831532796224,-9.417922973632812,55,0.271356783919598,early
amp250_freq5,250,5,732,18.952755610148113,-0.015538533528645834,18.968294143676758,56,0.27638190954773867,early
amp100_freq50,100,50,733,16.35602060953776,28.159016927083332,-11.802996317545572,56,0.27638190954773867,early
amp250_freq26,250,26,734,-14.033976236979166,-6.372897466023763,-7.661078770955403,56,0.27638190954773867,early
amp180_freq26,180,26,735,-14.787878036499023,-11.15954335530599,-3.6283346811930337,62,0.3065326633165829,early
amp100_freq10,100,10,736,0.028708140055338616,6.5174210866292315,-6.488712946573892,69,0.3417085427135678,middle
amp100_freq26,100,26,737,-19.011995315551758,-8.947439829508463,-10.064555486043295,60,0.2964824120603015,early
amp100_freq26,100,26,738,-26.83441098531087,6.5862992604573565,-33.42071024576823,61,0.3015075376884422,early
amp180_freq5,180,5,739,-13.575467427571615,-5.738325119018555,-7.83714230855306,63,0.31155778894472363,early
amp180_freq26,180,26,740,28.222724278767902,54.02974510192871,-25.80702082316081,63,0.31155778894472363,early
amp100_freq5,100,5,741,-13.456639607747396,-12.380881627400717,-1.07575798034668,63,0.31155778894472363,early
amp250_freq50,250,50,742,-4.1275787353515625,20.57972590128581,-24.70730463663737,49,0.24120603015075376,early
amp180_freq50,180,50,743,0.17987759908040366,2.12395985921224,-1.944082260131836,70,0.34673366834170855,middle
amp180_freq5,180,5,744,25.625266393025715,38.25041643778483,-12.625150044759115,64,0.3165829145728643,early
amp100_freq5,100,5,745,20.971102396647137,2.4158217112223306,18.555280685424805,64,0.3165829145728643,early
amp100_freq5,100,5,746,6.848180770874023,-7.383700688680013,14.231881459554037,65,0.32160804020100503,early
amp180_freq5,180,5,747,8.97296396891276,21.753416061401367,-12.780452092488607,65,0.32160804020100503,early
amp100_freq26,100,26,748,8.05352783203125,-12.584722518920898,20.63825035095215,62,0.3065326633165829,early
amp250_freq26,250,26,749,-6.581356684366862,6.859866460164388,-13.44122314453125,57,0.2814070351758794,early
amp100_freq10,100,10,750,-14.835064570109049,-6.757354100545247,-8.077710469563803,70,0.34673366834170855,middle
amp250_freq50,250,50,751,-45.96132946014404,-46.82325967152914,0.8619302113850912,50,0.24623115577889448,early
amp250_freq50,250,50,752,23.043309529622395,46.82365036010742,-23.780340830485027,51,0.25125628140703515,early
amp180_freq26,180,26,753,33.46242650349935,12.666545232137045,20.795881271362305,64,0.3165829145728643,early
amp180_freq26,180,26,754,2.613029479980469,-6.1346791585286455,8.747708638509115,65,0.32160804020100503,early
amp180_freq50,180,50,755,29.63786443074544,17.706811269124348,11.931053161621094,71,0.35175879396984927,middle
amp180_freq5,180,5,756,0.15682093302408853,-0.22580591837565103,0.3826268513997393,66,0.32663316582914576,early
amp180_freq50,180,50,757,8.482490539550781,6.823392868041992,1.659097671508789,72,0.35678391959798994,middle
amp250_freq5,250,5,758,5.119986852010091,2.825466156005859,2.2945206960042315,57,0.2814070351758794,early
amp250_freq50,250,50,759,-18.18299929300944,-6.720902760823567,-11.462096532185873,52,0.2562814070351759,early
amp180_freq10,180,10,760,-5.853623708089192,-4.695924123128255,-1.1576995849609373,66,0.32663316582914576,early
amp180_freq50,180,50,761,-13.198291778564453,-15.563773473103842,2.365481694539388,73,0.36180904522613067,middle
amp100_freq26,100,26,762,38.49993451436361,43.80135154724121,-5.3014170328776045,63,0.31155778894472363,early
amp100_freq50,100,50,763,3.7538204193115234,-0.24832598368326794,4.002146402994792,57,0.2814070351758794,early
amp250_freq5,250,5,764,65.92049853006999,23.387428919474285,42.5330696105957,58,0.2864321608040201,early
amp250_freq26,250,26,765,-4.492043177286784,-12.598108927408854,8.10606575012207,58,0.2864321608040201,early
amp100_freq10,100,10,766,49.28470802307129,76.50645701090495,-27.22174898783366,71,0.35175879396984927,middle
amp250_freq26,250,26,767,-16.140642166137695,1.8183104197184246,-17.95895258585612,59,0.2914572864321608,early
amp250_freq26,250,26,768,-18.89801279703776,-18.624285380045574,-0.2737274169921875,60,0.2964824120603015,early
amp100_freq5,100,5,769,5.070218404134114,27.91813850402832,-22.847920099894207,66,0.32663316582914576,early
amp250_freq5,250,5,770,-43.882677714029946,-37.86522674560547,-6.0174509684244795,59,0.2914572864321608,early
amp100_freq5,100,5,771,-4.94834582010905,0.8862133026123047,-5.8345591227213545,67,0.3316582914572864,early
amp180_freq26,180,26,772,-2.8600794474283853,-7.571416854858398,4.711337407430013,66,0.32663316582914576,early
amp180_freq10,180,10,773,20.805887858072918,30.293959935506184,-9.488072077433268,67,0.3316582914572864,early
amp180_freq10,180,10,774,15.5036252339681,33.26385943094889,-17.760234196980793,68,0.33668341708542715,middle
amp100_freq5,100,5,775,-28.05311648050944,-7.622322082519531,-20.43079439798991,68,0.33668341708542715,middle
amp250_freq26,250,26,776,-25.688788096110027,-30.0863520304362,4.397563934326172,61,0.3015075376884422,early
amp250_freq5,250,5,777,8.651096979777018,36.331644694010414,-27.6805477142334,60,0.2964824120603015,early
amp180_freq26,180,26,778,36.223742167154946,33.60496584574381,2.6187763214111324,67,0.3316582914572864,early
amp250_freq50,250,50,779,-25.530110677083332,-1.1838334401448565,-24.346277236938477,53,0.2613065326633166,early
amp250_freq5,250,5,780,-20.826983133951824,2.9912643432617188,-23.818247477213543,61,0.3015075376884422,early
amp100_freq5,100,5,781,4.26951789855957,9.899313608805338,-5.6297957102457685,69,0.3417085427135678,middle
amp180_freq26,180,26,782,-13.962177912394205,-11.2201296488444,-2.7420482635498047,68,0.33668341708542715,middle
amp100_freq5,100,5,783,-18.378182729085285,-23.082242329915363,4.704059600830078,70,0.34673366834170855,middle
amp100_freq50,100,50,784,34.83191172281901,18.93719991048177,15.89471181233724,58,0.2864321608040201,early
amp250_freq10,250,10,785,14.090353012084961,5.893185933430989,8.19716707865397,73,0.36180904522613067,middle
amp180_freq26,180,26,786,-35.402377446492515,-49.26518948872884,13.862812042236328,69,0.3417085427135678,middle
amp100_freq50,100,50,787,11.90730349222819,8.39053726196289,3.5167662302652993,59,0.2914572864321608,early
amp100_freq26,100,26,788,-9.460125605265299,-12.008059819539389,2.5479342142740884,64,0.3165829145728643,early
amp250_freq5,250,5,789,-14.359091440836588,-26.981272379557293,12.622180938720703,62,0.3065326633165829,early
amp180_freq26,180,26,790,31.17750358581543,32.33757336934408,-1.1600697835286458,70,0.34673366834170855,middle
amp180_freq5,180,5,791,-1.9717979431152342,-16.590348561604817,14.618550618489584,67,0.3316582914572864,early
amp100_freq10,100,10,792,14.053889592488607,1.238146464029948,12.815743128458658,72,0.35678391959798994,middle
amp180_freq26,180,26,793,21.36293347676595,21.205244064331055,0.15768941243489584,71,0.35175879396984927,middle
amp250_freq50,250,50,794,-11.929093678792318,4.385916392008464,-16.31501007080078,54,0.2663316582914573,early
amp180_freq5,180,5,795,-10.744460423787435,7.501953125,-18.246413548787434,68,0.33668341708542715,middle
amp250_freq26,250,26,796,7.715185165405273,16.957098642985027,-9.241913477579752,62,0.3065326633165829,early
amp180_freq50,180,50,797,4.738039016723634,-2.7751954396565757,7.513234456380208,74,0.36683417085427134,middle
amp180_freq50,180,50,798,-0.6125170389811198,8.829529444376627,-9.442046483357748,75,0.37185929648241206,middle
amp250_freq5,250,5,799,13.59669049580892,-38.582855224609375,52.1795457204183,63,0.31155778894472363,early
amp100_freq5,100,5,800,22.265036900838215,16.111337025960285,6.15369987487793,71,0.35175879396984927,middle
amp180_freq50,180,50,801,-26.21741231282552,-41.95601272583008,15.738600413004557,76,0.3768844221105528,middle
amp180_freq26,180,26,802,30.703283945719402,24.117123285929363,6.586160659790039,72,0.35678391959798994,middle
amp180_freq10,180,10,803,3.269381841023763,27.10085932413737,-23.831477483113606,69,0.3417085427135678,middle
amp250_freq5,250,5,804,-44.6953379313151,-25.887686411539715,-18.80765151977539,64,0.3165829145728643,early
amp180_freq10,180,10,805,10.308034896850586,25.66569455464681,-15.357659657796225,70,0.34673366834170855,middle
amp100_freq50,100,50,806,-29.727728525797527,-32.397427241007485,2.669698715209961,60,0.2964824120603015,early
amp180_freq10,180,10,807,18.072577794392902,56.818691889444985,-38.746114095052086,71,0.35175879396984927,middle
amp250_freq10,250,10,808,-12.82017707824707,-36.15706825256348,23.336891174316406,74,0.36683417085427134,middle
amp100_freq26,100,26,809,-32.43994649251302,-45.33611043294271,12.896163940429688,65,0.32160804020100503,early
amp100_freq50,100,50,810,30.2064266204834,20.71350351969401,9.492923100789389,61,0.3015075376884422,early
amp180_freq50,180,50,811,-3.319594701131185,-8.641813278198242,5.322218577067058,77,0.38190954773869346,middle
amp180_freq26,180,26,812,31.514918009440105,25.493441263834637,6.021476745605469,73,0.36180904522613067,middle
amp180_freq5,180,5,813,28.2349853515625,3.2291647593180337,25.005820592244465,69,0.3417085427135678,middle
amp180_freq10,180,10,814,10.241557439168295,-11.800054550170898,22.04161198933919,72,0.35678391959798994,middle
amp250_freq5,250,5,815,24.33418369293213,6.447884559631348,17.88629913330078,65,0.32160804020100503,early
amp100_freq50,100,50,816,3.8674144744873047,10.839244842529297,-6.971830368041992,62,0.3065326633165829,early
amp100_freq5,100,5,817,14.571667353312174,-58.94555536905924,73.51722272237141,72,0.35678391959798994,middle
amp180_freq50,180,50,818,2.712808609008789,34.01979255676269,-31.306983947753906,78,0.3869346733668342,middle
amp180_freq26,180,26,819,14.20164426167806,28.388832728068035,-14.187188466389975,74,0.36683417085427134,middle
amp180_freq5,180,5,820,5.902783075968425,23.14668909708659,-17.243906021118164,70,0.34673366834170855,middle
amp180_freq50,180,50,821,-45.13441848754883,-29.711929321289062,-15.422489166259766,79,0.39195979899497485,middle
amp180_freq50,180,50,822,-13.081392288208008,-7.873114267985026,-5.2082780202229815,80,0.3969849246231156,middle
amp180_freq50,180,50,823,8.805535634358725,24.844444910685223,-16.038909276326496,81,0.4020100502512563,middle
amp250_freq5,250,5,824,8.565071105957031,26.38609568277995,-17.821024576822918,66,0.32663316582914576,early
amp180_freq50,180,50,825,-42.409655253092446,-37.29166730244955,-5.117987950642903,82,0.40703517587939697,middle
amp250_freq10,250,10,826,20.754483540852863,36.36638641357421,-15.611902872721354,75,0.37185929648241206,middle
amp250_freq26,250,26,827,-6.338537216186523,6.240832010904948,-12.57936922709147,63,0.31155778894472363,early
amp250_freq50,250,50,828,-19.662441889444988,-41.98542467753092,22.322982788085938,55,0.271356783919598,early
amp100_freq26,100,26,829,0.6413809458414708,39.331271489461265,-38.68989054361979,66,0.32663316582914576,early
amp180_freq5,180,5,830,-17.227373123168945,-13.96083895365397,-3.266534169514974,71,0.35175879396984927,middle
amp250_freq26,250,26,831,26.388744354248047,40.072574615478516,-13.683830261230469,64,0.3165829145728643,early
amp250_freq26,250,26,832,-23.86827023824056,-36.16617647806803,12.297906239827475,65,0.32160804020100503,early
amp180_freq50,180,50,833,-3.198378880818685,-1.6653194427490234,-1.5330594380696614,83,0.4120603015075377,middle
amp100_freq10,100,10,834,13.712810516357422,3.953479131062825,9.759331385294596,73,0.36180904522613067,middle
amp250_freq50,250,50,835,12.452195485432943,7.580782572428386,4.871412913004558,56,0.27638190954773867,early
amp250_freq26,250,26,836,24.40856107076009,4.288191477457683,20.12036959330241,66,0.32663316582914576,early
amp100_freq5,100,5,837,-2.9343204498291016,10.990705490112305,-13.925025939941406,73,0.36180904522613067,middle
amp180_freq10,180,10,838,-27.643240610758465,-4.719096501668294,-22.924144109090168,73,0.36180904522613067,middle
amp180_freq10,180,10,839,-7.419088363647461,-5.344663619995117,-2.0744247436523438,74,0.36683417085427134,middle
amp180_freq50,180,50,840,-18.447853088378906,0.33869171142578125,-18.786544799804688,84,0.41708542713567837,middle
amp100_freq5,100,5,841,-16.139942169189453,-6.92086919148763,-9.219072977701822,74,0.36683417085427134,middle
amp180_freq50,180,50,842,-11.690804799397787,-0.3543599446614583,-11.336444854736328,85,0.4221105527638191,middle
amp100_freq10,100,10,843,7.85719362894694,14.358272552490234,-6.501078923543294,74,0.36683417085427134,middle
amp180_freq5,180,5,844,4.179443995157878,-9.08306630452474,13.262510299682617,72,0.35678391959798994,middle
amp100_freq50,100,50,845,13.829344431559244,4.197837193806966,9.63150723775228,63,0.31155778894472363,early
amp100_freq10,100,10,846,24.656452178955078,10.519212086995443,14.137240091959635,75,0.37185929648241206,middle
amp250_freq26,250,26,847,-15.636503219604492,-13.481072107950846,-2.155431111653646,67,0.3316582914572864,early
amp180_freq50,180,50,848,11.430180867513021,-7.992226282755534,19.422407150268555,86,0.4271356783919598,middle
amp100_freq50,100,50,849,1.5272019704182942,10.78934097290039,-9.262139002482096,64,0.3165829145728643,early
amp250_freq10,250,10,850,5.408660888671875,4.513544082641602,0.8951168060302734,76,0.3768844221105528,middle
amp180_freq5,180,5,851,5.92410405476888,6.878009796142578,-0.9539057413736979,73,0.36180904522613067,middle
amp100_freq50,100,50,852,-4.239992141723633,1.6492958068847656,-5.889287948608398,65,0.32160804020100503,early
amp180_freq10,180,10,853,49.69123458862305,33.89855639139811,15.792678197224935,75,0.37185929648241206,middle
amp250_freq5,250,5,854,1.063880284627279,-25.685453414916992,26.74933369954427,67,0.3316582914572864,early
amp180_freq50,180,50,855,-5.85744031270345,35.306742350260414,-41.16418266296387,87,0.4321608040201005,middle
amp100_freq50,100,50,856,-19.209540049235027,-44.854268391927086,25.64472834269206,66,0.32663316582914576,early
amp100_freq10,100,10,857,21.97279103597005,3.3177433013916002,18.65504773457845,76,0.3768844221105528,middle
amp100_freq5,100,5,858,17.867066701253254,-4.194794336954753,22.061861038208008,75,0.37185929648241206,middle
amp100_freq5,100,5,859,-0.7355696360270182,-25.95840899149577,25.22283935546875,76,0.3768844221105528,middle
amp250_freq10,250,10,860,26.804217020670574,25.89750099182129,0.9067160288492842,77,0.38190954773869346,middle
amp100_freq10,100,10,861,-4.766066233317057,12.861252466837565,-17.62731870015462,77,0.38190954773869346,middle
amp180_freq26,180,26,862,12.01413091023763,30.525174458821613,-18.511043548583984,75,0.37185929648241206,middle
amp100_freq50,100,50,863,-6.598467508951823,-3.101527531941732,-3.4969399770100917,67,0.3316582914572864,early
amp100_freq10,100,10,864,27.250010808308918,-9.60113779703776,36.85114860534668,78,0.3869346733668342,middle
