channel,probe,group,kcoord,x_um_provisional,y_um_provisional,is_bad,connected
124,dHPC,A_dHPC_96-127,4,0.0,560.0,False,True
125,dHPC,A_dHPC_96-127,4,0.0,580.0,False,True
126,dHPC,A_dHPC_96-127,4,0.0,600.0,False,True
127,dHPC,A_dHPC_96-127,4,0.0,620.0,False,True
128,LEC,B_LEC_128-191,5,1560.0,0.0,True,False
129,LEC,B_LEC_128-191,5,1560.0,20.0,True,False
130,LEC,B_LEC_128-191,5,1560.0,40.0,True,False
131,LEC,B_LEC_128-191,5,1560.0,60.0,True,False
132,LEC,B_LEC_128-191,5,1560.0,80.0,True,False
133,LEC,B_LEC_128-191,5,1560.0,100.0,True,False
134,LEC,B_LEC_128-191,5,1560.0,120.0,True,False
135,LEC,B_LEC_128-191,5,1560.0,140.0,True,False
136,LEC,B_LEC_128-191,5,1560.0,160.0,False,True
137,LEC,B_LEC_128-191,5,1560.0,180.0,True,False
138,LEC,B_LEC_128-191,5,1560.0,200.0,True,False
139,LEC,B_LEC_128-191,5,1560.0,220.0,True,False
140,LEC,B_LEC_128-191,5,1560.0,240.0,True,False
141,LEC,B_LEC_128-191,5,1560.0,260.0,True,False
142,LEC,B_LEC_128-191,5,1560.0,280.0,False,True
143,LEC,B_LEC_128-191,5,1560.0,300.0,False,True
144,LEC,B_LEC_128-191,5,1560.0,320.0,False,True
145,LEC,B_LEC_128-191,5,1560.0,340.0,False,True
146,LEC,B_LEC_128-191,5,1560.0,360.0,False,True
147,LEC,B_LEC_128-191,5,1560.0,380.0,False,True
148,LEC,B_LEC_128-191,5,1560.0,400.0,False,True
149,LEC,B_LEC_128-191,5,1560.0,420.0,False,True
150,LEC,B_LEC_128-191,5,1560.0,440.0,False,True
151,LEC,B_LEC_128-191,5,1560.0,460.0,False,True
152,LEC,B_LEC_128-191,5,1560.0,480.0,False,True
153,LEC,B_LEC_128-191,5,1560.0,500.0,False,True
154,LEC,B_LEC_128-191,5,1560.0,520.0,False,True
155,LEC,B_LEC_128-191,5,1560.0,540.0,False,True
156,LEC,B_LEC_128-191,5,1560.0,560.0,False,True
157,LEC,B_LEC_128-191,5,1560.0,580.0,False,True
158,LEC,B_LEC_128-191,5,1560.0,600.0,False,True
159,LEC,B_LEC_128-191,5,1560.0,620.0,False,True
160,LEC,B_LEC_128-191,5,1560.0,640.0,False,True
161,LEC,B_LEC_128-191,5,1560.0,660.0,False,True
162,LEC,B_LEC_128-191,5,1560.0,680.0,False,True
163,LEC,B_LEC_128-191,5,1560.0,700.0,False,True
164,LEC,B_LEC_128-191,5,1560.0,720.0,False,True
165,LEC,B_LEC_128-191,5,1560.0,740.0,False,True
166,LEC,B_LEC_128-191,5,1560.0,760.0,False,True
167,LEC,B_LEC_128-191,5,1560.0,780.0,False,True
168,LEC,B_LEC_128-191,5,1560.0,800.0,False,True
169,LEC,B_LEC_128-191,5,1560.0,820.0,False,True
170,LEC,B_LEC_128-191,5,1560.0,840.0,False,True
171,LEC,B_LEC_128-191,5,1560.0,860.0,False,True
172,LEC,B_LEC_128-191,5,1560.0,880.0,False,True
173,LEC,B_LEC_128-191,5,1560.0,900.0,False,True
174,LEC,B_LEC_128-191,5,1560.0,920.0,False,True
175,LEC,B_LEC_128-191,5,1560.0,940.0,False,True
176,LEC,B_LEC_128-191,5,1560.0,960.0,False,True
177,LEC,B_LEC_128-191,5,1560.0,980.0,False,True
178,LEC,B_LEC_128-191,5,1560.0,1000.0,False,True
179,LEC,B_LEC_128-191,5,1560.0,1020.0,False,True
180,LEC,B_LEC_128-191,5,1560.0,1040.0,False,True
181,LEC,B_LEC_128-191,5,1560.0,1060.0,False,True
182,LEC,B_LEC_128-191,5,1560.0,1080.0,False,True
183,LEC,B_LEC_128-191,5,1560.0,1100.0,False,True
184,LEC,B_LEC_128-191,5,1560.0,1120.0,False,True
185,LEC,B_LEC_128-191,5,1560.0,1140.0,False,True
186,LEC,B_LEC_128-191,5,1560.0,1160.0,False,True
187,LEC,B_LEC_128-191,5,1560.0,1180.0,False,True
188,LEC,B_LEC_128-191,5,1560.0,1200.0,False,True
189,LEC,B_LEC_128-191,5,1560.0,1220.0,False,True
190,LEC,B_LEC_128-191,5,1560.0,1240.0,False,True
191,LEC,B_LEC_128-191,5,1560.0,1260.0,False,True
192,LEC,B_LEC_192-255,6,1620.0,0.0,False,True
193,LEC,B_LEC_192-255,6,1620.0,20.0,False,True
194,LEC,B_LEC_192-255,6,1620.0,40.0,False,True
195,LEC,B_LEC_192-255,6,1620.0,60.0,False,True
196,LEC,B_LEC_192-255,6,1620.0,80.0,False,True
197,LEC,B_LEC_192-255,6,1620.0,100.0,False,True
198,LEC,B_LEC_192-255,6,1620.0,120.0,False,True
199,LEC,B_LEC_192-255,6,1620.0,140.0,False,True
200,LEC,B_LEC_192-255,6,1620.0,160.0,False,True
201,LEC,B_LEC_192-255,6,1620.0,180.0,False,True
202,LEC,B_LEC_192-255,6,1620.0,200.0,False,True
203,LEC,B_LEC_192-255,6,1620.0,220.0,False,True
204,LEC,B_LEC_192-255,6,1620.0,240.0,False,True
205,LEC,B_LEC_192-255,6,1620.0,260.0,False,True
206,LEC,B_LEC_192-255,6,1620.0,280.0,False,True
207,LEC,B_LEC_192-255,6,1620.0,300.0,False,True
208,LEC,B_LEC_192-255,6,1620.0,320.0,False,True
209,LEC,B_LEC_192-255,6,1620.0,340.0,False,True
210,LEC,B_LEC_192-255,6,1620.0,360.0,False,True
211,LEC,B_LEC_192-255,6,1620.0,380.0,False,True
212,LEC,B_LEC_192-255,6,1620.0,400.0,False,True
213,LEC,B_LEC_192-255,6,1620.0,420.0,False,True
214,LEC,B_LEC_192-255,6,1620.0,440.0,False,True
215,LEC,B_LEC_192-255,6,1620.0,460.0,False,True
216,LEC,B_LEC_192-255,6,1620.0,480.0,False,True
217,LEC,B_LEC_192-255,6,1620.0,500.0,False,True
218,LEC,B_LEC_192-255,6,1620.0,520.0,False,True
219,LEC,B_LEC_192-255,6,1620.0,540.0,False,True
220,LEC,B_LEC_192-255,6,1620.0,560.0,False,True
221,LEC,B_LEC_192-255,6,1620.0,580.0,False,True
222,LEC,B_LEC_192-255,6,1620.0,600.0,False,True
223,LEC,B_LEC_192-255,6,1620.0,620.0,False,True
224,LEC,B_LEC_192-255,6,1620.0,640.0,True,False
225,LEC,B_LEC_192-255,6,1620.0,660.0,True,False
226,LEC,B_LEC_192-255,6,1620.0,680.0,True,False
227,LEC,B_LEC_192-255,6,1620.0,700.0,True,False
228,LEC,B_LEC_192-255,6,1620.0,720.0,True,False
229,LEC,B_LEC_192-255,6,1620.0,740.0,True,False
230,LEC,B_LEC_192-255,6,1620.0,760.0,True,False
231,LEC,B_LEC_192-255,6,1620.0,780.0,True,False
232,LEC,B_LEC_192-255,6,1620.0,800.0,True,False
233,LEC,B_LEC_192-255,6,1620.0,820.0,True,False
234,LEC,B_LEC_192-255,6,1620.0,840.0,True,False
235,LEC,B_LEC_192-255,6,1620.0,860.0,True,False
236,LEC,B_LEC_192-255,6,1620.0,880.0,True,False
237,LEC,B_LEC_192-255,6,1620.0,900.0,True,False
238,LEC,B_LEC_192-255,6,1620.0,920.0,True,False
239,LEC,B_LEC_192-255,6,1620.0,940.0,True,False
240,LEC,B_LEC_192-255,6,1620.0,960.0,True,False
241,LEC,B_LEC_192-255,6,1620.0,980.0,True,False
242,LEC,B_LEC_192-255,6,1620.0,1000.0,True,False
243,LEC,B_LEC_192-255,6,1620.0,1020.0,True,False
244,LEC,B_LEC_192-255,6,1620.0,1040.0,True,False
245,LEC,B_LEC_192-255,6,1620.0,1060.0,True,False
246,LEC,B_LEC_192-255,6,1620.0,1080.0,True,False
247,LEC,B_LEC_192-255,6,1620.0,1100.0,True,False
248,LEC,B_LEC_192-255,6,1620.0,1120.0,True,False
249,LEC,B_LEC_192-255,6,1620.0,1140.0,True,False
250,LEC,B_LEC_192-255,6,1620.0,1160.0,True,False
251,LEC,B_LEC_192-255,6,1620.0,1180.0,True,False
252,LEC,B_LEC_192-255,6,1620.0,1200.0,True,False
253,LEC,B_LEC_192-255,6,1620.0,1220.0,True,False
254,LEC,B_LEC_192-255,6,1620.0,1240.0,True,False
255,LEC,B_LEC_192-255,6,1620.0,1260.0,True,False
