trial_number,condition,amplitude,freq,recording_start_time_s,recording_end_time_s,on_start_s,on_end_s,off_start_s,off_end_s
89,amp100_freq10,100,10,3314.780025,3317.780025,3314.780025,3317.780025,3317.780025,3320.780025
90,amp100_freq26,100,26,3320.780025,3323.780025,3320.780025,3323.780025,3323.780025,3326.780025
91,amp250_freq5,250,5,3326.780025,3329.780025,3326.780025,3329.780025,3329.780025,3332.780025
92,amp180_freq26,180,26,3332.780025,3335.780025,3332.780025,3335.780025,3335.780025,3338.780025
93,amp100_freq10,100,10,3338.780025,3341.780025,3338.780025,3341.780025,3341.780025,3344.780025
94,amp250_freq50,250,50,3344.780025,3347.780025,3344.780025,3347.780025,3347.780025,3350.780025
95,amp250_freq10,250,10,3350.780025,3353.780025,3350.780025,3353.780025,3353.780025,3356.780025
96,amp100_freq26,100,26,3356.780025,3359.780025,3356.780025,3359.780025,3359.780025,3362.780025
97,amp100_freq5,100,5,3362.780025,3365.780025,3362.780025,3365.780025,3365.780025,3368.780025
98,amp250_freq26,250,26,3368.780025,3371.780025,3368.780025,3371.780025,3371.780025,3374.780025
99,amp100_freq26,100,26,3374.780025,3377.780025,3374.780025,3377.780025,3377.780025,3380.780025
100,amp100_freq50,100,50,3380.780025,3383.780025,3380.780025,3383.780025,3383.780025,3386.780025
101,amp250_freq26,250,26,3386.780025,3389.780025,3386.780025,3389.780025,3389.780025,3392.780025
102,amp250_freq5,250,5,3392.780025,3395.780025,3392.780025,3395.780025,3395.780025,3398.780025
103,amp250_freq10,250,10,3398.780025,3401.780025,3398.780025,3401.780025,3401.780025,3404.780025
104,amp100_freq50,100,50,3404.780025,3407.780025,3404.780025,3407.780025,3407.780025,3410.780025
105,amp100_freq5,100,5,3410.780025,3413.780025,3410.780025,3413.780025,3413.780025,3416.780025
106,amp250_freq26,250,26,3416.780025,3419.780025,3416.780025,3419.780025,3419.780025,3422.780025
107,amp180_freq50,180,50,3422.780025,3425.780025,3422.780025,3425.780025,3425.780025,3428.780025
108,amp180_freq26,180,26,3428.780025,3431.780025,3428.780025,3431.780025,3431.780025,3434.780025
109,amp250_freq26,250,26,3434.780025,3437.780025,3434.780025,3437.780025,3437.780025,3440.780025
110,amp180_freq5,180,5,3440.780025,3443.780025,3440.780025,3443.780025,3443.780025,3446.780025
111,amp100_freq5,100,5,3446.780025,3449.780025,3446.780025,3449.780025,3449.780025,3452.780025
112,amp180_freq5,180,5,3452.780025,3455.780025,3452.780025,3455.780025,3455.780025,3458.780025
113,amp180_freq5,180,5,3458.780025,3461.780025,3458.780025,3461.780025,3461.780025,3464.780025
114,amp250_freq26,250,26,3464.780025,3467.780025,3464.780025,3467.780025,3467.780025,3470.780025
115,amp180_freq10,180,10,3470.780025,3473.780025,3470.780025,3473.780025,3473.780025,3476.780025
116,amp180_freq10,180,10,3476.780025,3479.780025,3476.780025,3479.780025,3479.780025,3482.780025
117,amp180_freq5,180,5,3482.780025,3485.780025,3482.780025,3485.780025,3485.780025,3488.780025
118,amp180_freq26,180,26,3488.780025,3491.780025,3488.780025,3491.780025,3491.780025,3494.780025
119,amp180_freq5,180,5,3494.780025,3497.780025,3494.780025,3497.780025,3497.780025,3500.780025
120,amp180_freq50,180,50,3500.780025,3503.780025,3500.780025,3503.780025,3503.780025,3506.780025
121,amp100_freq5,100,5,3506.780025,3509.780025,3506.780025,3509.780025,3509.780025,3512.780025
122,amp100_freq10,100,10,3512.780025,3515.780025,3512.780025,3515.780025,3515.780025,3518.780025
123,amp250_freq10,250,10,3518.780025,3521.780025,3518.780025,3521.780025,3521.780025,3524.780025
124,amp100_freq50,100,50,3524.780025,3527.780025,3524.780025,3527.780025,3527.780025,3530.780025
125,amp250_freq10,250,10,3530.780025,3533.780025,3530.780025,3533.780025,3533.780025,3536.780025
126,amp250_freq5,250,5,3536.780025,3539.780025,3536.780025,3539.780025,3539.780025,3542.780025
127,amp250_freq26,250,26,3542.780025,3545.780025,3542.780025,3545.780025,3545.780025,3548.780025
128,amp100_freq50,100,50,3548.780025,3551.780025,3548.780025,3551.780025,3551.780025,3554.780025
129,amp100_freq26,100,26,3554.780025,3557.780025,3554.780025,3557.780025,3557.780025,3560.780025
130,amp180_freq50,180,50,3560.780025,3563.780025,3560.780025,3563.780025,3563.780025,3566.780025
131,amp100_freq5,100,5,3566.780025,3569.780025,3566.780025,3569.780025,3569.780025,3572.780025
132,amp250_freq5,250,5,3572.780025,3575.780025,3572.780025,3575.780025,3575.780025,3578.780025
133,amp250_freq5,250,5,3578.780025,3581.780025,3578.780025,3581.780025,3581.780025,3584.780025
134,amp100_freq50,100,50,3584.780025,3587.780025,3584.780025,3587.780025,3587.780025,3590.780025
135,amp180_freq10,180,10,3590.780025,3593.780025,3590.780025,3593.780025,3593.780025,3596.780025
136,amp100_freq10,100,10,3596.780025,3599.780025,3596.780025,3599.780025,3599.780025,3602.780025
137,amp100_freq26,100,26,3602.780025,3605.780025,3602.780025,3605.780025,3605.780025,3608.780025
138,amp180_freq26,180,26,3608.780025,3611.780025,3608.780025,3611.780025,3611.780025,3614.780025
139,amp100_freq5,100,5,3614.780025,3617.780025,3614.780025,3617.780025,3617.780025,3620.780025
140,amp180_freq5,180,5,3620.780025,3623.780025,3620.780025,3623.780025,3623.780025,3626.780025
141,amp250_freq5,250,5,3626.780025,3629.780025,3626.780025,3629.780025,3629.780025,3632.780025
142,amp180_freq5,180,5,3632.780025,3635.780025,3632.780025,3635.780025,3635.780025,3638.780025
143,amp250_freq5,250,5,3638.780025,3641.780025,3638.780025,3641.780025,3641.780025,3644.780025
144,amp100_freq50,100,50,3644.780025,3647.780025,3644.780025,3647.780025,3647.780025,3650.780025
145,amp250_freq26,250,26,3650.780025,3653.780025,3650.780025,3653.780025,3653.780025,3656.780025
146,amp100_freq50,100,50,3656.780025,3659.780025,3656.780025,3659.780025,3659.780025,3662.780025
147,amp100_freq26,100,26,3662.780025,3665.780025,3662.780025,3665.780025,3665.780025,3668.780025
148,amp180_freq5,180,5,3668.780025,3671.780025,3668.780025,3671.780025,3671.780025,3674.780025
149,amp180_freq10,180,10,3674.780025,3677.780025,3674.780025,3677.780025,3677.780025,3680.780025
150,amp100_freq26,100,26,3680.780025,3683.780025,3680.780025,3683.780025,3683.780025,3686.780025
151,amp250_freq5,250,5,3686.780025,3689.780025,3686.780025,3689.780025,3689.780025,3692.780025
152,amp250_freq10,250,10,3692.780025,3695.780025,3692.780025,3695.780025,3695.780025,3698.780025
153,amp180_freq5,180,5,3698.780025,3701.780025,3698.780025,3701.780025,3701.780025,3704.780025
154,amp100_freq5,100,5,3704.780025,3707.780025,3704.780025,3707.780025,3707.780025,3710.780025
155,amp250_freq26,250,26,3710.780025,3713.780025,3710.780025,3713.780025,3713.780025,3716.780025
156,amp100_freq5,100,5,3716.780025,3719.780025,3716.780025,3719.780025,3719.780025,3722.780025
157,amp180_freq10,180,10,3722.780025,3725.780025,3722.780025,3725.780025,3725.780025,3728.780025
158,amp180_freq50,180,50,3728.780025,3731.780025,3728.780025,3731.780025,3731.780025,3734.780025
159,amp100_freq50,100,50,3734.780025,3737.780025,3734.780025,3737.780025,3737.780025,3740.780025
160,amp100_freq5,100,5,3740.780025,3743.780025,3740.780025,3743.780025,3743.780025,3746.780025
161,amp180_freq5,180,5,3746.780025,3749.780025,3746.780025,3749.780025,3749.780025,3752.780025
162,amp180_freq26,180,26,3752.780025,3755.780025,3752.780025,3755.780025,3755.780025,3758.780025
163,amp250_freq5,250,5,3758.780025,3761.780025,3758.780025,3761.780025,3761.780025,3764.780025
164,amp100_freq26,100,26,3764.780025,3767.780025,3764.780025,3767.780025,3767.780025,3770.780025
165,amp180_freq10,180,10,3770.780025,3773.780025,3770.780025,3773.780025,3773.780025,3776.780025
166,amp180_freq50,180,50,3776.780025,3779.780025,3776.780025,3779.780025,3779.780025,3782.780025
167,amp180_freq10,180,10,3782.780025,3785.780025,3782.780025,3785.780025,3785.780025,3788.780025
168,amp100_freq5,100,5,3788.780025,3791.780025,3788.780025,3791.780025,3791.780025,3794.780025
169,amp180_freq26,180,26,3794.780025,3797.780025,3794.780025,3797.780025,3797.780025,3800.780025
170,amp100_freq10,100,10,3800.780025,3803.780025,3800.780025,3803.780025,3803.780025,3806.780025
171,amp100_freq5,100,5,3806.780025,3809.780025,3806.780025,3809.780025,3809.780025,3812.780025
172,amp100_freq5,100,5,3812.780025,3815.780025,3812.780025,3815.780025,3815.780025,3818.780025
173,amp100_freq50,100,50,3818.780025,3821.780025,3818.780025,3821.780025,3821.780025,3824.780025
174,amp100_freq26,100,26,3824.780025,3827.780025,3824.780025,3827.780025,3827.780025,3830.780025
175,amp250_freq10,250,10,3830.780025,3833.780025,3830.780025,3833.780025,3833.780025,3836.780025
