condition,amplitude,frequency,channel,analysis_group,physical_shank,n_trials,pre_5hz_power,stim_5hz_power,five_hz_log2_power_change,pre_26hz_power,stim_26hz_power,twenty_six_hz_log2_power_change,driven_pre_power,driven_stim_power,driven_log2_power_change
amp250_freq26,250,26,93,Group 64-95,Physical Shank B (64-127),200,29962152181.126472,31616764291.826874,0.07754847133601897,872530116.0811231,751423386.7025206,-0.21557890999642884,872530116.0811231,751423386.7025206,-0.21557890999642884
amp250_freq26,250,26,94,Group 64-95,Physical Shank B (64-127),200,108584216135.26735,116413163944.81645,0.10043979934144749,6829073350.538173,5744590355.617118,-0.249485811317754,6829073350.538173,5744590355.617118,-0.249485811317754
amp250_freq26,250,26,95,Group 64-95,Physical Shank B (64-127),200,159945516163.7808,170079772586.3244,0.08863102375866597,9436182610.253443,8020126835.686179,-0.23457828546126586,9436182610.253443,8020126835.686179,-0.23457828546126586
amp250_freq26,250,26,96,Group 96-127,Physical Shank B (64-127),200,43822886384.17155,45687838278.14007,0.060125672759409526,2874332997.589384,2470172111.3070664,-0.21861564447055667,2874332997.589384,2470172111.3070664,-0.21861564447055667
amp250_freq26,250,26,97,Group 96-127,Physical Shank B (64-127),200,67971849344.06916,70635736628.60744,0.055460893186910165,4042782939.828282,3476847591.6697893,-0.21756891864873196,4042782939.828282,3476847591.6697893,-0.21756891864873196
amp250_freq26,250,26,98,Group 96-127,Physical Shank B (64-127),200,100496566982.66325,104330327015.41264,0.054012366231788386,5558310363.792583,4813507188.697696,-0.20755794877200612,5558310363.792583,4813507188.697696,-0.20755794877200612
amp250_freq26,250,26,99,Group 96-127,Physical Shank B (64-127),200,134548535141.55772,139860494099.23566,0.055861822926563276,7213604659.73499,6264194425.804011,-0.20359136748651632,7213604659.73499,6264194425.804011,-0.20359136748651632
amp250_freq26,250,26,100,Group 96-127,Physical Shank B (64-127),200,174059279915.0622,181161289732.8711,0.05769598250815132,9111608426.606997,7933265751.722766,-0.19979087046419106,9111608426.606997,7933265751.722766,-0.19979087046419106
amp250_freq26,250,26,101,Group 96-127,Physical Shank B (64-127),200,213203532308.76883,222718604572.71768,0.06299073668023543,11014096756.411646,9607445307.799446,-0.19712642380539772,11014096756.411646,9607445307.799446,-0.19712642380539772
amp250_freq26,250,26,102,Group 96-127,Physical Shank B (64-127),200,245984424641.47507,257730894590.1101,0.06729851638147827,12750653373.258438,11168401079.68409,-0.19114851837848573,12750653373.258438,11168401079.68409,-0.19114851837848573
amp250_freq26,250,26,103,Group 96-127,Physical Shank B (64-127),200,256568972684.24136,268896088147.12567,0.06770205384291357,13004044668.306316,11428949533.24695,-0.1862676092366155,13004044668.306316,11428949533.24695,-0.1862676092366155
amp250_freq26,250,26,104,Group 96-127,Physical Shank B (64-127),200,249865079380.7313,262388332252.1074,0.0705542808888024,12593232154.272015,11158813913.732723,-0.17446492066306876,12593232154.272015,11158813913.732723,-0.17446492066306876
amp250_freq26,250,26,105,Group 96-127,Physical Shank B (64-127),200,240253660123.52295,252928409049.05545,0.07417068057288106,12103430387.652805,10704424461.37135,-0.17720876881192538,12103430387.652805,10704424461.37135,-0.17720876881192538
amp250_freq26,250,26,106,Group 96-127,Physical Shank B (64-127),200,220929547077.1494,232859647863.2919,0.07587427990897512,11049870902.009403,9774360145.053646,-0.17695534633488386,11049870902.009403,9774360145.053646,-0.17695534633488386
amp250_freq26,250,26,107,Group 96-127,Physical Shank B (64-127),200,191470950455.3032,202102083048.42438,0.07795866524007329,9646263641.1825,8567862069.471032,-0.17103498589577573,9646263641.1825,8567862069.471032,-0.17103498589577573
amp250_freq26,250,26,108,Group 96-127,Physical Shank B (64-127),200,159030980171.865,167811377825.11978,0.0775326972735185,8019642293.734095,7165275457.353822,-0.1625157208636322,8019642293.734095,7165275457.353822,-0.1625157208636322
amp250_freq26,250,26,109,Group 96-127,Physical Shank B (64-127),200,123060460918.00479,130018387229.54669,0.07934836272086757,6263598765.254657,5688646238.152012,-0.13890643273097525,6263598765.254657,5688646238.152012,-0.13890643273097525
amp250_freq26,250,26,110,Group 96-127,Physical Shank B (64-127),200,85172827586.80771,89822783771.43437,0.0766881890585804,4475821194.712913,4131141831.284825,-0.11561181104073899,4475821194.712913,4131141831.284825,-0.11561181104073899
amp250_freq26,250,26,111,Group 96-127,Physical Shank B (64-127),200,60972674966.99529,63991509723.85108,0.06971766299795157,3302910305.870768,3117553083.2146244,-0.08332366687122675,3302910305.870768,3117553083.2146244,-0.08332366687122675
amp250_freq26,250,26,112,Group 96-127,Physical Shank B (64-127),200,31936130112.727375,32558313679.2098,0.027836475229772,2388493990.1187716,2376385788.017125,-0.007332181099919418,2388493990.1187716,2376385788.017125,-0.007332181099919418
amp250_freq26,250,26,113,Group 96-127,Physical Shank B (64-127),200,32486698030.53128,33339508757.146366,0.03738373236918131,2532803346.035499,2515508267.345858,-0.009885135382524982,2532803346.035499,2515508267.345858,-0.009885135382524982
amp250_freq26,250,26,114,Group 96-127,Physical Shank B (64-127),200,16935711068.28732,17337636523.41923,0.03383868137780441,956745988.1459045,952595923.2664989,-0.006271571805759698,956745988.1459045,952595923.2664989,-0.006271571805759698
amp250_freq26,250,26,115,Group 96-127,Physical Shank B (64-127),200,32967812548.900887,34240720649.708527,0.05465490007981312,2646692122.1304846,2606833060.6550174,-0.02189218544202145,2646692122.1304846,2606833060.6550174,-0.02189218544202145
amp250_freq26,250,26,116,Group 96-127,Physical Shank B (64-127),200,31805125123.88782,33278162072.95162,0.06531649454329441,2555281110.669026,2512567523.61039,-0.024319644843998924,2555281110.669026,2512567523.61039,-0.024319644843998924
amp250_freq26,250,26,117,Group 96-127,Physical Shank B (64-127),200,30796311831.050056,32515423173.980503,0.07836661596069586,2469877680.323399,2407899672.198759,-0.036664312833984414,2469877680.323399,2407899672.198759,-0.036664312833984414
amp250_freq26,250,26,118,Group 96-127,Physical Shank B (64-127),200,30264075568.455452,32277734550.455578,0.09293304110607074,2389318614.750735,2304451386.0636377,-0.05217591608777659,2389318614.750735,2304451386.0636377,-0.05217591608777659
amp250_freq26,250,26,119,Group 96-127,Physical Shank B (64-127),200,29630035059.957363,31669200877.374146,0.09602013029848419,2293520868.8235636,2195924663.829913,-0.06273547433976909,2293520868.8235636,2195924663.829913,-0.06273547433976909
amp250_freq26,250,26,120,Group 96-127,Physical Shank B (64-127),200,28108262354.132446,29929115448.393658,0.09055537135588573,2164081703.7078576,2044290911.109009,-0.08215445595013211,2164081703.7078576,2044290911.109009,-0.08215445595013211
amp250_freq26,250,26,121,Group 96-127,Physical Shank B (64-127),200,20836331734.44902,22056288500.31968,0.08208873182400642,1787218576.3981009,1672829156.9756424,-0.09542597336564244,1787218576.3981009,1672829156.9756424,-0.09542597336564244
amp250_freq26,250,26,122,Group 96-127,Physical Shank B (64-127),200,12685650936.490664,13117807823.785082,0.04832909475499308,1378328014.0160346,1268909993.826913,-0.11932952122539506,1378328014.0160346,1268909993.826913,-0.11932952122539506
amp250_freq26,250,26,123,Group 96-127,Physical Shank B (64-127),200,9077994943.815424,9134850949.003181,0.009007504227525545,1176444853.043749,1081182554.245616,-0.12182355634110287,1176444853.043749,1081182554.245616,-0.12182355634110287
amp250_freq26,250,26,124,Group 96-127,Physical Shank B (64-127),200,8758442081.277784,8775988306.55635,0.0028873319617595057,1133247083.3101125,1026050550.0601481,-0.14336063866943805,1133247083.3101125,1026050550.0601481,-0.14336063866943805
amp250_freq26,250,26,125,Group 96-127,Physical Shank B (64-127),200,11110562921.267838,11283430353.485727,0.02227382477163504,1244428543.256796,1108329656.8595822,-0.16709633693456238,1244428543.256796,1108329656.8595822,-0.16709633693456238
amp250_freq26,250,26,126,Group 96-127,Physical Shank B (64-127),200,38450074016.6873,40540398943.666405,0.07637391053534023,2074157048.7120624,1814084841.527358,-0.19328320493229245,2074157048.7120624,1814084841.527358,-0.19328320493229245
amp250_freq26,250,26,127,Group 96-127,Physical Shank B (64-127),200,28464476923.236866,29641001124.932274,0.058431587174893,2086433571.2251153,1807811353.6598685,-0.20679484878157187,2086433571.2251153,1807811353.6598685,-0.20679484878157187
amp250_freq5,250,5,0,Group 0-31,Physical Shank A (0-63),200,247811947080.46393,260568193774.26248,0.07241525038350959,14375369610.226898,13640445834.105742,-0.0757082509666011,247811947080.46393,260568193774.26248,0.07241525038350959
amp250_freq5,250,5,1,Group 0-31,Physical Shank A (0-63),200,239604734453.93582,251551621047.71652,0.07019807141586311,13896718724.371643,13219432304.923435,-0.07208405272831912,239604734453.93582,251551621047.71652,0.07019807141586311
amp250_freq5,250,5,2,Group 0-31,Physical Shank A (0-63),200,240203838741.15353,251331630581.5551,0.06533304146276857,14169879798.248365,13430405521.516628,-0.07732465349120772,240203838741.15353,251331630581.5551,0.06533304146276857
amp250_freq5,250,5,3,Group 0-31,Physical Shank A (0-63),200,263278496114.1999,272861628912.4695,0.051579839592856065,15384411206.37536,14535783974.157269,-0.08186034576405052,263278496114.1999,272861628912.4695,0.051579839592856065
amp250_freq5,250,5,4,Group 0-31,Physical Shank A (0-63),200,312178599453.3019,317689715255.0035,0.02524674493385615,16989857310.935286,15920144309.973814,-0.09382032270462413,312178599453.3019,317689715255.0035,0.02524674493385615
amp250_freq5,250,5,5,Group 0-31,Physical Shank A (0-63),200,380612430171.4222,379159118673.1412,-0.0055192586556399425,18277490775.022602,16820469432.041224,-0.11985005419318089,380612430171.4222,379159118673.1412,-0.0055192586556399425
