dataset,cluster_id,peak_channel,trough_to_peak_ms,half_width_ms,peak_trough_ratio,firing_rate_hz,refractory_pct,burst_pct,cv2,cell_type,type_posterior,narrow_by_litcut,on50_minus_base_hz
dec4_dHPC,78,15,0.75,0.25,0.06740075624186025,0.5763792303384765,0.09567546880979717,18.446230386528896,1.2857661887429892,pyramidal-like,1.0,False,-0.351
dec4_dHPC,82,113,0.65,0.25,0.12898979874592853,5.533306779342401,0.040857407647310884,0.22720704740455808,0.8702736766726836,pyramidal-like,0.9998725197559857,False,-0.154
dec4_dHPC,86,81,0.95,0.4,0.04187186938283603,1.6119650262809742,0.23603461841070023,4.925939862484179,1.1705336282825702,pyramidal-like,1.0,False,2.2554
dec4_dHPC,90,115,0.35,0.25,0.21177454501133094,10.763232852158225,0.08299307878707153,0.8350538174254728,0.6920996619764335,interneuron-like,0.9879806797522684,True,-0.9551
dec4_dHPC,104,84,0.25,0.2,0.12643405540241204,8.781553606091594,0.7534943299551671,10.785015509424959,0.9761920660160195,interneuron-like,0.996130153765514,True,2.7853
dec4_dHPC,109,119,0.75,0.15,0.04754449336236851,0.14821652837939586,0.0,2.97729810197246,1.2599155651608476,pyramidal-like,1.0,False,-0.1729
dec4_dHPC,113,119,0.75,0.25,0.0427747485422671,0.9997447455531348,0.03309431880860452,33.552123552123554,1.1573514804126626,pyramidal-like,0.9999999999999964,False,0.3874
dec4_dHPC,125,120,0.65,0.2,0.14592039880540378,1.4587858909245894,0.32886032886032884,4.895104895104895,1.1479546361095236,pyramidal-like,0.9999999995389037,False,-0.7545
dec4_dHPC,126,120,0.15,0.1,0.49180454370903165,13.007819987850215,0.03136869234943027,10.229584915897991,0.9593721201391456,interneuron-like,0.9979995276241364,True,4.3365
dec4_dHPC,130,121,0.75,0.15,0.07991145241190194,0.07537648597270614,0.0,3.5871156661786237,1.311958164534654,pyramidal-like,1.0,False,-0.0107
dec4_dHPC,135,121,0.25,0.2,0.22566099630163206,7.6927024952627505,0.6157220577588863,9.104658414031869,1.0167964427323044,interneuron-like,0.9946229335288799,True,0.6623
dec4_dHPC,137,122,0.25,0.15,0.4005863126200037,10.446067126251126,0.17208160679880705,10.411465069017394,0.9979425535558252,interneuron-like,0.9970585893449204,True,2.3608
dec4_dHPC,139,58,0.65,0.2,0.12575983079395336,9.822432849476213,0.6012294046650013,2.911275156482443,0.943075495965033,pyramidal-like,0.998920329771556,False,2.8786
dec4_dHPC,149,123,0.3,0.2,0.1620129785228378,9.946663444133497,0.25833203982526554,9.166906889593543,0.9991133089070638,interneuron-like,0.9943926488377901,True,2.8135
dec4_LEC,38,73,0.75,0.25,0.0917325024237507,1.6687588828574604,0.013217460265010078,6.578990846908766,1.1975492193569233,pyramidal-like,0.9999999999947093,False,-1.8147
dec4_LEC,69,34,0.9,0.4,0.07310677314702449,3.4291605513119703,0.42933637781601247,2.8461625046230044,1.0625192092081768,pyramidal-like,0.9999999999998632,False,-3.5514
dec4_LEC,71,32,1.05,0.35,0.05934689621109377,2.309100440702547,0.059700066864074884,2.4715827681727003,1.1381764686288827,pyramidal-like,1.0,False,-0.7406
dec4_LEC,72,32,0.9,0.3,0.07735227771325086,5.156974442216627,0.8083486591677004,4.236345750823318,1.0669968885638526,pyramidal-like,0.9999999999971663,False,-2.0367
dec4_LEC,73,33,1.05,0.5,0.23178739628258613,0.6968049829060841,0.04748338081671415,0.15036403925292813,1.0150331898748801,pyramidal-like,1.0,False,0.1499
dec4_LEC,74,33,0.85,0.3,0.09802979896102387,0.10912218573800272,0.0,0.40444893832153694,1.1363448198554793,pyramidal-like,1.0,False,-0.0577
dec4_LEC,76,33,1.0,0.25,0.09538980776100243,0.5554258599994448,0.029785544082605246,0.4964257347100874,1.135576707603506,pyramidal-like,1.0,False,-0.3163
dec4_LEC,77,34,1.0,0.25,0.08732130713069569,0.6508733099804872,0.0,2.5417266796577143,1.3730906380701084,pyramidal-like,1.0,False,0.0757
dec4_LEC,80,35,0.85,0.4,0.10057258956011478,2.5173093206149764,0.2738105668973977,1.9144834837466047,1.038226470920295,pyramidal-like,0.9999999999995879,False,0.7205
dec4_LEC,81,35,1.15,0.65,0.37761071432785526,4.369408914730071,0.7369922136267841,4.111507931500107,0.9748333856123269,pyramidal-like,1.0,False,-2.5425
dec4_LEC,82,37,0.3,0.2,0.20871682329352484,21.62852450185667,0.12007770633734952,7.931247227505188,0.7536046378524603,interneuron-like,0.9889735808541582,True,-1.7818
dec4_LEC,85,40,0.9,0.35,0.13326094200767769,1.1115685408248595,0.13394185931143965,1.1012997321162814,1.0980571509372796,pyramidal-like,1.0,False,-0.257
dec4_LEC,87,40,0.45,0.25,0.1427561895534253,6.8925079420163415,0.311202489619917,1.6608132865062921,0.87825747249774,interneuron-like,0.672963203390997,True,1.7743
dec4_LEC,88,40,0.95,0.3,0.1383780125851276,0.44310555057634654,0.0,0.012445550715619164,1.1886748847504236,pyramidal-like,1.0,False,-0.0638
dec4_LEC,91,42,0.9,0.4,0.13550943026097506,0.2528723313766955,0.0,0.9160305343511451,1.3032469456540678,pyramidal-like,1.0,False,-0.0983
