channel,rms,mad,ptp,absmax,zero_fraction,saturation_fraction,rough_mad,rms_rz,mad_rz,ptp_rz,rough_mad_rz,absmax_rz,exclude_reasons,exclude_auto
41,2059.9976,1322.5,13446.5,15443.0,0.0004,0.0,49.0,1.481552571172572,1.566328211033275,1.7191454319436372,-0.67448975,1.5697233973691924,,False
42,2132.1177,1353.75,13713.0,16972.0,0.000275,0.0,51.0,1.588557834372399,1.6401558982049038,1.7887760801617276,0.0,1.8720229218452293,,False
43,2154.7798,1332.0,13771.0,17845.0,0.000325,0.0,49.0,1.6221818088319888,1.5887718279334502,1.8039302174849892,-0.67448975,2.0446242853949874,,False
44,1969.3202,1197.5,12356.5,15790.0,0.00035,0.0,46.0,1.3470137486490716,1.27101746234676,1.4343521615582024,-1.686224375,1.638328979444526,,False
45,1604.7074,971.5,9900.5,11538.0,0.000375,0.0,40.0,0.8060344851765584,0.7370956287215411,0.7926528293869843,-3.709693625,0.7976634607577313,,False
46,1231.123,770.75,7680.5,7418.0,0.00055,0.0,40.5,0.25174404139018464,0.2628265663309982,0.21261515942765835,-3.5410711875,-0.016904257254873226,,False
47,978.1606,631.5,6270.5,4718.0,0.00075,0.0,50.0,-0.12357862902594126,-0.06614960770577934,-0.15578714446542707,-0.337244875,-0.5507229074087645,,False
48,811.2597,539.5,5726.0,7027.0,0.00085,0.0,53.0,-0.37121095648340585,-0.2834983187390543,-0.2980531405432888,0.67448975,-0.0942091062216034,,False
49,722.073,472.0,5220.5,6499.0,0.001,0.0,53.0,-0.5035380710212921,-0.44296612302977234,-0.43012928566240555,0.67448975,-0.19860030891836436,,False
50,639.249,409.0,4858.5,5198.0,0.0012,0.0,53.0,-0.6264247432557631,-0.5918027403677758,-0.5247120048179352,0.67448975,-0.4558218140480727,,False
51,613.2925,372.0,4651.0,3971.0,0.000925,0.0,52.0,-0.6649366983168972,-0.6792147219789842,-0.5789272374830525,0.337244875,-0.698412733951341,,False
52,605.22894,363.0,4301.0,3646.0,0.001275,0.0,51.5,-0.676900641202842,-0.7004770958844133,-0.6703746178820453,0.1686224375,-0.7626686825809761,,False
53,608.47876,366.0,4238.0,3413.0,0.001325,0.0,52.0,-0.6720788587971579,-0.693389637915937,-0.6868351463538641,0.337244875,-0.8087352549831452,,False
54,626.93555,376.0,4380.5,3527.0,0.000825,0.0,52.0,-0.6446943586121784,-0.6697647780210157,-0.6496029986199884,0.337244875,-0.7861962453099809,,False
55,667.21497,393.0,4695.5,3972.0,0.001025,0.0,50.5,-0.5849314243039366,-0.6296025161996497,-0.5673003562608948,-0.1686224375,-0.6982150233401729,,False
56,739.4929,430.5,5008.0,4517.0,0.00085,0.0,51.0,-0.47769197706239497,-0.5410092915936953,-0.48565090947607975,0.0,-0.5904627402535542,,False
