channel,probe,group,kcoord,x_um_provisional,y_um_provisional,is_bad,connected,exclude_auto,fiftyhz_on_minus_off,bad,shank_group,region
41,dHPC,A_dHPC_32-63,2,120.0,180.0,False,True,False,-3.293930795800236,False,2,dHPC
42,dHPC,A_dHPC_32-63,2,120.0,200.0,False,True,False,-3.48670023350752,False,2,dHPC
43,dHPC,A_dHPC_32-63,2,120.0,220.0,False,True,False,-3.6320925963852346,False,2,dHPC
44,dHPC,A_dHPC_32-63,2,120.0,240.0,False,True,False,-3.460190761514781,False,2,dHPC
45,dHPC,A_dHPC_32-63,2,120.0,260.0,False,True,False,-1.7723517687224444,False,2,dHPC
46,dHPC,A_dHPC_32-63,2,120.0,280.0,False,True,False,0.7947870505924186,False,2,dHPC
47,dHPC,A_dHPC_32-63,2,120.0,300.0,False,True,False,2.2833674957853987,False,2,dHPC
48,dHPC,A_dHPC_32-63,2,120.0,320.0,False,True,False,3.41831997043559,False,2,dHPC
49,dHPC,A_dHPC_32-63,2,120.0,340.0,False,True,False,3.5905940724066028,False,2,dHPC
50,dHPC,A_dHPC_32-63,2,120.0,360.0,False,True,False,3.456119436139687,False,2,dHPC
51,dHPC,A_dHPC_32-63,2,120.0,380.0,False,True,False,2.9558737192283218,False,2,dHPC
52,dHPC,A_dHPC_32-63,2,120.0,400.0,False,True,False,2.3818437294921466,False,2,dHPC
53,dHPC,A_dHPC_32-63,2,120.0,420.0,False,True,False,1.606347385206945,False,2,dHPC
54,dHPC,A_dHPC_32-63,2,120.0,440.0,False,True,False,0.887237300775098,False,2,dHPC
55,dHPC,A_dHPC_32-63,2,120.0,460.0,False,True,False,0.17917055910086788,False,2,dHPC
56,dHPC,A_dHPC_32-63,2,120.0,480.0,False,True,False,-0.3914000953044905,False,2,dHPC
57,dHPC,A_dHPC_32-63,2,120.0,500.0,False,True,False,-0.9291236970742744,False,2,dHPC
58,dHPC,A_dHPC_32-63,2,120.0,520.0,False,True,False,-1.4076696571702314,False,2,dHPC
59,dHPC,A_dHPC_32-63,2,120.0,540.0,False,True,False,-1.8585673538024423,False,2,dHPC
60,dHPC,A_dHPC_32-63,2,120.0,560.0,False,True,False,-2.67331317188615,False,2,dHPC
61,dHPC,A_dHPC_32-63,2,120.0,580.0,False,True,False,-3.9485590531510866,False,2,dHPC
62,dHPC,A_dHPC_32-63,2,120.0,600.0,False,True,False,-6.433758462743043,False,2,dHPC
63,dHPC,A_dHPC_32-63,2,120.0,620.0,False,True,False,-6.407297937338427,False,2,dHPC
64,dHPC,A_dHPC_64-95,3,180.0,0.0,False,True,False,-6.4021637138781955,False,3,dHPC
65,dHPC,A_dHPC_64-95,3,180.0,20.0,False,True,False,-7.601232257650338,False,3,dHPC
66,dHPC,A_dHPC_64-95,3,180.0,40.0,False,True,False,-7.3405805966486355,False,3,dHPC
67,dHPC,A_dHPC_64-95,3,180.0,60.0,False,True,False,-6.279832468733844,False,3,dHPC
68,dHPC,A_dHPC_64-95,3,180.0,80.0,False,True,False,-1.870776471344854,False,3,dHPC
69,dHPC,A_dHPC_64-95,3,180.0,100.0,False,True,False,-0.6408038555724787,False,3,dHPC
70,dHPC,A_dHPC_64-95,3,180.0,120.0,False,True,False,-0.6224340312954055,False,3,dHPC
71,dHPC,A_dHPC_64-95,3,180.0,140.0,False,True,False,-1.0490334452880603,False,3,dHPC
72,dHPC,A_dHPC_64-95,3,180.0,160.0,False,True,False,-3.942999838690696,False,3,dHPC
73,dHPC,A_dHPC_64-95,3,180.0,180.0,False,True,False,-1.3316497464916068,False,3,dHPC
74,dHPC,A_dHPC_64-95,3,180.0,200.0,False,True,False,-0.6071792176163839,False,3,dHPC
75,dHPC,A_dHPC_64-95,3,180.0,220.0,False,True,False,-0.3985492333369578,False,3,dHPC
76,dHPC,A_dHPC_64-95,3,180.0,240.0,False,True,False,-1.1973359190251784,False,3,dHPC
77,dHPC,A_dHPC_64-95,3,180.0,260.0,False,True,False,-4.40501258463604,False,3,dHPC
78,dHPC,A_dHPC_64-95,3,180.0,280.0,False,True,False,-2.1924598657304273,False,3,dHPC
79,dHPC,A_dHPC_64-95,3,180.0,300.0,False,True,False,-0.14286500589875573,False,3,dHPC
80,dHPC,A_dHPC_64-95,3,180.0,320.0,False,True,False,1.1881312588938115,False,3,dHPC
81,dHPC,A_dHPC_64-95,3,180.0,340.0,False,True,False,3.4297074298740426,False,3,dHPC
82,dHPC,A_dHPC_64-95,3,180.0,360.0,False,True,False,3.1006265091371716,False,3,dHPC
83,dHPC,A_dHPC_64-95,3,180.0,380.0,False,True,False,2.868259296706853,False,3,dHPC
84,dHPC,A_dHPC_64-95,3,180.0,400.0,False,True,False,2.6528835135363806,False,3,dHPC
85,dHPC,A_dHPC_64-95,3,180.0,420.0,False,True,False,2.7527639721857042,False,3,dHPC
86,dHPC,A_dHPC_64-95,3,180.0,440.0,False,True,False,2.3152533461811373,False,3,dHPC
87,dHPC,A_dHPC_64-95,3,180.0,460.0,False,True,False,1.8362213224936141,False,3,dHPC
88,dHPC,A_dHPC_64-95,3,180.0,480.0,False,True,False,0.5342201610775561,False,3,dHPC
89,dHPC,A_dHPC_64-95,3,180.0,500.0,False,True,False,0.28407062767349345,False,3,dHPC
90,dHPC,A_dHPC_64-95,3,180.0,520.0,False,True,False,-0.046867660860325344,False,3,dHPC
91,dHPC,A_dHPC_64-95,3,180.0,540.0,False,True,False,-0.24093879906206794,False,3,dHPC
92,dHPC,A_dHPC_64-95,3,180.0,560.0,False,True,False,-0.039859566544532044,False,3,dHPC
93,dHPC,A_dHPC_64-95,3,180.0,580.0,False,True,False,-0.7286300802596983,False,3,dHPC
94,dHPC,A_dHPC_64-95,3,180.0,600.0,False,True,False,-2.692057551657058,False,3,dHPC
95,dHPC,A_dHPC_64-95,3,180.0,620.0,False,True,False,-3.9618659228532636,False,3,dHPC
96,dHPC,A_dHPC_96-127,4,0.0,0.0,False,True,False,1.5129891686019192,False,4,dHPC
97,dHPC,A_dHPC_96-127,4,0.0,20.0,False,True,False,0.6012722982101906,False,4,dHPC
98,dHPC,A_dHPC_96-127,4,0.0,40.0,False,True,False,-0.5319662176663371,False,4,dHPC
99,dHPC,A_dHPC_96-127,4,0.0,60.0,False,True,False,-2.0992541387309416,False,4,dHPC
100,dHPC,A_dHPC_96-127,4,0.0,80.0,False,True,False,-3.164367871958831,False,4,dHPC
101,dHPC,A_dHPC_96-127,4,0.0,100.0,False,True,False,-4.023782013491882,False,4,dHPC
102,dHPC,A_dHPC_96-127,4,0.0,120.0,False,True,False,-4.600248200319697,False,4,dHPC
103,dHPC,A_dHPC_96-127,4,0.0,140.0,False,True,False,-4.778496117317246,False,4,dHPC
104,dHPC,A_dHPC_96-127,4,0.0,160.0,False,True,False,-4.8560084418132305,False,4,dHPC
105,dHPC,A_dHPC_96-127,4,0.0,180.0,False,True,False,-4.652231741446315,False,4,dHPC
106,dHPC,A_dHPC_96-127,4,0.0,200.0,False,True,False,-4.268126941138888,False,4,dHPC
107,dHPC,A_dHPC_96-127,4,0.0,220.0,False,True,False,-3.5430919507151373,False,4,dHPC
108,dHPC,A_dHPC_96-127,4,0.0,240.0,False,True,False,-2.3538276408920638,False,4,dHPC
109,dHPC,A_dHPC_96-127,4,0.0,260.0,False,True,False,-0.9350564269183508,False,4,dHPC
110,dHPC,A_dHPC_96-127,4,0.0,280.0,False,True,False,0.27324644091285677,False,4,dHPC
111,dHPC,A_dHPC_96-127,4,0.0,300.0,False,True,False,1.5344707531392032,False,4,dHPC
112,dHPC,A_dHPC_96-127,4,0.0,320.0,False,True,False,4.372983835354802,False,4,dHPC
113,dHPC,A_dHPC_96-127,4,0.0,340.0,False,True,False,3.894835899977835,False,4,dHPC
114,dHPC,A_dHPC_96-127,4,0.0,360.0,False,True,False,2.289194971736336,False,4,dHPC
115,dHPC,A_dHPC_96-127,4,0.0,380.0,False,True,False,3.195836503357029,False,4,dHPC
116,dHPC,A_dHPC_96-127,4,0.0,400.0,False,True,False,3.0252559894764346,False,4,dHPC
117,dHPC,A_dHPC_96-127,4,0.0,420.0,False,True,False,2.7059389148522968,False,4,dHPC
118,dHPC,A_dHPC_96-127,4,0.0,440.0,False,True,False,2.370442020023475,False,4,dHPC
119,dHPC,A_dHPC_96-127,4,0.0,460.0,False,True,False,1.9948395589829033,False,4,dHPC
120,dHPC,A_dHPC_96-127,4,0.0,480.0,False,True,False,1.837573755624092,False,4,dHPC
121,dHPC,A_dHPC_96-127,4,0.0,500.0,True,False,True,1.8852491395120126,True,4,dHPC
122,dHPC,A_dHPC_96-127,4,0.0,520.0,False,True,False,2.557805850869485,False,4,dHPC
123,dHPC,A_dHPC_96-127,4,0.0,540.0,False,True,False,3.0912896649341945,False,4,dHPC
124,dHPC,A_dHPC_96-127,4,0.0,560.0,False,True,False,3.1817719760827146,False,4,dHPC
125,dHPC,A_dHPC_96-127,4,0.0,580.0,False,True,False,3.027270432052916,False,4,dHPC
126,dHPC,A_dHPC_96-127,4,0.0,600.0,False,True,False,2.8488965861571245,False,4,dHPC
127,dHPC,A_dHPC_96-127,4,0.0,620.0,False,True,False,2.387187044550018,False,4,dHPC
