cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh,KSLabel,ContamPct,Amplitude,is_ks_good,direction,responsive_q05
70,amp100_freq10,200,1.0016666666666665,1.18,-0.1783333333333333,0.26077963147468297,0.0,-0.6838468645916707,0.4948673902241064,0.7446692449346954,mua,128.5,11.0,False,ON<OFF,False
71,amp100_freq10,200,2.4783333333333335,2.3533333333333335,0.125,0.1352755836385668,0.16666666666666652,0.9240396281266737,0.3565847732775171,0.6304572612214612,good,3.2,21.8,True,ON>OFF,False
72,amp100_freq10,200,5.066666666666666,5.215,-0.14833333333333334,0.22950554356746275,-0.33333333333333326,-0.6463169953440843,0.518818755061272,0.7608627166520361,mua,24.3,13.1,False,ON<OFF,False
73,amp100_freq10,200,0.7566666666666667,0.6766666666666665,0.08,0.06604568406900588,0.0,1.2112827829357382,0.22722349463898409,0.49798003915549865,good,6.2,15.2,True,ON>OFF,False
74,amp100_freq10,200,0.095,0.09833333333333333,-0.0033333333333333357,0.017994043309936373,0.0,-0.1852464882916369,0.853224375259544,0.9296607390857743,good,0.0,18.3,True,ON<OFF,False
75,amp100_freq10,200,8.816666666666666,8.521666666666668,0.295,0.24862747186402018,0.3333333333333326,1.1865140959215559,0.23683393345292478,0.5050256699414285,mua,29.8,10.2,False,ON>OFF,False
76,amp100_freq10,200,0.49,0.5299999999999999,-0.04000000000000001,0.05624386560011477,0.0,-0.7111886705013103,0.47780009899659803,0.7323666335130643,good,1.8,22.3,True,ON<OFF,False
77,amp100_freq10,200,0.5616666666666666,0.6866666666666665,-0.125,0.0747389837337845,0.0,-1.6724872851528463,0.09599970812154711,0.3193033770129719,good,0.0,28.9,True,ON<OFF,False
78,amp100_freq10,200,4.675000000000001,4.951666666666666,-0.27666666666666667,0.9055419358897417,0.0,-0.305526067541894,0.7602848703893861,0.8812392815876976,mua,118.5,11.9,False,ON<OFF,False
79,amp100_freq10,200,7.778333333333332,8.356666666666666,-0.5783333333333335,1.576303228338917,0.0,-0.3668921835190123,0.7140892730446192,0.8611283450311468,mua,99.2,12.9,False,ON<OFF,False
80,amp100_freq10,200,2.445,2.5516666666666667,-0.10666666666666665,0.1261852793902087,-0.16666666666666652,-0.8453178309081225,0.398948613517929,0.6695361746663852,mua,24.2,9.9,False,ON<OFF,False
81,amp100_freq10,200,4.036666666666667,4.068333333333333,-0.031666666666666676,0.1761553153963245,0.0,-0.17976560398090266,0.8575195021429595,0.9309445524384523,mua,29.4,11.3,False,ON<OFF,False
82,amp100_freq10,200,21.56833333333333,22.12,-0.5516666666666666,0.5989503078262123,-0.6666666666666656,-0.9210558195868477,0.35813651692655024,0.6304572612214612,good,2.4,12.5,True,ON<OFF,False
83,amp100_freq10,200,2.878333333333334,2.7183333333333337,0.15999999999999998,0.1380238612148516,0.33333333333333326,1.1592198522177244,0.24775565564360957,0.5176244836642548,mua,46.9,11.2,False,ON>OFF,False
84,amp100_freq10,200,4.256666666666666,4.390000000000001,-0.13333333333333341,0.7248442717672474,0.0,-0.1839475574639675,0.8542418986295324,0.9296607390857743,mua,126.8,12.8,False,ON<OFF,False
85,amp100_freq10,200,1.0733333333333333,1.2383333333333333,-0.165,0.08806491882364312,0.0,-1.8736178060917243,0.06244898957523056,0.2561796070501044,good,16.2,10.9,True,ON<OFF,False
86,amp100_freq10,200,2.035,2.05,-0.014999999999999956,0.10523159166269301,0.0,-0.14254274560514696,0.8867955352286904,0.9430388663074866,mua,75.8,10.2,False,ON<OFF,False
87,amp100_freq10,200,6.673333333333334,6.8066666666666675,-0.13333333333333333,0.2619025865166677,-0.16666666666666696,-0.5090951376490048,0.6112495557585665,0.8046263649725452,good,15.9,12.4,True,ON<OFF,False
88,amp100_freq10,200,0.55,0.4233333333333333,0.12666666666666665,0.06258706944621134,0.0,2.023847222556517,0.04432292175435839,0.22298292884473306,good,0.0,21.4,True,ON>OFF,False
89,amp100_freq10,200,4.34,4.49,-0.15000000000000002,0.15742820720678982,0.0,-0.9528152715540205,0.3418395603949214,0.6180378462679229,mua,30.6,11.1,False,ON<OFF,False
90,amp100_freq10,200,1.1216666666666666,1.215,-0.09333333333333338,0.16518875723387244,0.0,-0.5650102034558748,0.5727032148998975,0.7832276369133794,mua,134.1,10.8,False,ON<OFF,False
91,amp100_freq10,200,0.29,0.305,-0.014999999999999998,0.04534731654476678,0.0,-0.3307803226943325,0.7411584439874279,0.8746747751812761,good,0.0,17.6,True,ON<OFF,False
92,amp100_freq10,200,3.9216666666666664,4.14,-0.21833333333333332,0.7564042502038244,0.0,-0.28864635976661973,0.7731524591968862,0.8902526905522001,mua,125.3,11.3,False,ON<OFF,False
93,amp100_freq10,200,6.015,6.21,-0.19499999999999987,0.45364875653401454,0.16666666666666652,-0.42984797641648287,0.667771317560391,0.833182561359754,mua,85.0,11.2,False,ON<OFF,False
94,amp100_freq10,200,1.865,2.13,-0.26500000000000007,0.16357769810271483,0.0,-1.6200252422772174,0.10681042793312386,0.33704313785657714,mua,40.6,11.3,False,ON<OFF,False
95,amp100_freq10,200,11.976666666666665,12.606666666666666,-0.6299999999999999,0.4333255378760227,-0.4999999999999991,-1.4538723083065719,0.1475569942170369,0.38924517440011464,mua,71.0,12.9,False,ON<OFF,False
96,amp100_freq10,200,0.7666666666666666,0.7116666666666667,0.05500000000000001,0.10763114784577774,0.0,0.5110044917369856,0.6099143657716233,0.8046263649725452,mua,143.5,10.1,False,ON>OFF,False
97,amp100_freq10,200,0.865,0.8683333333333334,-0.003333333333333339,0.1254581776019065,0.0,-0.026569279078087652,0.9788299010803609,0.9885212862395725,mua,100.6,10.2,False,ON<OFF,False
98,amp100_freq10,200,1.7633333333333334,1.69,0.07333333333333329,0.2652512688425019,0.0,0.2764674176803896,0.7824760078820028,0.8950940501379172,mua,143.3,10.9,False,ON>OFF,False
99,amp100_freq10,200,1.6566666666666665,1.643333333333333,0.01333333333333326,0.2790051721691776,0.0,0.04778883928807047,0.9619324575806111,0.9844786132365585,mua,152.5,10.9,False,ON>OFF,False
100,amp100_freq10,200,1.2533333333333332,1.3283333333333331,-0.075,0.08864755590574695,0.0,-0.8460470143107216,0.3985427018438015,0.6695361746663852,mua,46.8,8.9,False,ON<OFF,False
