reference_mode,condition,amplitude,frequency,channel,analysis_group,physical_shank,n_trials,pre_power,stim_power,driven_log2_power_change
raw,amp100_freq5,100,5,24,Group 0-31,Physical Shank A (0-63),200,164254017577.20258,151085061771.36328,-0.12056763461980466
raw,amp100_freq5,100,5,25,Group 0-31,Physical Shank A (0-63),200,163844169452.28064,150741871142.1798,-0.12024412823168727
raw,amp100_freq5,100,5,26,Group 0-31,Physical Shank A (0-63),200,164253875278.17474,151135917543.5963,-0.12008085016223223
raw,amp100_freq5,100,5,27,Group 0-31,Physical Shank A (0-63),200,162469454190.3367,149420626855.1599,-0.1207891836544242
raw,amp100_freq5,100,5,28,Group 0-31,Physical Shank A (0-63),200,164659885912.5123,151394968519.88165,-0.12117187219878253
raw,amp100_freq5,100,5,29,Group 0-31,Physical Shank A (0-63),200,260622062538.51428,242089017697.7382,-0.10642158473302449
raw,amp100_freq5,100,5,30,Group 0-31,Physical Shank A (0-63),200,269823915786.24158,250803743133.60962,-0.10545934704780391
raw,amp100_freq5,100,5,31,Group 0-31,Physical Shank A (0-63),200,261682811002.50342,242916031507.24112,-0.10736145673704585
raw,amp100_freq5,100,5,35,Group 32-63,Physical Shank A (0-63),200,355869060695.3182,330410968304.94794,-0.10708493101589245
raw,amp100_freq5,100,5,36,Group 32-63,Physical Shank A (0-63),200,325633391290.83484,303075781815.2424,-0.10357007104549405
raw,amp100_freq5,100,5,37,Group 32-63,Physical Shank A (0-63),200,303061250911.03125,282402355422.2287,-0.10185728077229773
raw,amp100_freq5,100,5,38,Group 32-63,Physical Shank A (0-63),200,291829831939.369,272156535490.62958,-0.10069068753669026
raw,amp100_freq5,100,5,39,Group 32-63,Physical Shank A (0-63),200,289095395460.6177,269835284544.51422,-0.09946661846546001
raw,amp100_freq5,100,5,40,Group 32-63,Physical Shank A (0-63),200,292891713405.7751,274204868411.7872,-0.09511319067308015
raw,amp100_freq5,100,5,41,Group 32-63,Physical Shank A (0-63),200,302887213574.3036,284208717595.52795,-0.09182986849096281
raw,amp100_freq5,100,5,42,Group 32-63,Physical Shank A (0-63),200,323794386230.892,304146283417.3416,-0.09031259821653959
raw,amp100_freq5,100,5,44,Group 32-63,Physical Shank A (0-63),200,280981449041.6955,265608149127.6828,-0.08117547326036188
raw,amp100_freq5,100,5,45,Group 32-63,Physical Shank A (0-63),200,185288117731.7685,176238192301.0679,-0.07224376400384365
raw,amp100_freq5,100,5,46,Group 32-63,Physical Shank A (0-63),200,107707206979.59053,102610726957.69489,-0.06993322910397501
raw,amp100_freq5,100,5,47,Group 32-63,Physical Shank A (0-63),200,67004717505.52281,63593078382.99345,-0.07539292511108761
raw,amp100_freq5,100,5,48,Group 32-63,Physical Shank A (0-63),200,41231174266.029045,38425267832.93678,-0.10168023397565688
raw,amp100_freq5,100,5,49,Group 32-63,Physical Shank A (0-63),200,31171976484.871952,29422041002.560726,-0.08335230352984987
raw,amp100_freq5,100,5,50,Group 32-63,Physical Shank A (0-63),200,23797329481.550266,22840868677.9111,-0.05918216451956991
raw,amp100_freq5,100,5,51,Group 32-63,Physical Shank A (0-63),200,20613182233.328175,20050809484.730152,-0.03990676138040599
raw,amp100_freq5,100,5,52,Group 32-63,Physical Shank A (0-63),200,19529198940.671383,19155948211.2012,-0.02784033287306895
raw,amp100_freq5,100,5,53,Group 32-63,Physical Shank A (0-63),200,19961526241.488823,19532191076.80156,-0.03136823558707837
raw,amp100_freq5,100,5,54,Group 32-63,Physical Shank A (0-63),200,22361598010.975216,21767353131.07771,-0.0388573009486964
raw,amp100_freq5,100,5,55,Group 32-63,Physical Shank A (0-63),200,27124624090.361614,26062777355.607414,-0.057612312392759546
raw,amp100_freq5,100,5,56,Group 32-63,Physical Shank A (0-63),200,34408423219.042,32778553620.34456,-0.07000958568214594
raw,amp100_freq5,100,5,57,Group 32-63,Physical Shank A (0-63),200,44632676696.515495,42070797337.33971,-0.08528116930711158
raw,amp100_freq5,100,5,58,Group 32-63,Physical Shank A (0-63),200,57081357663.9333,53498790759.732544,-0.09351336686005908
raw,amp100_freq5,100,5,59,Group 32-63,Physical Shank A (0-63),200,78321542029.72263,73209027974.23233,-0.09738760023133575
raw,amp100_freq5,100,5,60,Group 32-63,Physical Shank A (0-63),200,110617373356.33661,103072791320.5743,-0.10191444334545055
raw,amp100_freq5,100,5,61,Group 32-63,Physical Shank A (0-63),200,156360275375.24063,145801622275.7394,-0.1008672585178806
raw,amp100_freq5,100,5,62,Group 32-63,Physical Shank A (0-63),200,272044063938.7957,254326390644.05234,-0.09715917512787942
