condition,subset,n_trials,median_first_edge_ms,median_n_all_on,sustained_broadband_delta_mean,sustained_broadband_delta_ci_low,sustained_broadband_delta_ci_high,offset_broadband_delta_mean,offset_broadband_delta_ci_low,offset_broadband_delta_ci_high,driven_power_log2_delta_mean,driven_power_log2_delta_ci_low,driven_power_log2_delta_ci_high
amp180_freq26,all,200,123.92500000032669,17.0,6.651756114959717,2.650677226781845,10.41832014584541,12.579995412826538,5.843449943184853,19.482945316433902,1.6725364031713803,1.5309967908188669,1.8079177955069987
amp180_freq26,has_edge,200,123.92500000032669,17.0,6.651756114959717,2.7494632229804994,10.704006355047227,12.579995412826538,5.532606284499168,19.723665553092957,1.6725364031713803,1.5407487770904225,1.816645264497693
amp180_freq26,good_first_edge_le_500ms,179,106.85000000012224,18.0,5.672634433767649,1.6882887523267522,9.514267256539624,11.706632550202269,4.726052408910996,18.837465364306993,1.6656751798153728,1.5216582139087733,1.8167447736808264
amp180_freq26,tight_first_edge_le_200ms,142,85.52500000018881,18.5,6.256110433121802,1.74893914108545,10.703811611256128,12.353183222488619,4.35463752326831,20.658371018523898,1.6609564725022419,1.489942142839212,1.8283883563227104
amp180_freq26,high_edge_count_ge_condition_p75,52,88.6000000000422,28.0,10.348168739905724,1.5483387772853558,18.917314964074357,16.32307241513179,3.954996621608734,29.61252543376042,1.8196483134926955,1.4832814996158181,2.1534009437253947
amp180_freq5,all,200,344.25000000010186,7.0,-0.3404702854156494,-4.866979288339615,3.9201785817146266,2.2281154918670656,-4.778587116956711,8.908013506531715,1.6419284054996455,1.4773556038840414,1.8099153683683575
amp180_freq5,has_edge,200,344.25000000010186,7.0,-0.3404702854156494,-4.834791152000427,4.124531859874724,2.2281154918670656,-4.502679579257965,9.503947372436523,1.6419284054996455,1.4853694174715535,1.8117106452497869
amp180_freq5,good_first_edge_le_500ms,132,162.1250000002874,8.0,1.3350225072918516,-4.676663081934957,6.639357074824247,2.8082611922061806,-6.577618342096156,12.203538974848653,1.689157902432408,1.485505590019211,1.8944560880218722
amp180_freq5,tight_first_edge_le_200ms,80,97.49999999985448,8.5,1.4295875787734986,-6.06072526037693,8.550972629785534,-0.03245487213134766,-10.821924286484718,11.064605366587635,1.6731046159528709,1.4190938308683458,1.9222308598216895
amp180_freq5,high_edge_count_ge_condition_p75,52,156.025000000227,11.0,1.6840118261483998,-7.239317279595595,10.792913524921106,-8.310347593747652,-23.141741083218502,6.875688517552141,1.7297619497990904,1.4244686699530444,2.0540629445986553
amp250_freq26,all,200,57.59999999986576,31.0,0.982249984741211,-3.132236387491226,5.108356077909468,7.691533331871033,1.1021253410577774,14.558850625991816,1.605064595842055,1.4626340300008747,1.7521464566397276
amp250_freq26,has_edge,200,57.59999999986576,31.0,0.982249984741211,-3.3525051610469814,5.083648544073105,7.691533331871033,0.9163922728300095,14.542303353667256,1.605064595842055,1.4541485395776685,1.7533815565810646
amp250_freq26,good_first_edge_le_500ms,197,56.450000000040745,31.0,1.2562838520495418,-2.689111496107227,5.3293562208940495,7.896947913968623,0.9829534234129232,14.689520259314982,1.6202550208014035,1.4748842214173354,1.7686023833637101
amp250_freq26,tight_first_edge_le_200ms,189,51.69999999998254,32.0,0.9081748780750093,-3.6966596976789847,5.113704331211309,7.020600974875152,-0.520456308662576,14.339573942164265,1.621761829625421,1.465682392755139,1.773047249415709
amp250_freq26,high_edge_count_ge_condition_p75,52,33.74999999959982,51.5,-7.728099529559795,-17.105820534779475,1.0604239124518144,-6.262181942279522,-19.567510355435886,6.949090656867375,1.535567829181916,1.2782222474110554,1.7827392815325527
amp250_freq5,all,200,298.2499999998254,5.0,0.5794993209838867,-3.9635214138031003,5.077970304965972,-0.2778463411331177,-7.363472899794579,7.211024391055102,1.6685627386189492,1.496463849761225,1.838247252215116
amp250_freq5,has_edge,195,298.2499999998254,5.0,0.7498966021415515,-4.046838026291285,5.246448822755079,-0.24692066388252454,-7.530896009543003,6.531662310820349,1.6731859090997923,1.5042245362427373,1.8431387368275773
