cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh,KSLabel,ContamPct,Amplitude,is_ks_good,direction,responsive_q05
69,amp180_freq50,200,0.7616666666666666,0.905,-0.14333333333333334,0.08352607526075043,0.0,-1.7160309865617118,0.08771261532149026,0.3115087735314691,mua,111.3,9.3,False,ON<OFF,False
70,amp180_freq50,200,1.39,2.3266666666666667,-0.9366666666666665,0.12044932627875102,-0.6666666666666667,-7.776437574245758,3.936436343053761e-13,5.850150011369128e-11,mua,105.0,11.0,False,ON<OFF,True
71,amp180_freq50,200,7.8516666666666675,11.851666666666667,-4.0,0.5766148154959856,-4.0,-6.937039931170219,5.493305698326783e-11,3.79038093184548e-09,mua,95.1,11.3,False,ON<OFF,True
72,amp180_freq50,200,0.825,1.055,-0.22999999999999995,0.09319054643729675,-0.3333333333333333,-2.4680615018687053,0.014428515874157785,0.08963309539830495,mua,208.4,9.2,False,ON<OFF,False
73,amp180_freq50,200,0.01,0.03333333333333333,-0.02333333333333333,0.010437123965549617,0.0,-2.2356094849836925,0.026488313300015165,0.14294810417773549,good,0.0,31.9,True,ON<OFF,False
74,amp180_freq50,200,0.9166666666666665,1.1533333333333333,-0.2366666666666667,0.08255380797766765,-0.33333333333333326,-2.8668170792398753,0.004592463531179028,0.03506972151082166,mua,300.1,10.1,False,ON<OFF,True
75,amp180_freq50,200,2.706666666666666,3.026666666666667,-0.32,0.17128997880715124,0.0,-1.86817700736758,0.06320723219369938,0.2587211283860746,mua,69.1,9.5,False,ON<OFF,False
76,amp180_freq50,200,1.1016666666666666,1.29,-0.18833333333333335,0.10744423196046653,-0.3333333333333333,-1.7528473134102673,0.08116814624671588,0.2977231252368499,mua,114.9,10.5,False,ON<OFF,False
77,amp180_freq50,200,1.2766666666666666,1.5633333333333332,-0.28666666666666674,0.11143548408538682,0.0,-2.5724899839534956,0.010825389803314427,0.0704197074074191,mua,195.4,9.5,False,ON<OFF,False
78,amp180_freq50,200,0.5,0.7016666666666667,-0.20166666666666663,0.14737414072161314,0.0,-1.3683992705858146,0.17273005681657103,0.4446375424140299,good,2.3,46.7,True,ON<OFF,False
79,amp180_freq50,200,4.4,4.095,0.3049999999999998,0.8750202278909407,0.0,0.3485633706264605,0.7277856177816835,0.8921838918491196,mua,100.2,12.5,False,ON>OFF,False
80,amp180_freq50,200,0.735,0.835,-0.1,0.0868198620259849,0.0,-1.1518101695447331,0.2507809833805363,0.5463031887709232,mua,253.6,8.5,False,ON<OFF,False
81,amp180_freq50,200,2.216666666666667,2.5016666666666665,-0.285,0.13589247358644543,-0.33333333333333304,-2.09724639252153,0.03723477555717129,0.18258270653922576,mua,88.5,9.6,False,ON<OFF,False
82,amp180_freq50,200,5.468333333333333,5.6483333333333325,-0.18,0.1694712109640365,-0.16666666666666652,-1.062127301599313,0.2894651537716809,0.5916677488712351,good,1.8,8.9,True,ON<OFF,False
83,amp180_freq50,200,14.686666666666666,14.065,0.6216666666666665,0.7268545755383371,0.6666666666666661,0.8552834192537561,0.39342282760461755,0.6944577176622344,mua,40.9,10.4,False,ON>OFF,False
84,amp180_freq50,200,1.685,2.075,-0.39,0.1278414620509278,-0.33333333333333326,-3.0506534714429105,0.0025945510722711683,0.021226976856711457,mua,240.0,10.5,False,ON<OFF,True
85,amp180_freq50,200,5.728333333333333,6.205,-0.47666666666666674,0.21662491544645351,-0.6666666666666667,-2.200424017174016,0.028927549388596808,0.15145806346549873,mua,150.5,10.0,False,ON<OFF,False
86,amp180_freq50,200,2.708333333333333,1.6666666666666663,1.0416666666666665,0.18004803472232123,0.6666666666666665,5.785493122838998,2.772092731651381e-08,1.0711366315100936e-06,good,10.0,14.6,True,ON>OFF,True
