trial,condition,n_on_edges,onset_ms,last_ms,span_ms,has_blip
114,amp250_freq5,10,39.60000000006403,1964.7500000000946,1925.1500000000306,True
115,amp250_freq5,1,769.8500000001332,769.8500000001332,0.0,True
116,amp100_freq26,3,913.5500000002139,1677.9999999998836,764.4499999996697,True
117,amp100_freq5,3,299.0500000000793,1899.6999999999389,1600.6499999998596,True
118,amp250_freq26,8,96.39999999990323,2445.900000000165,2349.500000000262,True
119,amp250_freq26,9,99.70000000021173,2140.3000000000247,2040.599999999813,True
120,amp100_freq5,0,,,,False
121,amp250_freq5,1,1064.1500000001543,1064.1500000001543,0.0,True
122,amp100_freq26,3,128.25000000020736,1969.1499999998996,1840.8999999996922,True
123,amp250_freq5,4,789.9000000002161,1794.6000000001732,1004.6999999999571,True
124,amp180_freq26,10,150.39999999999054,2378.2500000002074,2227.850000000217,True
125,amp250_freq5,3,718.4499999998479,1523.450000000139,805.000000000291,True
126,amp100_freq5,3,1295.849999999973,2097.7499999999054,801.8999999999323,True
127,amp180_freq26,17,57.299999999941065,2481.699999999819,2424.3999999998778,True
128,amp100_freq5,2,1611.3000000000284,1851.549999999861,240.24999999983265,True
129,amp180_freq26,13,132.5000000001637,2360.2999999998246,2227.799999999661,True
130,amp250_freq5,4,825.3500000000713,1427.5499999998829,602.1999999998116,True
131,amp250_freq26,23,198.3500000001186,2460.5000000001382,2262.1500000000196,True
132,amp250_freq26,35,79.9499999998261,2473.149999999805,2393.199999999979,True
133,amp250_freq5,7,142.49999999992724,2342.250000000149,2199.750000000222,True
134,amp180_freq26,14,145.7500000001346,2370.4999999999927,2224.749999999858,True
135,amp180_freq5,10,289.45000000021537,2289.4999999998618,2000.0499999996464,True
136,amp250_freq26,34,25.450000000091677,2296.9499999999243,2271.4999999998327,True
137,amp100_freq26,11,334.4999999999345,2331.4500000001317,1996.9500000001972,True
138,amp180_freq5,5,69.44999999996071,1869.799999999941,1800.3499999999804,True
139,amp180_freq5,5,69.59999999980937,1869.9499999997897,1800.3499999999804,True
140,amp100_freq26,3,2129.1000000001077,2434.900000000198,305.8000000000902,True
141,amp250_freq26,13,119.8500000000422,2045.0000000000728,1925.1500000000306,True
142,amp250_freq26,12,4.550000000108412,2385.2999999999156,2380.749999999807,True
143,amp180_freq26,21,7.849999999962165,2161.8499999999585,2153.9999999999964,True
144,amp250_freq26,23,77.69999999982247,2458.3999999999833,2380.700000000161,True
145,amp180_freq5,3,349.2999999998574,2349.3499999999585,2000.0500000001011,True
146,amp180_freq5,4,549.199999999928,2349.5499999999083,1800.3499999999804,True
147,amp250_freq5,5,128.09999999990396,2327.850000000126,2199.750000000222,True
148,amp100_freq5,4,742.949999999837,2340.4999999997926,1597.5499999999556,True
149,amp180_freq26,11,147.14999999978318,1913.1999999999607,1766.0500000001775,True
150,amp180_freq5,7,88.0499999998392,2487.500000000182,2399.4500000003427,True
151,amp180_freq26,11,284.7999999999047,1897.950000000037,1613.1500000001324,True
152,amp250_freq26,24,100.84999999980937,2484.6999999999753,2383.850000000166,True
153,amp180_freq26,20,163.45000000001164,2163.500000000113,2000.0500000001011,True
154,amp180_freq5,5,987.3499999998785,1992.0499999998356,1004.6999999999571,True
155,amp100_freq26,6,578.7500000001273,1804.9999999998363,1226.249999999709,True
156,amp250_freq5,6,89.05000000004293,2288.79999999981,2199.749999999767,True
157,amp100_freq5,5,463.65000000014334,2064.300000000003,1600.6499999998596,True
158,amp100_freq5,5,700.9499999999207,1505.9500000002117,805.000000000291,True
159,amp100_freq26,7,560.6999999999971,2270.599999999831,1709.899999999834,True
160,amp180_freq26,14,99.04999999980646,2486.0499999999774,2387.000000000171,True
161,amp180_freq26,15,177.25000000018554,2249.0499999998974,2071.799999999712,True
162,amp100_freq5,7,12.049999999817373,2015.1999999998225,2003.150000000005,True
163,amp250_freq26,43,43.400000000019645,2467.7999999998974,2424.3999999998778,True
164,amp250_freq5,3,595.850000000155,1725.3500000001623,1129.5000000000073,True
165,amp250_freq5,4,596.0000000000036,1925.249999999778,1329.2499999997744,True
166,amp100_freq26,9,761.5500000001703,2499.499999999898,1737.9499999997279,True
167,amp180_freq26,17,456.99999999987995,2497.6000000001477,2040.6000000002678,True
168,amp180_freq5,5,469.65000000000146,1867.4999999998363,1397.8499999998348,True
169,amp250_freq26,27,20.500000000083674,2438.6500000000524,2418.1499999999687,True
170,amp100_freq26,8,14.400000000023283,2170.5000000001746,2156.1000000001513,True
171,amp250_freq26,29,161.25000000010914,2401.550000000043,2240.299999999934,True
172,amp100_freq5,4,763.6000000002241,2367.4000000000888,1603.7999999998647,True
173,amp180_freq5,4,567.1999999999571,1378.4500000001572,811.2500000002001,True
174,amp180_freq5,8,573.6000000001695,1965.2000000000953,1391.5999999999258,True
175,amp100_freq5,3,361.60000000018044,1166.6000000000167,804.9999999998363,True
176,amp180_freq26,19,539.600000000064,2496.0000000000946,1956.4000000000306,True
177,amp100_freq5,6,287.0499999999083,2496.1499999999432,2209.100000000035,True
178,amp250_freq5,7,675.1500000000306,2347.6000000000568,1672.4500000000262,True
179,amp100_freq26,6,909.349999999904,2447.599999999966,1538.2500000000618,True
180,amp250_freq26,30,104.49999999991633,2251.2000000001535,2146.700000000237,True
181,amp250_freq26,48,110.90000000012878,2478.099999999813,2367.199999999684,True
182,amp100_freq5,2,1189.6499999998014,1595.2499999998508,405.6000000000495,True
183,amp250_freq5,1,977.6499999998123,977.6499999998123,0.0,True
184,amp100_freq26,10,356.85000000012224,1662.1500000001106,1305.2999999999884,True
185,amp250_freq26,8,510.9499999998661,2080.449999999928,1569.5000000000618,True
186,amp180_freq26,9,43.09999999986758,2426.9500000000335,2383.850000000166,True
187,amp100_freq26,4,349.04999999980646,1887.2999999998683,1538.2500000000618,True
188,amp180_freq26,10,121.45000000009532,1887.499999999818,1766.0499999997228,True
189,amp100_freq5,0,,,,False
190,amp180_freq26,7,262.2000000001208,2299.70000000003,2037.499999999909,True
