trial_number,condition,event,start_s,end_s
135,amp180_freq5,stim_onset_margin,2343.95,2344.1
135,amp180_freq5,stim_offset_margin,2346.9,2347.2
136,amp250_freq26,stim_onset_margin,2349.95,2350.1
136,amp250_freq26,stim_offset_margin,2352.9,2353.2
137,amp100_freq26,stim_onset_margin,2355.95,2356.1
137,amp100_freq26,stim_offset_margin,2358.9,2359.2
138,amp180_freq5,stim_onset_margin,2361.95,2362.1
138,amp180_freq5,stim_offset_margin,2364.9,2365.2
139,amp180_freq5,stim_onset_margin,2367.95,2368.1
139,amp180_freq5,stim_offset_margin,2370.9,2371.2
140,amp100_freq26,stim_onset_margin,2373.95,2374.1
140,amp100_freq26,stim_offset_margin,2376.9,2377.2
141,amp250_freq26,stim_onset_margin,2379.95,2380.1
141,amp250_freq26,stim_offset_margin,2382.9,2383.2
142,amp250_freq26,stim_onset_margin,2385.95,2386.1
142,amp250_freq26,stim_offset_margin,2388.9,2389.2
143,amp180_freq26,stim_onset_margin,2391.95,2392.1
143,amp180_freq26,stim_offset_margin,2394.9,2395.2
144,amp250_freq26,stim_onset_margin,2397.95,2398.1
144,amp250_freq26,stim_offset_margin,2400.9,2401.2
145,amp180_freq5,stim_onset_margin,2403.95,2404.1
145,amp180_freq5,stim_offset_margin,2406.9,2407.2
146,amp180_freq5,stim_onset_margin,2409.95,2410.1
146,amp180_freq5,stim_offset_margin,2412.9,2413.2
147,amp250_freq5,stim_onset_margin,2415.95,2416.1
147,amp250_freq5,stim_offset_margin,2418.9,2419.2
148,amp100_freq5,stim_onset_margin,2421.95,2422.1
148,amp100_freq5,stim_offset_margin,2424.9,2425.2
149,amp180_freq26,stim_onset_margin,2427.95,2428.1
149,amp180_freq26,stim_offset_margin,2430.9,2431.2
150,amp180_freq5,stim_onset_margin,2433.95,2434.1
150,amp180_freq5,stim_offset_margin,2436.9,2437.2
151,amp180_freq26,stim_onset_margin,2439.95,2440.1
151,amp180_freq26,stim_offset_margin,2442.9,2443.2
152,amp250_freq26,stim_onset_margin,2445.95,2446.1
152,amp250_freq26,stim_offset_margin,2448.9,2449.2
153,amp180_freq26,stim_onset_margin,2451.95,2452.1
153,amp180_freq26,stim_offset_margin,2454.9,2455.2
154,amp180_freq5,stim_onset_margin,2457.95,2458.1
154,amp180_freq5,stim_offset_margin,2460.9,2461.2
155,amp100_freq26,stim_onset_margin,2463.95,2464.1
155,amp100_freq26,stim_offset_margin,2466.9,2467.2
156,amp250_freq5,stim_onset_margin,2469.95,2470.1
156,amp250_freq5,stim_offset_margin,2472.9,2473.2
157,amp100_freq5,stim_onset_margin,2475.95,2476.1
157,amp100_freq5,stim_offset_margin,2478.9,2479.2
158,amp100_freq5,stim_onset_margin,2481.95,2482.1
158,amp100_freq5,stim_offset_margin,2484.9,2485.2
159,amp100_freq26,stim_onset_margin,2487.95,2488.1
159,amp100_freq26,stim_offset_margin,2490.9,2491.2
160,amp180_freq26,stim_onset_margin,2493.95,2494.1
160,amp180_freq26,stim_offset_margin,2496.9,2497.2
161,amp180_freq26,stim_onset_margin,2499.95,2500.1
161,amp180_freq26,stim_offset_margin,2502.9,2503.2
162,amp100_freq5,stim_onset_margin,2505.95,2506.1
162,amp100_freq5,stim_offset_margin,2508.9,2509.2
163,amp250_freq26,stim_onset_margin,2511.95,2512.1
163,amp250_freq26,stim_offset_margin,2514.9,2515.2
164,amp250_freq5,stim_onset_margin,2517.95,2518.1
164,amp250_freq5,stim_offset_margin,2520.9,2521.2
165,amp250_freq5,stim_onset_margin,2523.95,2524.1
165,amp250_freq5,stim_offset_margin,2526.9,2527.2
166,amp100_freq26,stim_onset_margin,2529.95,2530.1
166,amp100_freq26,stim_offset_margin,2532.9,2533.2
167,amp180_freq26,stim_onset_margin,2535.95,2536.1
167,amp180_freq26,stim_offset_margin,2538.9,2539.2
168,amp180_freq5,stim_onset_margin,2541.95,2542.1
168,amp180_freq5,stim_offset_margin,2544.9,2545.2
169,amp250_freq26,stim_onset_margin,2547.95,2548.1
169,amp250_freq26,stim_offset_margin,2550.9,2551.2
170,amp100_freq26,stim_onset_margin,2553.95,2554.1
170,amp100_freq26,stim_offset_margin,2556.9,2557.2
171,amp250_freq26,stim_onset_margin,2559.95,2560.1
171,amp250_freq26,stim_offset_margin,2562.9,2563.2
172,amp100_freq5,stim_onset_margin,2565.95,2566.1
172,amp100_freq5,stim_offset_margin,2568.9,2569.2
173,amp180_freq5,stim_onset_margin,2571.95,2572.1
173,amp180_freq5,stim_offset_margin,2574.9,2575.2
174,amp180_freq5,stim_onset_margin,2577.95,2578.1
174,amp180_freq5,stim_offset_margin,2580.9,2581.2
175,amp100_freq5,stim_onset_margin,2583.95,2584.1
175,amp100_freq5,stim_offset_margin,2586.9,2587.2
176,amp180_freq26,stim_onset_margin,2589.95,2590.1
176,amp180_freq26,stim_offset_margin,2592.9,2593.2
177,amp100_freq5,stim_onset_margin,2595.95,2596.1
177,amp100_freq5,stim_offset_margin,2598.9,2599.2
178,amp250_freq5,stim_onset_margin,2601.95,2602.1
178,amp250_freq5,stim_offset_margin,2604.9,2605.2
179,amp100_freq26,stim_onset_margin,2607.95,2608.1
179,amp100_freq26,stim_offset_margin,2610.9,2611.2
180,amp250_freq26,stim_onset_margin,2613.95,2614.1
180,amp250_freq26,stim_offset_margin,2616.9,2617.2
181,amp250_freq26,stim_onset_margin,2619.95,2620.1
181,amp250_freq26,stim_offset_margin,2622.9,2623.2
182,amp100_freq5,stim_onset_margin,2625.95,2626.1
182,amp100_freq5,stim_offset_margin,2628.9,2629.2
183,amp250_freq5,stim_onset_margin,2631.95,2632.1
183,amp250_freq5,stim_offset_margin,2634.9,2635.2
184,amp100_freq26,stim_onset_margin,2637.95,2638.1
184,amp100_freq26,stim_offset_margin,2640.9,2641.2
185,amp250_freq26,stim_onset_margin,2643.95,2644.1
185,amp250_freq26,stim_offset_margin,2646.9,2647.2
186,amp180_freq26,stim_onset_margin,2649.95,2650.1
186,amp180_freq26,stim_offset_margin,2652.9,2653.2
187,amp100_freq26,stim_onset_margin,2655.95,2656.1
187,amp100_freq26,stim_offset_margin,2658.9,2659.2
188,amp180_freq26,stim_onset_margin,2661.95,2662.1
188,amp180_freq26,stim_offset_margin,2664.9,2665.2
189,amp100_freq5,stim_onset_margin,2667.95,2668.1
189,amp100_freq5,stim_offset_margin,2670.9,2671.2
190,amp180_freq26,stim_onset_margin,2673.95,2674.1
190,amp180_freq26,stim_offset_margin,2676.9,2677.2
191,amp250_freq26,stim_onset_margin,2679.95,2680.1
191,amp250_freq26,stim_offset_margin,2682.9,2683.2
192,amp250_freq5,stim_onset_margin,2685.95,2686.1
192,amp250_freq5,stim_offset_margin,2688.9,2689.2
193,amp100_freq26,stim_onset_margin,2691.95,2692.1
193,amp100_freq26,stim_offset_margin,2694.9,2695.2
194,amp100_freq26,stim_onset_margin,2697.95,2698.1
194,amp100_freq26,stim_offset_margin,2700.9,2701.2
195,amp250_freq26,stim_onset_margin,2703.95,2704.1
195,amp250_freq26,stim_offset_margin,2706.9,2707.2
196,amp250_freq26,stim_onset_margin,2709.95,2710.1
196,amp250_freq26,stim_offset_margin,2712.9,2713.2
197,amp250_freq5,stim_onset_margin,2715.95,2716.1
197,amp250_freq5,stim_offset_margin,2718.9,2719.2
198,amp250_freq5,stim_onset_margin,2721.95,2722.1
198,amp250_freq5,stim_offset_margin,2724.9,2725.2
199,amp100_freq5,stim_onset_margin,2727.95,2728.1
199,amp100_freq5,stim_offset_margin,2730.9,2731.2
200,amp100_freq26,stim_onset_margin,2733.95,2734.1
200,amp100_freq26,stim_offset_margin,2736.9,2737.2
201,amp250_freq5,stim_onset_margin,2739.95,2740.1
201,amp250_freq5,stim_offset_margin,2742.9,2743.2
202,amp180_freq5,stim_onset_margin,2745.95,2746.1
202,amp180_freq5,stim_offset_margin,2748.9,2749.2
203,amp180_freq26,stim_onset_margin,2751.95,2752.1
203,amp180_freq26,stim_offset_margin,2754.9,2755.2
204,amp100_freq5,stim_onset_margin,2757.95,2758.1
204,amp100_freq5,stim_offset_margin,2760.9,2761.2
205,amp180_freq5,stim_onset_margin,2763.95,2764.1
205,amp180_freq5,stim_offset_margin,2766.9,2767.2
206,amp100_freq26,stim_onset_margin,2769.95,2770.1
206,amp100_freq26,stim_offset_margin,2772.9,2773.2
207,amp100_freq26,stim_onset_margin,2775.95,2776.1
207,amp100_freq26,stim_offset_margin,2778.9,2779.2
208,amp180_freq5,stim_onset_margin,2781.95,2782.1
208,amp180_freq5,stim_offset_margin,2784.9,2785.2
209,amp180_freq26,stim_onset_margin,2787.95,2788.1
209,amp180_freq26,stim_offset_margin,2790.9,2791.2
210,amp180_freq5,stim_onset_margin,2793.95,2794.1
210,amp180_freq5,stim_offset_margin,2796.9,2797.2
211,amp100_freq5,stim_onset_margin,2799.95,2800.1
211,amp100_freq5,stim_offset_margin,2802.9,2803.2
212,amp180_freq26,stim_onset_margin,2805.95,2806.1
212,amp180_freq26,stim_offset_margin,2808.9,2809.2
213,amp100_freq5,stim_onset_margin,2811.95,2812.1
213,amp100_freq5,stim_offset_margin,2814.9,2815.2
214,amp250_freq26,stim_onset_margin,2817.95,2818.1
