trial_number,condition,emg_off_raw,off_ttl_toggles,moving
222,amp100_freq5,0.3444693719972355,0,False
223,amp180_freq5,0.7004338934074447,1,False
224,amp100_freq26,0.7026227618590315,15,False
225,amp180_freq5,0.43021358642194424,1,False
226,amp250_freq5,0.3509553061979006,5,False
227,amp180_freq26,0.2587241363192295,1,False
228,amp100_freq5,0.2931466320864747,4,False
229,amp250_freq26,0.33196921649391814,0,False
230,amp180_freq5,0.33786681282249187,2,False
231,amp180_freq5,0.5974814448208404,1,False
232,amp100_freq5,0.2798637623924744,2,False
233,amp250_freq26,0.8351080977314441,0,True
234,amp100_freq5,0.6380349296360237,2,False
235,amp180_freq26,0.3658355422347312,0,False
236,amp180_freq5,0.43999530698735373,0,False
237,amp180_freq26,0.30332707277583,1,False
238,amp250_freq5,0.290378680158684,2,False
239,amp100_freq26,0.31563636335089346,1,False
240,amp100_freq5,0.285411794102599,1,False
241,amp100_freq26,0.31210618682772706,1,False
242,amp250_freq26,0.2914661332120227,2,False
243,amp250_freq26,0.2834948356649635,0,False
244,amp250_freq5,0.29148954994590526,7,False
245,amp180_freq26,0.47872418237283937,2,False
246,amp100_freq26,0.47466392938303253,1,False
247,amp100_freq26,0.3237187566916671,3,False
248,amp100_freq26,0.3247539753803757,2,False
249,amp180_freq5,0.2754983015762006,1,False
250,amp180_freq26,0.273036578451556,6,False
251,amp250_freq26,0.2841551913497675,3,False
252,amp100_freq26,0.33142889780403806,2,False
253,amp100_freq26,0.2610862950708002,0,False
254,amp100_freq5,0.33959565272724046,3,False
255,amp180_freq5,0.3188523655220005,2,False
256,amp100_freq26,0.3760714034851707,0,False
257,amp100_freq5,0.32380235144351605,0,False
258,amp180_freq5,0.57027894106543,1,False
259,amp180_freq5,0.7337085783707656,2,False
260,amp180_freq5,0.4858564401149619,2,False
261,amp100_freq26,0.37550298330540965,1,False
262,amp100_freq5,0.3792888423486747,2,False
263,amp250_freq5,0.2681161878700467,2,False
264,amp100_freq5,0.29264854071489516,2,False
265,amp250_freq5,0.6642060135211459,0,False
266,amp180_freq26,0.3320801303925824,1,False
267,amp100_freq5,0.3190810436057672,2,False
268,amp250_freq5,0.3022535680134215,7,False
269,amp250_freq26,0.38971358769127445,1,False
270,amp250_freq5,0.6066669458981503,1,False
271,amp100_freq5,0.5336985667121611,1,False
272,amp250_freq26,0.41795559748929845,2,False
273,amp100_freq26,0.6184945169142633,8,False
274,amp250_freq26,0.3619963249541275,8,False
275,amp180_freq26,0.3481826317865933,1,False
276,amp100_freq5,0.28211457700226694,0,False
277,amp250_freq5,0.7501003444532571,1,False
278,amp250_freq5,0.6430535746445997,1,False
279,amp180_freq26,0.924836037403617,0,True
280,amp100_freq26,0.7518932178499711,0,False
281,amp180_freq5,0.5275047315100081,2,False
282,amp180_freq26,0.7610026131308513,1,False
283,amp250_freq26,0.8522666626533247,1,True
284,amp250_freq26,0.5311673406095141,4,False
285,amp250_freq26,0.857844251983029,0,True
286,amp180_freq5,0.6463643589442291,0,False
287,amp100_freq26,0.6233110756378144,3,False
288,amp250_freq26,0.5668822956892512,0,False
289,amp100_freq26,0.5777842498249897,1,False
290,amp100_freq5,0.37523615072266864,1,False
291,amp100_freq5,0.30607699228412305,0,False
292,amp100_freq26,0.27813640348844315,5,False
293,amp250_freq26,0.2386970399020189,1,False
294,amp180_freq5,0.25513713283273615,7,False
295,amp250_freq26,0.33448187408400903,11,False
296,amp250_freq26,0.21868335582043671,0,False
297,amp180_freq5,0.3205709276292169,2,False
298,amp100_freq5,0.4035813680025336,1,False
299,amp180_freq5,0.932044536724849,2,True
300,amp100_freq5,0.8384031289316746,1,True
301,amp100_freq26,0.8239124450913972,2,True
302,amp180_freq5,0.9320820463608757,1,True
303,amp100_freq5,0.5129303855227434,3,False
304,amp250_freq26,0.6413421352883588,1,False
305,amp250_freq5,0.880142422647693,2,True
306,amp250_freq5,0.6577605429308735,0,False
307,amp100_freq26,0.6960199592277337,5,False
308,amp250_freq26,0.4657810438214324,1,False
309,amp100_freq5,0.33881883493333953,0,False
310,amp180_freq5,0.47157655752450683,2,False
311,amp180_freq26,0.5268998920401538,6,False
312,amp180_freq26,0.43172841900010717,6,False
313,amp250_freq26,0.25270431199150517,1,False
314,amp180_freq5,0.24703452033911075,3,False
315,amp250_freq5,0.8914220625632815,0,True
316,amp100_freq26,0.2506887437782597,0,False
317,amp250_freq5,0.31300068693627164,2,False
318,amp180_freq26,0.3440301982626353,4,False
319,amp180_freq26,0.24615525152618192,4,False
320,amp180_freq26,0.24028320912586695,1,False
321,amp100_freq26,0.761789214579902,6,False
322,amp250_freq26,0.6940390510597159,2,False
323,amp100_freq26,0.474606972616952,3,False
324,amp100_freq26,0.7097165154083518,0,False
325,amp100_freq5,0.4359756101724183,0,False
326,amp100_freq5,0.3118567200501232,2,False
327,amp100_freq26,0.7524206955597812,2,False
