trial_number,condition,emg_on,emg_off,off_ttl_toggles,moving
212,amp180_freq26,0.3708290167030494,0.37597967635101703,1,False
213,amp100_freq5,0.403553863245643,0.3048524196315037,4,False
214,amp250_freq26,0.3916368757483011,0.42453759003961006,2,False
215,amp250_freq5,0.414245699698694,0.3100435059426295,1,False
216,amp180_freq26,0.3673285992480008,0.2656038798621961,4,False
217,amp250_freq26,0.3318198624497821,0.3677917967562201,1,False
218,amp100_freq5,0.3532798695752786,0.4085894371446128,0,False
219,amp250_freq5,0.31525843696473116,0.3206647426942933,0,False
220,amp250_freq5,0.33380319547541387,0.4637726575342886,2,False
221,amp250_freq26,0.35117372080743164,0.27773825139248254,1,False
222,amp100_freq5,0.3665132923090039,0.3472995742493405,0,False
223,amp180_freq5,0.40662946976822045,0.6830901330811092,1,False
224,amp100_freq26,0.6756755116198357,0.6817260787839873,15,False
225,amp180_freq5,0.49870450790514215,0.42055150100600613,1,False
226,amp250_freq5,0.3435137460996811,0.358082977816713,5,False
227,amp180_freq26,0.33999648417297273,0.2792653903968858,1,False
228,amp100_freq5,0.319700585416739,0.2993634239759611,4,False
229,amp250_freq26,0.3946298930693808,0.348866774679002,0,False
230,amp180_freq5,0.37581437416277513,0.3427358219709736,2,False
231,amp180_freq5,0.5186579645278054,0.4785825202847345,1,False
232,amp100_freq5,0.3830474055597765,0.30548399204531923,2,False
233,amp250_freq26,0.41470752760619556,0.7231694694684782,0,False
234,amp100_freq5,0.5651553093947868,0.5105161152463619,2,False
235,amp180_freq26,0.38356587694767486,0.36519672973498407,0,False
236,amp180_freq5,0.39382626489971645,0.39954040907738686,0,False
237,amp180_freq26,0.38865059534636576,0.3149722806197491,1,False
238,amp250_freq5,0.3057227467165325,0.2989611157016194,2,False
239,amp100_freq26,0.3084868665492457,0.3288756070170505,1,False
240,amp100_freq5,0.3024402744200733,0.30328516147195317,1,False
241,amp100_freq26,0.3485098284287138,0.32336039694107727,1,False
242,amp250_freq26,0.3460183527113672,0.3143494728093937,2,False
243,amp250_freq26,0.3559313490907769,0.3042516475798867,0,False
244,amp250_freq5,0.31109236175507265,0.313029659308777,7,False
245,amp180_freq26,0.341648991885954,0.4189707377579061,2,False
246,amp100_freq26,0.46063158491084316,0.4296849784022933,1,False
247,amp100_freq26,0.3912767826575818,0.3411444932678949,3,False
248,amp100_freq26,0.3338169217338949,0.3395455472729192,2,False
249,amp180_freq5,0.36628714247718624,0.3118289480520629,1,False
250,amp180_freq26,0.3338979857043555,0.29650826188807616,6,False
251,amp250_freq26,0.34259712813555615,0.3066733387920531,3,False
252,amp100_freq26,0.357616632267379,0.32717159844628746,2,False
253,amp100_freq26,0.37145752115336556,0.271025966477953,0,False
254,amp100_freq5,0.3783418184412108,0.3444543997960012,3,False
255,amp180_freq5,0.5339366228597916,0.3415981927543694,2,False
256,amp100_freq26,0.3252254638248758,0.352325360059532,0,False
257,amp100_freq5,0.3195962982677199,0.33043488581867025,0,False
258,amp180_freq5,0.33275896581418246,0.4414616023452547,1,False
259,amp180_freq5,0.7031658651237503,0.7008474200362445,2,False
260,amp180_freq5,0.580385501943906,0.4368848042422376,2,False
261,amp100_freq26,0.4152997009043291,0.37987190346216376,1,False
262,amp100_freq5,0.3450306631263866,0.35919651466823876,2,False
263,amp250_freq5,0.4024627902892897,0.28217177176689906,2,False
264,amp100_freq5,0.4203018321695311,0.2972894781594423,2,False
265,amp250_freq5,0.4255982432485708,0.5156750805823577,0,False
266,amp180_freq26,0.4275175048092063,0.3456326430540922,1,False
267,amp100_freq5,0.36017790384951676,0.33303925999694806,2,False
268,amp250_freq5,0.3426936043434268,0.30992216674812356,7,False
269,amp250_freq26,0.3907204784149874,0.37143112893486413,1,False
270,amp250_freq5,0.3711022500512167,0.4927495174826351,1,False
271,amp100_freq5,0.834493014125686,0.47174937878344964,1,False
272,amp250_freq26,0.5110145354672878,0.4171301137543028,2,False
273,amp100_freq26,0.4074158986499379,0.5096932628284176,8,False
274,amp250_freq26,0.7154977396498453,0.3660071549169032,8,False
275,amp180_freq26,0.3803926245882197,0.3019470295939493,1,False
276,amp100_freq5,0.4187351924425467,0.29933524335391054,0,False
277,amp250_freq5,0.3214480979850229,0.625555806324784,1,False
278,amp250_freq5,0.3840332900308614,0.5168597143477173,1,False
279,amp180_freq26,0.6291166060155639,0.8122945895721899,0,True
280,amp100_freq26,0.7141662974757201,0.6539754099594511,0,False
281,amp180_freq5,0.44505551240266455,0.41181178201597946,2,False
282,amp180_freq26,0.95490027612018,0.7268338766754822,1,False
283,amp250_freq26,0.7053853400270363,0.7921769541209681,1,True
284,amp250_freq26,0.6583792757875897,0.5131690840980803,4,False
285,amp250_freq26,0.6975339533370222,0.6755137611691024,0,False
286,amp180_freq5,0.6225378256564024,0.5745183322431601,0,False
287,amp100_freq26,0.3678855137713182,0.5507265793958442,3,False
288,amp250_freq26,0.6782877367281829,0.5253537582400721,0,False
289,amp100_freq26,0.4366170745650988,0.4853165457103394,1,False
290,amp100_freq5,0.47617765186111516,0.3544090297304819,1,False
291,amp100_freq5,0.35895072145141604,0.2949266436006075,0,False
292,amp100_freq26,0.3137439743542035,0.28638784228537206,5,False
293,amp250_freq26,0.3061529662245408,0.26184307276467594,1,False
294,amp180_freq5,0.27728002208114183,0.26674640064497157,7,False
295,amp250_freq26,0.43054983624932125,0.3340146265969619,11,False
296,amp250_freq26,0.3213665275389757,0.23899283189799977,0,False
297,amp180_freq5,0.2616588847857601,0.3090249639524665,2,False
298,amp100_freq5,0.48369674082450537,0.37086082702751016,1,False
299,amp180_freq5,0.5003934107022231,0.8519074500206246,2,True
300,amp100_freq5,0.8162554081498897,0.7851067119766157,1,True
301,amp100_freq26,0.4976788956506912,0.5901958372803935,2,False
302,amp180_freq5,0.5848052928937638,0.8458322638577894,1,True
303,amp100_freq5,0.5668710066976439,0.481989399056906,3,False
304,amp250_freq26,0.4355288900564707,0.5835845390228999,1,False
305,amp250_freq5,0.4250919851716303,0.6868574462062038,2,False
306,amp250_freq5,0.6698502461513481,0.5743595593803331,0,False
307,amp100_freq26,0.4491073199550976,0.6072393244838256,5,False
308,amp250_freq26,0.40589734138678524,0.4231394913435293,1,False
309,amp100_freq5,0.3551906333550278,0.3215715144682226,0,False
310,amp180_freq5,0.4654007909829887,0.4419983646843266,2,False
311,amp180_freq26,0.5078939045478571,0.48783036692344134,6,False
312,amp180_freq26,0.41646168735473355,0.392434925573202,6,False
313,amp250_freq26,0.3431259155140575,0.26688571555740576,1,False
314,amp180_freq5,0.29320171111522225,0.2638802571332202,3,False
315,amp250_freq5,0.36470445869437446,0.6563549275226732,0,False
316,amp100_freq26,0.3526713220864886,0.2712086600415466,0,False
317,amp250_freq5,0.2843581951107246,0.3116237024943881,2,False
318,amp180_freq26,0.3497100811637395,0.35110438297442653,4,False
319,amp180_freq26,0.29324971197583993,0.258267581982567,4,False
320,amp180_freq26,0.2865213654376708,0.25178469545982607,1,False
321,amp100_freq26,0.5146662593384403,0.750166637030267,6,True
322,amp250_freq26,0.731181621738087,0.6673272777825258,2,False
323,amp100_freq26,0.3934728266091392,0.455523783574209,3,False
324,amp100_freq26,0.5512246342334233,0.5961744140738473,0,False
325,amp100_freq5,0.4551868173871599,0.40885533405413904,0,False
326,amp100_freq5,0.3626094868859715,0.3207176887218276,2,False
327,amp100_freq26,0.4595492270554751,0.5568450614244879,2,False
328,amp250_freq26,0.8604390124284199,0.4671693643276043,3,False
329,amp100_freq5,0.336619282394824,0.4813420238468564,6,False
330,amp250_freq26,0.513929182391089,0.486004842477846,2,False
331,amp100_freq26,0.35108921797848797,0.3121163368138227,1,False
332,amp180_freq5,0.34691690260116476,0.30905147208964295,3,False
333,amp250_freq26,0.3605229313021749,0.32324931056236744,3,False
334,amp250_freq26,0.365092259229183,0.25447610296580175,3,False
335,amp100_freq5,0.2519122750381089,0.39370809648321997,1,False
336,amp180_freq5,0.28461955511215564,0.28309120235903223,5,False
337,amp250_freq26,0.4528031717226821,0.4442724018047269,3,False
338,amp180_freq5,0.3007177569569652,0.573787212653961,1,False
339,amp100_freq5,0.7332333891765211,0.42936564368597857,3,False
340,amp180_freq26,0.40265177797309765,0.3196225457758021,0,False
341,amp100_freq5,0.4239387577949711,0.31130232361989996,1,False
342,amp100_freq26,0.3177030070667481,0.2886582162050136,2,False
