channel,rms,mad,ptp,absmax,zero_fraction,saturation_fraction,rough_mad,common_corr,rms_rz,mad_rz,ptp_rz,rough_mad_rz,absmax_rz,exclude_reasons,exclude_auto
44,1979.9951,1221.0,13669.0,13967.0,0.00036875,0.0,45.0,0.5958202,1.4564160302692735,1.304875985396687,0.9288677193582604,-4.72142825,1.930296909973157,,False
45,1603.854,1000.0,11240.5,10437.0,0.00041875,0.0,43.0,0.6102321,0.8602882338332701,0.7850425599389713,0.5813740343145054,-6.07040775,0.9470432170142474,,False
46,1226.596,786.5,9299.5,7071.0,0.0004375,0.0,51.0,0.6114403,0.2623903167275516,0.2828505403225806,0.3036366479978785,-0.67448975,0.0094704321701424,,False
47,976.4924,625.0,7786.0,6361.0,0.00064375,0.0,45.0,0.57735306,-0.13398675546347366,-0.09702773212728857,0.0870701697958101,-4.72142825,-0.1882944749122444,,False
48,843.3546,519.0,7257.5,6636.0,0.00069375,0.0,53.0,-0.019427061,-0.3449904010005801,-0.34635960135135135,0.0114471874834261,0.67448975,-0.1116953911831509,,False
49,743.5111,463.0,6838.5,5801.0,0.0007875,0.0,53.5,0.07062961,-0.5032275243658759,-0.47808209829991277,-0.0485074569610183,1.0117346249999999,-0.344278063596944,,False
50,665.4232,420.0,5794.5,4422.0,0.000825,0.0,53.0,0.1986154,-0.6269852518657824,-0.5792261584568439,-0.1978932536197295,0.67448975,-0.7283876507330168,,False
51,633.70197,399.0,5701.5,5034.0,0.0008625,0.0,52.0,0.3003438,-0.6772586916471295,-0.6286220948125545,-0.2112006090692124,0.0,-0.5579198716704522,,False
52,621.09607,388.5,5853.5,5580.0,0.0009625,0.0,48.0,0.38673717,-0.6972371715024087,-0.6533200629904098,-0.1894509528507027,-2.697959,-0.4058358727028701,,False
53,618.10474,380.5,5891.5,5991.0,0.00095,0.0,51.0,0.47780693,-0.7019779854185506,-0.67213756255449,-0.1840135387960753,-0.67448975,-0.2913550602932067,,False
54,643.11304,394.25,6158.0,6566.0,0.00096875,0.0,53.0,0.54992354,-0.6623435429935923,-0.6397949851787271,-0.1458800954919119,0.67448975,-0.1311933397687384,,False
55,677.0989,412.0,6438.0,7047.0,0.001,0.0,49.0,0.5942023,-0.6084810009002595,-0.5980436580209241,-0.1058149392999204,-2.0234692499999998,0.0027854212265124,,False
56,730.5737,446.5,6756.0,7249.0,0.0008375,0.0,50.0,0.63390726,-0.523731382502121,-0.5168931911508282,-0.0603123690533015,-1.3489795,0.0590509300020648,,False
57,804.0797,493.5,7367.5,7402.0,0.0008125,0.0,51.0,0.65266156,-0.4072352862105303,-0.406340381211857,0.0271870702731371,-0.67448975,0.1016678747677059,,False
58,921.7964,573.0,8104.5,7434.0,0.00064375,0.0,50.5,0.66213447,-0.22067179454551936,-0.21934147929380993,0.1326442849642005,-1.0117346249999999,0.1105812226925459,,False
59,1064.2,662.0,8771.5,7517.0,0.0006875,0.0,52.0,0.66408813,0.005016768263900066,-0.009996796643417611,0.2280852106072659,0.0,0.1337002188725996,,False
60,1291.6705,808.0,9823.5,8194.0,0.000525,0.0,48.0,0.643842,0.36552373737521454,0.3334225704010462,0.3786157260143198,-2.697959,0.3222732359074953,,False
61,1516.1163,954.0,11138.5,9646.0,0.0004125,0.0,50.0,0.62760186,0.721237006074955,0.67684193744551,0.5667788702731371,-1.3489795,0.7267163979971092,,False
62,1890.5315,1167.0,13454.0,11659.0,0.0004125,0.0,34.0,0.6168425,1.314629507261732,1.1778578633391457,0.8981034029965527,-12.1408155,1.287421690894074,,False
63,1890.9309,1167.5,13486.5,11572.0,0.00038125,0.0,35.0,0.61841214,1.3152624969613327,1.1790339570619006,0.9027538229116946,-11.46632575,1.2631885262234153,,False
64,1885.7003,1165.0,13459.5,11666.0,0.0003875,0.0,36.0,0.6170794,1.3069727725679117,1.1731534884481256,0.8988903971360382,-10.791836,1.2893714857526326,,False
65,2137.3628,1328.0,15439.5,13300.0,0.00034375,0.0,50.0,0.6060904,1.7058204698032728,1.55656004206626,1.1822082873508353,-1.3489795,1.7445093141647738,,False
66,2261.731,1434.0,16265.0,14761.0,0.0003,0.0,53.0,0.5967348,1.902925601395413,1.8058919112903224,1.3003289531954387,0.67448975,2.151459355358249,,False
67,2265.1216,1434.5,16437.0,15217.0,0.00033125,0.0,54.0,0.58628726,1.908299198980457,1.8070680050130776,1.324940406284805,1.3489795,2.2784745632872188,,False
68,1113.4023,726.0,7193.5,6108.0,0.00055625,0.0,37.0,0.5652575,0.08299510851595741,0.14054319986922406,0.0022894374966852,-10.11734625,-0.2587656319430105,,False
69,765.78094,501.0,4823.5,3989.0,0.000975,0.0,33.0,0.4682088,-0.4679331344516062,-0.38869897537053183,-0.3368334916998143,-12.81530525,-0.8489963898410077,,False
70,716.382,475.0,4695.5,3529.0,0.0010625,0.0,33.0,0.48261142,-0.5462231199077937,-0.4498558489537925,-0.3551489916732962,-12.81530525,-0.9771257662605825,,False
71,971.08496,628.0,6376.5,4800.0,0.000725,0.0,38.0,0.5627433,-0.14255674500080387,-0.0899711697907585,-0.1146149646778043,-9.4428565,-0.6230987283708446,,False
72,1934.0544,1251.5,13713.0,12145.0,0.00036875,0.0,51.5,0.5732187,1.3836068417553686,1.3766177024847428,0.9351636724741448,-0.337244875,1.4227931625025811,,False
73,968.76196,634.0,6185.0,4665.0,0.00069375,0.0,37.0,0.57098436,-0.14623835509637922,-0.07585804511769835,-0.1420166697162556,-10.11734625,-0.6607019149287632,,False
74,704.9933,439.0,4648.0,3687.0,0.001,0.0,33.0,0.47897354,-0.5642725184852709,-0.5345345969921534,-0.3619457592415805,-12.81530525,-0.9331161108816848,,False
75,742.103,456.5,4811.5,3503.0,0.00113125,0.0,33.0,0.45933506,-0.5054591538000474,-0.49337131669572803,-0.3385505698223283,-12.81530525,-0.9843678614495148,,False
76,1030.2058,640.0,6635.5,5484.0,0.00080625,0.0,37.0,0.5467161,-0.04885899149116217,-0.06174492044463818,-0.0775546952002121,-10.11734625,-0.4325759164773901,,False
77,1926.3444,1193.5,13729.5,13685.0,0.00035625,0.0,53.0,0.6039083,1.3713876364876605,1.2401908306451612,0.9375246548926014,0.67448975,1.8517480313855048,,False
78,1552.3289,976.0,11681.0,10301.0,0.00043125,0.0,53.0,0.6182687,0.7786286004559425,0.7285900612467306,0.6444051103951207,0.67448975,0.9091614883336776,,False
79,713.1797,451.0,4724.5,3678.0,0.0008625,0.0,37.0,0.62170434,-0.5512982899504372,-0.5063083476460332,-0.3509993862105542,-10.11734625,-0.9356229899855462,,False
80,392.445,250.0,3031.0,2643.0,0.00144375,0.0,37.0,0.40462422,-1.0596151687801176,-0.9790980241935484,-0.5933220362503314,-10.11734625,-1.223914086929589,,False
81,853.5873,534.0,6840.5,5119.0,0.00059375,0.0,47.0,0.0046437336,-0.32877309078749595,-0.31107678966870095,-0.0482212772739326,-3.37244875,-0.534243791245096,,False
82,837.76,518.0,6689.5,5173.0,0.0006375,0.0,53.0,-0.015222091,-0.3538570113495712,-0.3487117887968614,-0.0698278436488995,0.67448975,-0.5192025166219286,,False
83,816.70386,505.0,6820.0,5341.0,0.0007625,0.0,54.0,-0.020212378,-0.38722786696638095,-0.37929022558849174,-0.0511546190665605,1.3489795,-0.4724074400165187,,False
84,757.6626,468.0,7161.5,5746.0,0.0007125,0.0,55.5,0.02586533,-0.4807994979915604,-0.4663211610723627,-0.0022894374966852,2.360714125,-0.3595978803427628,,False
85,644.32947,400.5,6042.5,4386.0,0.0008625,0.0,54.0,0.19065854,-0.6604156820514654,-0.6250938136442895,-0.1624069724211084,1.3489795,-0.7384151671484617,,False
86,598.239,374.5,5948.0,4976.0,0.00093125,0.0,52.0,0.32695636,-0.7334622337784628,-0.6862506872275501,-0.1759289626359056,0.0,-0.5740753147842247,,False
87,580.6117,356.0,5489.5,5678.0,0.0009625,0.0,48.0,0.44814447,-0.7613988870878627,-0.7297661549694856,-0.2415356559002917,-2.697959,-0.3785387446830477,,False
88,318.07312,197.0,2610.0,2919.0,0.00173125,0.0,37.0,0.49062866,-1.1774835563112935,-1.1037639588055799,-0.6535628603818616,-10.11734625,-1.1470364610778443,,False
89,253.71613,161.0,1825.5,3117.0,0.00220625,0.0,34.0,0.49899822,-1.2794798301403272,-1.1884427068439407,-0.7658168426412092,-12.1408155,-1.091885120792897,,False
90,275.16953,167.0,1794.0,3260.0,0.00233125,0.0,33.0,0.45215455,-1.245479376406183,-1.1743295821708806,-0.7703241727128083,-12.81530525,-1.0520535972537683,,False
91,332.38953,208.0,2202.5,3234.0,0.00204375,0.0,33.0,0.4664698,-1.1547941720717774,-1.0778898969049695,-0.7118719716255636,-12.81530525,-1.0592956924427008,,False
92,439.11908,276.5,2903.5,3472.0,0.0015125,0.0,33.0,0.530107,-0.9856436818538611,-0.9167650568875326,-0.6115659913020419,-12.81530525,-0.9930026672517036,,False
93,675.58307,428.5,4564.5,3634.0,0.0009875,0.0,38.0,0.62534,-0.610883366389358,-0.5592325651700087,-0.3738937611774065,-9.4428565,-0.9478788433822012,,False
