unit_set,cluster_id,condition,n_trials,mean_on_hz,mean_off_hz,mean_delta_hz,sem_delta_hz,median_delta_hz,t_stat,p_value,q_value_bh_within_unit_set,direction,responsive_q05_within_unit_set,KSLabel,ContamPct,Amplitude,review_category,review_priority,best_raw_channel,best_channel_shank
dec4_dHPC,126,amp180_freq10,200,12.506666666666666,12.918333333333335,-0.41166666666666657,0.41320996632491824,-0.6666666666666661,-0.9962650957527047,0.32033122233727374,0.7078372393757477,ON<OFF,False,good,0.2,29.2,high_confidence_ks_good,16,120,4
dec4_dHPC,130,amp180_freq10,200,0.12,0.10833333333333332,0.011666666666666667,0.02221381052411127,0.0,0.5251988016195356,0.6000296549693096,0.8041226299067539,ON>OFF,False,good,0.0,37.6,high_confidence_ks_good,17,122,4
dec4_dHPC,135,amp180_freq10,200,7.9766666666666675,8.016666666666666,-0.039999999999999966,0.3563851641968721,0.0,-0.11223811768411159,0.9107477401931551,0.9421528346825742,ON<OFF,False,good,18.0,13.2,manual_review,19,122,4
dec4_dHPC,137,amp180_freq10,200,10.816666666666668,11.053333333333333,-0.2366666666666666,0.45443770054202715,0.0,-0.5207901245525717,0.6030919724300654,0.8041226299067539,ON<OFF,False,good,3.9,23.1,high_confidence_ks_good,20,123,4
dec4_dHPC,139,amp180_freq10,200,9.275,9.57,-0.29499999999999993,0.244254783409279,-0.3333333333333326,-1.2077552622815624,0.2285748296972876,0.5783272070357341,ON<OFF,False,mua,23.2,9.9,manual_review,31,58,2
dec4_dHPC,149,amp180_freq10,200,10.41,10.516666666666667,-0.1066666666666667,0.40385329940113884,-0.3333333333333339,-0.2641223108114736,0.7919589987498279,0.8904327930898798,ON<OFF,False,good,6.0,13.3,high_confidence_ks_good,21,124,4
dec4_dHPC,0,amp180_freq26,200,4.994999999999999,5.3116666666666665,-0.31666666666666665,0.13649415103341117,-0.6666666666666661,-2.320001730983716,0.02135474001077995,0.14688258533929502,ON<OFF,False,good,5.9,10.1,high_confidence_ks_good,1,1,1
dec4_dHPC,78,amp180_freq26,200,0.6016666666666667,0.695,-0.09333333333333332,0.136727322406133,0.0,-0.6826238654487597,0.495638407133719,0.7587773624721666,ON<OFF,False,good,2.3,46.7,high_confidence_ks_good,6,15,1
dec4_dHPC,82,amp180_freq26,200,5.71,5.546666666666668,0.16333333333333336,0.16639827636224502,0.33333333333333304,0.9815806804258035,0.32749832296082976,0.7078372393757477,ON>OFF,False,good,1.8,8.9,high_confidence_ks_good,7,113,4
dec4_dHPC,86,amp180_freq26,200,1.8416666666666668,1.3183333333333334,0.5233333333333333,0.14026197870021673,0.0,3.7311132937305747,0.0002486536983174345,0.0027973541060711386,ON>OFF,True,good,10.0,14.6,high_confidence_ks_good,8,81,3
