trial_number,condition,amplitude,frequency,analysis_group,n_channels_used,onset_delta,sustained_delta,offset_delta,recovery_delta,transition_index
1472,amp180_freq50,180,50,A_dHPC_32-63,32,43.656768798828125,-118.26828002929688,-119.08572387695312,-31.838653564453125,-0.81744384765625
1472,amp180_freq50,180,50,A_dHPC_64-95,32,-42.02461242675781,-60.458343505859375,-22.506240844726562,21.295791625976562,37.95210266113281
1472,amp180_freq50,180,50,A_dHPC_96-127,31,-18.157211303710938,-41.922080993652344,6.198394775390625,-0.1119384765625,48.12047576904297
1472,amp180_freq50,180,50,B_LEC_128-191,51,13.513084411621094,-0.9170761108398438,-9.930213928222656,14.0029296875,-9.013137817382812
1472,amp180_freq50,180,50,B_LEC_192-255,32,-4.371849060058594,-8.116107940673828,3.2896499633789062,-2.144573211669922,11.405757904052734
1473,amp100_freq26,100,26,A_dHPC_0-31,32,-38.86683654785156,119.7569580078125,6.473541259765625,11.215652465820312,-113.28341674804688
1473,amp100_freq26,100,26,A_dHPC_32-63,32,-16.89507293701172,128.00250244140625,27.624801635742188,26.77899169921875,-100.37770080566406
1473,amp100_freq26,100,26,A_dHPC_64-95,32,-3.1630706787109375,68.06402587890625,24.167434692382812,11.075912475585938,-43.89659118652344
1473,amp100_freq26,100,26,A_dHPC_96-127,31,61.60755157470703,39.700233459472656,-1.1093292236328125,-4.523582458496094,-40.80956268310547
1473,amp100_freq26,100,26,B_LEC_128-191,51,17.629356384277344,-2.9850540161132812,-8.769622802734375,3.6941757202148438,-5.784568786621094
1473,amp100_freq26,100,26,B_LEC_192-255,32,27.471900939941406,10.643142700195312,12.256649017333984,3.4866485595703125,1.6135063171386719
1474,amp100_freq5,100,5,A_dHPC_0-31,32,29.05706787109375,-81.10482788085938,112.13540649414062,-142.6417999267578,193.240234375
1474,amp100_freq5,100,5,A_dHPC_32-63,32,120.64306640625,-76.77381896972656,200.26593017578125,-149.02603149414062,277.0397491455078
1474,amp100_freq5,100,5,A_dHPC_64-95,32,87.71568298339844,-32.181549072265625,155.0549774169922,-110.86717987060547,187.2365264892578
1474,amp100_freq5,100,5,A_dHPC_96-127,31,-26.73681640625,-69.06788635253906,-22.438369750976562,-114.56092071533203,46.6295166015625
1474,amp100_freq5,100,5,B_LEC_128-191,51,-26.678558349609375,-12.878334045410156,-56.071266174316406,-24.64051055908203,-43.19293212890625
1474,amp100_freq5,100,5,B_LEC_192-255,32,-16.836097717285156,-7.472927093505859,-13.378471374511719,-16.420902252197266,-5.905544281005859
1475,amp250_freq10,250,10,A_dHPC_0-31,32,-2.4893035888671875,58.12005615234375,-49.889801025390625,-30.324722290039062,-108.00985717773438
1475,amp250_freq10,250,10,A_dHPC_32-63,32,-39.16717529296875,35.36358642578125,-70.50660705566406,-31.598709106445312,-105.87019348144531
1475,amp250_freq10,250,10,A_dHPC_64-95,32,40.05952453613281,45.0548095703125,-29.70134735107422,-27.166458129882812,-74.75615692138672
1475,amp250_freq10,250,10,A_dHPC_96-127,31,-31.408287048339844,49.678733825683594,3.6441116333007812,-11.890632629394531,-46.03462219238281
1475,amp250_freq10,250,10,B_LEC_128-191,51,-39.03804397583008,2.1260833740234375,-4.456390380859375,15.924850463867188,-6.5824737548828125
1475,amp250_freq10,250,10,B_LEC_192-255,32,-2.602602005004883,9.354488372802734,-6.603977203369141,1.1165657043457031,-15.958465576171875
1476,amp100_freq5,100,5,A_dHPC_0-31,32,-109.57227325439453,9.9029541015625,-10.180770874023438,-40.056640625,-20.083724975585938
1476,amp100_freq5,100,5,A_dHPC_32-63,32,-56.946449279785156,65.20175170898438,14.747055053710938,-12.420883178710938,-50.45469665527344
1476,amp100_freq5,100,5,A_dHPC_64-95,32,-1.3657073974609375,34.642669677734375,114.94380187988281,-15.989089965820312,80.30113220214844
1476,amp100_freq5,100,5,A_dHPC_96-127,31,-11.069351196289062,1.16009521484375,26.51813507080078,-17.926895141601562,25.35803985595703
1476,amp100_freq5,100,5,B_LEC_128-191,51,-37.40003967285156,-9.590263366699219,-26.82913589477539,-9.843544006347656,-17.238872528076172
1476,amp100_freq5,100,5,B_LEC_192-255,32,-12.935527801513672,-13.31466293334961,-6.997337341308594,-5.947803497314453,6.317325592041016
1477,amp180_freq50,180,50,A_dHPC_0-31,32,-39.37348937988281,-72.03163146972656,-74.854736328125,-68.02879333496094,-2.8231048583984375
1477,amp180_freq50,180,50,A_dHPC_32-63,32,-96.56153106689453,-44.677825927734375,-51.353973388671875,-14.780319213867188,-6.6761474609375
1477,amp180_freq50,180,50,A_dHPC_64-95,32,-114.73597717285156,-50.71986389160156,-42.1204833984375,-42.08842468261719,8.599380493164062
1477,amp180_freq50,180,50,A_dHPC_96-127,31,106.39596557617188,-33.824851989746094,-41.01190185546875,-19.673324584960938,-7.187049865722656
1477,amp180_freq50,180,50,B_LEC_128-191,51,-20.292953491210938,-14.70904541015625,-23.770675659179688,0.32370758056640625,-9.061630249023438
1477,amp180_freq50,180,50,B_LEC_192-255,32,-11.961977005004883,-1.0598869323730469,-4.317726135253906,-13.164560317993164,-3.2578392028808594
1478,amp180_freq10,180,10,A_dHPC_0-31,32,62.02668762207031,78.48699951171875,137.4842529296875,16.557144165039062,58.99725341796875
1478,amp180_freq10,180,10,A_dHPC_32-63,32,68.37423706054688,87.4173583984375,95.85012817382812,12.366104125976562,8.432769775390625
1478,amp180_freq10,180,10,A_dHPC_64-95,32,54.36192321777344,54.53004455566406,33.29966735839844,5.07452392578125,-21.230377197265625
1478,amp180_freq10,180,10,A_dHPC_96-127,31,24.33521270751953,59.53362274169922,75.80912017822266,5.167884826660156,16.275497436523438
1478,amp180_freq10,180,10,B_LEC_128-191,51,6.5189056396484375,2.9522247314453125,7.243614196777344,-9.853004455566406,4.291389465332031
1478,amp180_freq10,180,10,B_LEC_192-255,32,-1.4934768676757812,-7.8383941650390625,-1.023162841796875,-9.108100891113281,6.8152313232421875
1479,amp250_freq10,250,10,A_dHPC_0-31,32,-114.13215637207031,-75.73202514648438,-148.7357177734375,-63.58168029785156,-73.00369262695312
1479,amp250_freq10,250,10,A_dHPC_32-63,32,-107.59521484375,-116.95111083984375,-147.00070190429688,-102.63922119140625,-30.049591064453125
1479,amp250_freq10,250,10,A_dHPC_64-95,32,-59.080650329589844,-22.456069946289062,-87.8740234375,-32.973175048828125,-65.41795349121094
1479,amp250_freq10,250,10,A_dHPC_96-127,31,-93.47560119628906,-89.70169067382812,-108.81315612792969,-68.77403259277344,-19.111465454101562
1479,amp250_freq10,250,10,B_LEC_128-191,51,-43.68719482421875,-10.310150146484375,-13.957237243652344,-6.461067199707031,-3.6470870971679688
1479,amp250_freq10,250,10,B_LEC_192-255,32,2.5884475708007812,1.9039039611816406,-11.54104995727539,0.18500518798828125,-13.444953918457031
1480,amp250_freq10,250,10,A_dHPC_0-31,32,-74.9510498046875,-63.72804260253906,-138.0415496826172,-132.09304809570312,-74.31350708007812
1480,amp250_freq10,250,10,A_dHPC_32-63,32,-73.75526428222656,-15.09954833984375,30.232681274414062,-103.31663513183594,45.33222961425781
1480,amp250_freq10,250,10,A_dHPC_64-95,32,49.23347473144531,16.964324951171875,95.65724182128906,-35.571044921875,78.69291687011719
1480,amp250_freq10,250,10,A_dHPC_96-127,31,5.5824127197265625,-28.960311889648438,-28.74639129638672,-73.2098159790039,0.21392059326171875
1480,amp250_freq10,250,10,B_LEC_128-191,51,44.20673370361328,-10.283218383789062,-0.92486572265625,-12.515640258789062,9.358352661132812
