cluster_id,group,KSLabel,ContamPct,Amplitude,is_ks_good
101,good,good,19.2,11.3,True
102,good,good,12.6,10.2,True
103,noise,mua,54.0,11.8,False
104,,mua,0.0,26.7,False
105,noise,mua,214.1,10.5,False
106,mua,mua,46.4,13.6,False
107,mua,good,10.4,18.7,True
108,noise,mua,238.3,10.9,False
109,noise,mua,52.1,23.1,False
110,good,good,3.6,27.2,True
111,good,good,0.8,27.2,True
112,good,good,4.1,18.8,True
113,noise,mua,82.8,12.0,False
114,noise,mua,97.0,11.6,False
115,noise,mua,237.5,9.7,False
116,noise,mua,239.5,10.2,False
117,noise,mua,154.6,19.0,False
118,good,good,1.9,19.7,True
119,good,good,5.6,26.5,True
120,good,good,13.3,21.8,True
121,noise,mua,99.6,10.2,False
122,mua,mua,40.8,21.2,False
123,noise,mua,120.2,11.3,False
124,noise,mua,57.8,10.4,False
125,noise,mua,52.0,10.1,False
126,noise,mua,120.0,13.0,False
127,noise,mua,113.3,15.8,False
128,noise,mua,78.8,14.9,False
129,mua,mua,49.2,16.5,False
130,noise,mua,63.5,9.9,False
131,noise,mua,63.9,9.8,False
132,noise,mua,99.5,11.5,False
133,noise,mua,118.0,10.0,False
134,mua,mua,46.7,9.3,False
135,noise,mua,134.7,10.1,False
136,noise,mua,119.8,10.7,False
137,noise,mua,112.2,10.1,False
138,noise,mua,51.6,9.5,False
139,mua,mua,26.7,10.3,False
140,noise,mua,127.8,10.5,False
141,noise,mua,69.5,9.9,False
142,noise,mua,61.0,9.9,False
143,noise,mua,105.2,10.6,False
144,noise,mua,57.0,9.9,False
145,noise,mua,105.2,9.8,False
146,noise,mua,76.1,9.9,False
147,noise,mua,83.0,9.3,False
148,noise,mua,106.5,9.8,False
149,noise,mua,149.3,9.8,False
150,noise,mua,91.9,9.8,False
151,noise,mua,136.1,9.7,False
152,noise,mua,136.4,9.7,False
153,noise,mua,66.3,9.6,False
154,noise,mua,150.7,9.6,False
155,noise,mua,179.1,9.6,False
156,noise,mua,271.0,9.6,False
157,good,good,1.4,8.9,True
158,good,good,8.8,14.8,True
159,noise,mua,277.8,9.7,False
160,good,good,0.0,8.8,True
161,noise,mua,114.5,13.4,False
162,noise,mua,110.6,12.6,False
163,noise,mua,56.0,13.5,False
164,noise,mua,250.7,9.5,False
165,mua,mua,25.0,9.5,False
166,noise,mua,76.3,9.7,False
167,noise,mua,298.7,10.0,False
168,good,good,2.7,15.3,True
169,good,good,0.0,26.4,True
170,noise,mua,72.0,10.7,False
171,noise,mua,58.3,10.2,False
172,mua,mua,47.2,18.3,False
173,good,good,13.9,13.9,True
174,good,good,0.0,27.7,True
175,good,good,3.5,15.1,True
176,noise,mua,73.8,9.6,False
177,good,good,0.1,27.8,True
178,good,mua,20.3,9.9,False
179,noise,mua,370.1,11.0,False
180,mua,mua,48.6,10.5,False
181,good,good,1.8,37.5,True
182,good,mua,21.0,15.4,False
183,good,good,10.2,28.3,True
184,mua,mua,40.3,20.4,False
185,noise,mua,80.2,10.3,False
186,noise,mua,206.4,10.1,False
187,good,good,11.5,12.3,True
188,noise,mua,150.0,10.2,False
189,noise,mua,71.3,13.3,False
190,noise,mua,78.6,11.3,False
191,good,good,3.8,22.6,True
192,noise,mua,65.6,10.7,False
193,noise,mua,87.2,10.8,False
