edge,sample
rising,47257489
rising,47349723
rising,47357398
rising,47377430
rising,47393156
rising,47469663
rising,47469851
rising,47528635
rising,47589667
rising,47593161
rising,47597093
rising,47598590
rising,47613193
rising,47614067
rising,47624738
rising,47627920
rising,47638654
rising,47640089
rising,47715473
rising,47717782
rising,47720091
rising,47734694
rising,47740123
rising,47747736
rising,47760092
rising,47763899
rising,47832356
rising,47840157
rising,47844775
rising,47846210
rising,47849330
rising,47850828
rising,47855259
rising,47858566
rising,47866492
rising,47870818
rising,47881677
rising,47883237
rising,47904517
rising,47911693
rising,47953129
rising,47955438
rising,47956936
rising,47961554
rising,47967295
rising,47969230
rising,47975408
rising,47975657
rising,47979277
rising,47983895
rising,47989261
rising,47992382
rising,47996188
rising,47998435
rising,48009168
rising,48086986
rising,48126987
rising,48223090
rising,48246991
rising,48326556
rising,48358507
rising,48430771
rising,48470772
rising,48486810
rising,48553707
rising,48562943
rising,48567561
rising,48568996
rising,48589091
rising,48593646
rising,48598264
rising,48669842
rising,48681761
rising,48701605
rising,48705662
rising,48729750
rising,48805696
rising,48810314
rising,48827288
rising,48831905
rising,48836461
rising,48837959
rising,48914903
rising,48915714
rising,48916463
rising,48919459
rising,48922579
rising,48924076
rising,48934935
rising,48938741
rising,48943547
rising,48950224
rising,48959460
rising,48960271
rising,48966387
rising,48967884
rising,48969444
rising,48969694
rising,49032597
rising,49046451
rising,49051007
rising,49052504
rising,49055687
rising,49061740
rising,49069416
rising,49072599
rising,49077216
rising,49081772
rising,49083270
rising,49155846
rising,49179747
rising,49195785
rising,49199841
rising,49300748
rising,49309984
rising,49316100
rising,49401781
rising,49417819
rising,49441782
rising,49529273
rising,49542128
rising,49561286
rising,49657264
rising,49670057
rising,49750184
rising,49774334
rising,49795926
rising,49805162
rising,49870000
rising,49872746
rising,49881981
rising,49886662
rising,49891217
rising,49892715
rising,49912747
rising,49917365
rising,49918862
rising,49989816
rising,50008163
rising,50012781
rising,50017336
rising,50026510
rising,50028070
rising,50038866
rising,50040363
rising,50111504
rising,50120303
rising,50152254
rising,50160242
rising,50229885
rising,50237124
rising,50240931
rising,50241679
rising,50242366
rising,50246297
rising,50247795
rising,50250354
rising,50252663
rising,50257093
rising,50261649
rising,50265518
rising,50266953
rising,50270073
rising,50271633
rising,50271883
rising,50275440
rising,50277125
rising,50280869
rising,50282429
rising,50284052
rising,50287796
rising,50289294
rising,50371917
rising,50394507
rising,50478504
rising,50491920
rising,50514511
rising,50596759
rising,50618351
rising,50624467
rising,50627650
rising,50645996
rising,50709857
rising,50729140
rising,50733758
rising,50738313
rising,50739811
rising,50755225
rising,50756660
rising,50761403
rising,50762776
rising,50769952
rising,50838410
rising,50849455
rising,50873356
rising,50955792
rising,50956541
rising,50959599
rising,50964154
rising,50965028
rising,50966463
rising,50971081
rising,50974201
rising,50978008
rising,50981877
rising,50987930
rising,50989553
rising,50997291
rising,51002657
rising,51003344
rising,51008024
rising,51070990
rising,51080288
rising,51105000
rising,51114174
rising,51120289
rising,51190182
rising,51191742
rising,51192491
rising,51197109
rising,51203225
rising,51204348
rising,51209527
rising,51210339
rising,51211774
rising,51215581
rising,51218951
rising,51223381
rising,51227937
rising,51231743
rising,51234052
rising,51237984
rising,51240168
rising,51243288
rising,51248031
rising,51335272
