burst_index,start_sample,end_sample,start_time_s,end_time_s,duration_s,pulse_count,estimated_freq_hz,config_index,amplitude,expected_freq_hz,pin,expected_start_time_s,start_time_error_s
69,38229151,38285627,1911.45755,1914.28135,2.8238,6,2.5037556334501754,69,250,5,12,1314.0,597.4575500000001
70,38349466,38404756,1917.4733,1920.2378,2.7645,5,1.6520051212158757,70,100,26,12,1320.0,597.4733000000001
71,38469157,38527630,1923.45785,1926.3815,2.92365,4,1.2470382840753211,71,250,26,12,1326.0,597.45785
72,38589181,38641163,1929.45905,1932.05815,2.5991,5,1.7417809710428913,72,250,5,12,1332.0,597.4590499999999
73,38709371,38834928,1935.46855,1941.7464,6.27785,4,1.942313295134505,73,100,26,12,1338.0,597.46855
74,38841106,38954245,1942.0553,1947.71225,5.65695,4,3.2701111837802483,74,180,26,12,1344.0,598.0553
75,38960360,39073998,1948.018,1953.6999,5.6819,5,2.1655568187970333,75,100,26,12,1350.0,598.018
76,39079365,39123360,1953.96825,1956.168,2.19975,5,2.739163185646785,76,100,26,12,1356.0,597.9682499999999
77,39205421,39245485,1960.27105,1962.27425,2.0032,5,2.1655568187970333,77,180,5,12,1362.0,598.2710500000001
78,39309220,39368504,1965.461,1968.4252,2.9642,31,11.655011655011656,78,100,26,12,1368.0,597.461
79,39433778,39488320,1971.6889,1974.416,2.7271,5,2.0030045067601403,79,180,26,12,1374.0,597.6889000000001
80,39555841,39669603,1977.79205,1983.48015,5.6881,6,2.1654395842356,80,250,5,12,1380.0,597.79205
81,39673597,39727390,1983.67985,1986.3695,2.68965,13,4.451368795904741,81,180,26,12,1386.0,597.67985
82,39795036,39914290,1989.7518,1995.7145,5.9627,6,2.1654395842356,82,100,5,12,1392.0,597.7518
83,39914352,39964026,1995.7176,1998.2013,2.4837,8,3.2701111837802483,83,180,5,12,1398.0,597.7176
84,40034792,40158602,2001.7396,2007.9301,6.1905,7,2.1016129879682652,84,250,5,12,1404.0,597.7396000000001
85,40164717,40269265,2008.23585,2013.46325,5.2274,4,1.2922400982102473,85,180,26,12,1410.0,598.23585
86,40269452,40327738,2013.4726,2016.3869,2.9143,12,4.451368795904741,86,100,26,12,1416.0,597.4726
87,40389268,40438068,2019.4634,2021.9034,2.44,4,1.2470382840753211,87,100,5,12,1422.0,597.4634000000001
88,40510831,40636576,2025.54155,2031.8288,6.28725,12,4.3308791684712,88,180,26,12,1428.0,597.5415499999999
89,40639821,40660726,2031.99105,2033.0363,1.04525,3,1.9191095331766057,89,180,5,12,1434.0,597.9910500000001
90,40749464,40869301,2037.4732,2043.46505,5.99185,2,0.46046875719482433,90,180,26,12,1440.0,597.4731999999999
91,40872421,40989304,2043.62105,2049.4652,5.84415,4,1.4906461951255872,91,100,26,12,1446.0,597.62105
92,40989492,41049025,2049.4746,2052.45125,2.97665,10,4.2167404596247104,92,180,26,12,1452.0,597.4746
93,41114487,41160541,2055.72435,2058.02705,2.3027,4,3.2701111837802483,93,250,5,12,1458.0,597.72435
94,41231307,41355117,2061.56535,2067.75585,6.1905,5,1.2642624608868802,94,100,5,12,1464.0,597.5653499999999
95,41355180,41406601,2067.759,2070.33005,2.57105,10,4.3308791684712,95,100,26,12,1470.0,597.759
96,41470315,41590880,2073.51575,2079.544,6.02825,4,0.9538344143456696,96,250,5,12,1476.0,597.51575
97,41590942,41829326,2079.5471,2091.4663,11.9192,22,6.410256410256411,97,250,5,12,1482.0,597.5470999999998
98,41830075,41886364,2091.50375,2094.3182,2.81445,9,4.360623569170391,98,100,5,12,1488.0,603.5037499999999
99,41949412,42000709,2097.4706,2100.03545,2.56485,3,0.9249410350090181,99,250,5,12,1494.0,603.4706000000001
100,42069353,42116905,2103.46765,2105.84525,2.3776,2,0.6346385733324871,100,180,26,12,1500.0,603.46765
101,42189356,42248328,2109.4678,2112.4164,2.9486,3,0.7567731194187982,101,100,5,12,1506.0,603.4677999999999
102,42309547,42355226,2115.47735,2117.7613,2.28395,3,0.9595777857742593,102,100,26,12,1512.0,603.4773500000001
103,42429362,42549366,2121.4681,2127.4683,6.0002,3,0.6747183051076175,103,100,26,12,1518.0,603.4681
104,42559475,42599476,2127.97375,2129.9738,2.00005,3,1.247038284075321,104,100,26,12,1524.0,603.9737500000001
105,42669369,42719230,2133.46845,2135.9615,2.49305,3,1.1826272063388819,105,180,26,12,1530.0,603.4684499999998
106,42789497,42925912,2139.47485,2146.2956,6.82075,10,3.64232380258605,106,250,5,12,1536.0,603.4748500000001
107,43044230,43274148,2152.2115,2163.7074,11.4959,35,6.223743581764431,107,180,5,12,1542.0,610.2114999999999
108,43280264,43329438,2164.0132,2166.4719,2.4587,6,2.165674066053059,108,250,5,12,1548.0,616.0131999999999
109,43389408,43509432,2169.4704,2175.4716,6.0012,13,4.578230513906375,109,100,26,12,1554.0,615.4704000000002
110,43509620,43629456,2175.481,2181.4728,5.9918,8,2.3565453045834808,110,250,5,12,1560.0,615.4810000000002
111,43649363,43689364,2182.46815,2184.4682,2.00005,2,0.8367850717543199,111,250,5,12,1566.0,616.4681500000002
112,43749647,43869712,2187.48235,2193.4856,6.00325,5,2.484317744239488,112,100,5,12,1572.0,615.4823500000002
113,43888434,43989466,2194.4217,2199.4733,5.0516,4,1.6105653084232565,113,250,5,12,1578.0,616.4216999999999
114,43990652,44074044,2199.5326,2203.7022,4.1696,7,2.874389192296637,114,250,5,12,1584.0,615.5326
115,44109552,44231428,2205.4776,2211.5714,6.0938,3,0.8744507356316813,115,100,26,12,1590.0,615.4776000000002
116,44234735,44315237,2211.73675,2215.76185,4.0251,3,0.8914840981523992,116,100,5,12,1596.0,615.73675
117,44342694,44470685,2217.1347,2223.53425,6.39955,8,2.6705835224996664,117,250,26,12,1602.0,615.1347000000001
118,44495397,44618271,2224.76985,2230.91355,6.1437,1,,118,250,26,12,1608.0,616.7698500000001
119,44627507,44633560,2231.37535,2231.678,0.30265,1,,119,100,5,12,1614.0,617.3753499999998
120,44725981,44829509,2236.29905,2241.47545,5.1764,2,0.6247461968575266,120,250,5,12,1620.0,616.2990500000001
121,44829572,44951198,2241.4786,2247.5599,6.0813,5,1.2949174490126254,121,100,26,12,1626.0,615.4785999999999
122,44951884,45002806,2247.5942,2250.1403,2.5461,5,1.8579590320033446,122,250,5,12,1632.0,615.5942
123,45077566,45189582,2253.8783,2259.4791,5.6008,1,,123,180,26,12,1638.0,615.8782999999999
124,45189644,45221283,2259.4822,2261.06415,1.58195,1,,124,250,5,12,1644.0,615.4821999999999
125,45316387,45431647,2265.81935,2271.58235,5.763,3,0.9303190994511118,125,100,5,12,1650.0,615.8193500000002
126,45435891,45553835,2271.79455,2277.69175,5.8972,3,0.9999750006249845,126,180,26,12,1656.0,615.7945500000001
127,45555270,45607565,2277.7635,2280.37825,2.61475,6,2.5846471956577926,127,100,5,12,1662.0,615.7635
128,45670031,45710469,2283.50155,2285.52345,2.0219,2,0.5497223901929525,128,180,26,12,1668.0,615.50155
129,45790659,45916528,2289.53295,2295.8264,6.29345,3,0.7797878976918279,129,250,5,12,1674.0,615.5329499999998
130,45921146,46036843,2296.0573,2301.84215,5.78485,9,4.39029744265174,130,250,26,12,1680.0,616.0572999999999
131,46072226,46077031,2303.6113,2303.85155,0.24025,1,,131,250,26,12,1686.0,617.6113
132,46149732,46207206,2307.4866,2310.3603,2.8737,9,2.9004423174534115,132,250,5,12,1692.0,615.4866000000002
133,46272419,46308551,2313.62095,2315.42755,1.8066,3,1.2446325222478063,133,180,26,12,1698.0,615.62095
134,46392422,46449210,2319.6211,2322.4605,2.8394,13,4.031445273130418,134,180,5,12,1704.0,615.6210999999998
135,46510678,46569463,2325.5339,2328.47315,2.93925,19,6.474587245063127,135,250,26,12,1710.0,615.5338999999999
136,46642850,46751246,2332.1425,2337.5623,5.4198,4,1.6605778811026237,136,100,26,12,1716.0,616.1424999999999
137,46753617,46807410,2337.68085,2340.3705,2.68965,9,4.301537799763415,137,180,5,12,1722.0,615.6808500000002
138,46869627,46925790,2343.48135,2346.2895,2.80815,6,2.4464831804281344,138,180,5,12,1728.0,615.48135
139,46989630,47045939,2349.4815,2352.29695,2.81545,19,8.324661810613943,139,100,26,12,1734.0,615.4814999999999
140,47126690,47229844,2356.3345,2361.4922,5.1577,6,2.1803117845851956,140,250,26,12,1740.0,616.3344999999999
