cluster_id,KSLabel,ContamPct,Amplitude,group,is_ks_good,spike_count,firing_rate_hz,isi_violations_lt_2ms,isi_violation_fraction,best_local_channel_index,best_raw_channel,best_channel_x,best_channel_y,best_channel_shank,template_peak_to_peak,max_abs_on_off_delta_hz,best_on_off_condition,best_on_off_delta_hz,n_conditions_q05,review_category,review_priority
133,mua,48.7,25.0,mua,False,11558,0.6373090212715836,117,0.010123734533183352,121,122,0.0,520.0,4,17.08824348449707,,,,0,manual_review,30
139,mua,23.2,9.9,mua,False,178136,9.82243293071767,1071,0.0060122940466500125,58,58,120.0,520.0,2,6.402154445648193,,,,0,manual_review,31
150,mua,45.8,13.3,mua,False,43544,2.4010195554810383,363,0.008336586822221713,123,124,0.0,560.0,4,8.46601676940918,,,,0,manual_review,32
1,mua,76.1,9.7,mua,False,53813,2.9672530162387725,476,0.008845610644465918,64,64,180.0,0.0,3,2.7871742248535156,,,,0,likely_noise_or_multiunit,33
2,mua,95.6,9.7,mua,False,91255,5.031807815897072,1394,0.015276042694018893,65,65,180.0,20.0,3,3.3182260990142822,,,,0,likely_noise_or_multiunit,34
3,mua,108.3,9.4,mua,False,20320,1.1204463845162294,59,0.002903686205029775,33,33,120.0,20.0,2,3.054755210876465,,,,0,likely_noise_or_multiunit,35
4,mua,177.8,9.3,mua,False,15633,0.8620048390325893,83,0.005309621289662231,33,33,120.0,20.0,2,3.2971177101135254,,,,0,likely_noise_or_multiunit,36
5,mua,145.0,11.5,mua,False,39391,2.172022811637736,8994,0.22833206397562833,0,0,60.0,0.0,1,4.633596420288086,,,,0,likely_noise_or_multiunit,37
6,mua,65.5,9.9,mua,False,72442,3.9944575288939315,614,0.008475863116191107,32,32,120.0,0.0,2,2.933642864227295,,,,0,likely_noise_or_multiunit,38
7,mua,82.7,10.0,mua,False,86809,4.78665502920617,1196,0.013777532024698185,65,65,180.0,20.0,3,3.1787121295928955,,,,0,likely_noise_or_multiunit,39
8,mua,118.7,10.3,mua,False,136230,7.511732822964859,3628,0.0266316276270104,96,96,0.0,0.0,4,6.1027631759643555,,,,0,likely_noise_or_multiunit,40
9,mua,134.3,10.4,mua,False,107562,5.930977067486943,2366,0.02199682040888426,97,97,0.0,20.0,4,4.26384973526001,,,,0,likely_noise_or_multiunit,41
10,mua,70.8,10.5,mua,False,416,0.022938272438914935,49,0.1180722891566265,2,2,60.0,40.0,1,5.58249568939209,,,,0,likely_noise_or_multiunit,42
